id,name_ru,status,base_skills,positive_traits,negative_traits,shared_penalty,notes,owner,source,definition_line,aptitude,is_shown,valid_position,is_shown_character,valid_character,on_court_position_received
eparch_court_position,Йовеннио,base,S50 D50,"diplomat,overseer,administrator,schemer,scholar,diligent,just,stubborn,governor,education_republican_knowledge_4","fickle,impatient",—,"Административный независимый император; не евнух. Дополнительно влияние, семья, здание столицы. Республиканское образование IV даёт +8; у V нет отдельной ветки, остаётся +2.",A Game of Thrones,E:/SteamLibrary/steamapps/workshop/content/1158310/2962333032/common/court_positions/types/00_admin_court_position.txt,1,"aptitude = {
		value = 1
		# Skills
		add = {
			value = stewardship
			multiply = 1
			max = 50
			desc = court_position_skill_stewardship
		}
		add = {
			value = diplomacy
			multiply = 1
			max = 50
			desc = court_position_skill_diplomacy
		}
		
		# Lifestyle traits - 1 trait from each lifestyle
		if = {
			limit = { has_trait = diplomat }
			add = {
				value = 10
				desc = court_position_diplomat_trait
			}
		}
		if = {
			limit = { has_trait = overseer }
			add = {
				value = 10
				desc = court_position_overseer_trait
			}
		}
		if = {
			limit = { has_trait = administrator }
			add = {
				value = 10
				desc = court_position_administrator_trait
			}
		}
		if = {
			limit = { has_trait = schemer }
			add = {
				value = 10
				desc = court_position_schemer_trait
			}
		}
		if = {
			limit = { has_trait = scholar }
			add = {
				value = 10
				desc = court_position_scholar_trait
			}
		}
		
		# Personality traits
		if = {
			limit = { has_trait = diligent }
			add = {
				value = 5
				desc = court_position_diligent_trait
			}
		}
		if = {
			limit = { has_trait = just }
			add = {
				value = 5
				desc = court_position_just_trait
			}
		}
		if = {
			limit = { has_trait = stubborn }
			add = {
				value = 5
				desc = court_position_stubborn_trait
			}
		}
		if = {
			limit = { has_trait = fickle }
			add = {
				value = -5
				desc = court_position_fickle
			}
		}
		if = {
			limit = { has_trait = impatient }
			add = {
				value = -5
				desc = court_position_impatient_trait
			}
		}
		
		# Other traits
		if = {
			limit = {
				has_trait = education_republican_knowledge
			}
			add = {
				if = {
					limit = {
						has_trait = education_republican_knowledge_4
					}
					add = {
						value = 8
						desc = republican_knowledge_4_desc
					}
				}
				else_if = {
					limit = {
						has_trait = education_republican_knowledge_3
					}
					add = {
						value = 6
						desc = republican_knowledge_3_desc
					}
				}
				else_if = {
					limit = {
						has_trait = education_republican_knowledge_2
					}
					add = {
						value = 4
						desc = republican_knowledge_2_desc
					}
				}
				else = {
					add = {
						value = 2
						desc = republican_knowledge_1_desc
					}
				}
			}
		}
		
		# Admin specific bonuses
		# Influence level
		if = {
			limit = { influence_level >= 1 }
			add = {
				value = influence_level
				subtract = 1
				multiply = 5
				desc = ""[influence_level|E]""
			}
		}
		
		# Powerful and dominant family
		if = {
			limit = {
				house ?= {
					is_powerful_family = yes
					NOT = { this = root.liege.house }
				}
			}
			add = {
				value = 8
				desc = is_powerful_family_desc
			}
		}
		if = {
			limit = {
				house ?= {
					is_dominant_family = yes
				}
			}
			add = {
				value = 12
				desc = is_dominant_family_desc
			}
		}
		
		# Governor trait
		if = {
			limit = {
				has_trait = governor
			}
			add = {
				value = 4
				if = {
					limit = {
						has_trait_xp = {
							trait = governor
							value >= 100
						}
					}
					add = 16
				}
				else_if = {
					limit = {
						has_trait_xp = {
							trait = governor
							value >= 75
						}
					}
					add = 12
				}
				else_if = {
					limit = {
						has_trait_xp = {
							trait = governor
							value >= 50
						}
					}
					add = 8
				}
				else_if = {
					limit = {
						has_trait_xp = {
							trait = governor
							value >= 25
						}
					}
					add = 4
				}
				desc = governor_trait_short_desc
			}
		}
		
		# Capital Bureau
		if = {
			limit = {
				liege ?= {
					capital_province ?= { has_building_or_higher = capital_bureau_01 }
				}
			}
			add = {
				value = 0
				liege ?= {
					capital_province = {
						if = {
							limit = {
								has_building_or_higher = capital_bureau_08
							}
							add = 16
						}
						else_if = {
							limit = {
								has_building_or_higher = capital_bureau_07
							}
							add = 14
						}
						else_if = {
							limit = {
								has_building_or_higher = capital_bureau_06
							}
							add = 12
						}
						else_if = {
							limit = {
								has_building_or_higher = capital_bureau_05
							}
							add = 10
						}
						else_if = {
							limit = {
								has_building_or_higher = capital_bureau_04
							}
							add = 8
						}
						else_if = {
							limit = {
								has_building_or_higher = capital_bureau_03
							}
							add = 6
						}
						else_if = {
							limit = {
								has_building_or_higher = capital_bureau_02
							}
							add = 4
						}
						else = {
							add = 2
						}
					}
				}
				desc = eparch_capital_bureau
			}
		}
		
		# Grain dole has been reinstituted and is active
		#AGOT Disabled
		#if = {
		#	limit = {
		#		liege ?= {
		#			capital_county ?= { has_county_modifier = panem_et_circenses_county_modifier }
		#		}
		#	}
		#	add = {
		#		value = 5
		#		desc = eparch_capital_has_grain_dole_desc
		#	}
		#}
		
		add = general_aptitude_bonus
	}","is_shown = {
		government_has_flag = government_is_administrative
		is_independent_ruler = yes
	}","valid_position = {
		highest_held_title_tier >= tier_empire
	}","is_shown_character = {
		scope:employee = {
			court_position_employee_shown_trigger = yes
		}
	}","valid_character = {
		scope:employee = {
			liege = scope:liege # To ensure invalidation if they leave court
			
			OR = { # Is either unlanded (a courtier or landless family head) or a governor of a nearby theme
				is_landed = no
				custom_tooltip = {
					text = eparch_distance_trigger_desc
					capital_province ?= {
						squared_distance = {
							target = scope:liege.capital_province
							value < 50000
						}
					}
					government_allows = administrative
				}
			}
			# Eunuchs were historically not allowed to have this position
			NOT = { has_trait = eunuch }
		}
	}","on_court_position_received = {
		basic_gained_court_position_effect = yes
	}"
second_camp_officer,Помощник,camp,D60 M60 S60 I60 L60 P60,"overseer,loyal","craven,fickle",H,"sadistic и callous дают по +10, но противоположны: одна ветка, не обе. Сохранять уже имеющуюся; для нового предложено callous.",Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,37,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= { has_perk = local_arbitration_perk }
			}
			add = {
				value = 15
				desc = court_position_local_arbitration_perk_boon
			}
		}
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = diplomacy
			multiply = 1.5
			max = 60
			desc = court_position_skill_diplomacy
		}
		add = {
			value = martial
			multiply = 0.75
			max = 60
			desc = court_position_skill_martial
		}
		add = {
			value = stewardship
			multiply = 0.75
			max = 60
			desc = court_position_skill_stewardship
		}
		add = {
			value = intrigue
			multiply = 0.75
			max = 60
			desc = court_position_skill_intrigue
		}
		add = {
			value = learning
			multiply = 0.75
			max = 60
			desc = court_position_skill_learning
		}
		add = {
			value = prowess
			multiply = 0.75
			max = 60
			desc = court_position_skill_prowess
		}
		if = {
			limit = {
				has_trait = sadistic
			}
			add = 10
			desc = court_position_sadistic_trait
		}
		if = {
			limit = {
				has_trait = callous
			}
			add = 10
			desc = court_position_callous_trait
		}
		if = {
			limit = {
				has_trait = overseer
			}
			add = 20
			desc = court_position_overseer_trait
		}
		if = {
			limit = {
				has_trait = loyal
			}
			add = 15
			desc = court_position_loyal_trait
		}
		if = {
			limit = {
				has_trait = craven
			}
			add = -20
			desc = court_position_craven_trait
		}
		if = {
			limit = {
				has_trait = fickle
			}
			add = -20
			desc = court_position_fickle_trait
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = second_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_second_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = second
		}
	}","on_court_position_received = {
		second_camp_officer_title_accepted_effect = yes
	}"
quartermaster_camp_officer,Квартирмейстер,camp,S60,"logistician,greedy,avaricious,administrator","generous,profligate,improvident",H,Разблокируется лагерным снабжением; существует альтернатива через local_inspection_perk работодателя.,Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,291,"aptitude = {
		value = 10
		if = {
			limit = {
				employer ?= { has_perk = local_inspection_perk }
			}
			add = {
				value = 10
				desc = court_position_local_inspection_perk_boon
			}
		}
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = stewardship
			multiply = 2.5
			max = 60
			desc = court_position_skill_stewardship
		}
		if = {
			limit = {
				has_trait = generous
			}
			add = {
				value = -20
				desc = court_position_generous_trait
			}
		}
		if = {
			limit = {
				has_trait = logistician
			}
			add = {
				value = 20
				desc = court_position_logistician_trait
			}
		}
		if = {
			limit = {
				has_trait = greedy
			}
			add = {
				value = 10
				desc = court_position_greedy_trait
			}
		}
		if = {
			limit = {
				has_trait = avaricious
			}
			add = {
				value = 20
				desc = court_position_avaricious_trait
			}
		}
		if = {
			limit = {
				has_trait = administrator
			}
			add = {
				value = 20
				desc = court_position_administrator_trait
			}
		}
		if = {
			limit = {
				has_trait = profligate
			}
			add = -50
			desc = court_position_profligate_trait
		}
		if = {
			limit = {
				has_trait = improvident
			}
			add = -50
			desc = court_position_improvident_trait
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		OR = {
			custom_tooltip = {
				text = quartermaster_camp_officer_parameter_tt
				domicile ?= { has_domicile_parameter = camp_unlocks_quartermaster_officer }
			}
			has_perk = local_inspection_perk
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = quartermaster
		}
	}","on_court_position_received = {
		quartermaster_camp_officer_title_accepted_effect = yes
	}"
armorer_camp_officer,Бронник,camp,S60 L60,,,H,Нет собственных прямых положительных свойств; нужны лагерные кузница/арсенал.,Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,521,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = stewardship
			multiply = 2.5
			max = 60
			desc = court_position_skill_stewardship
		}
		add = {
			value = learning
			multiply = 2
			max = 60
			desc = court_position_skill_learning
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = armorer_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_armorer_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = armorer
		}
	}","on_court_position_received = {
		armorer_camp_officer_title_accepted_effect = yes
	}"
chief_forager_camp_officer,Старший собиратель,camp,P60 L50,"lifestyle_herbalist,lifestyle_hunter,lifestyle_traveler",,H,"Бонус ep2_beastmaster_modifier учитывается, но не создаётся; разблокировка запасами/травниками/пивоварами лагеря.",Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,678,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = prowess
			max = 60
			desc = court_position_skill_prowess
		}
		add = {
			value = learning
			multiply = 2.5
			max = 50
			desc = court_position_skill_learning
		}
		if = {
			limit = {
				has_trait = lifestyle_herbalist
			}
			add = {
				value = 5 
				desc = court_position_herbalist_trait
			}
		}
		if = {
			limit = {
				has_trait = lifestyle_hunter
			}
			add = {
				value = 5 
				desc = court_position_hunter_1_trait
			}
		}
		if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = travel 
					value >= 75
				}
			}
			add = {
				value = 40
				desc = court_position_traveler_trait_experienced
			}
		}
		else_if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = danger 
					value >= 75
				}
			}
			add = {
				value = 40
				desc = court_position_traveler_trait_experienced_danger
			}
		}
		else_if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = travel 
					value >= 50
				}
			}
			add = {
				value = 30
				desc = court_position_traveler_trait_experienced
			}
		}
		else_if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = danger 
					value >= 50
				}
			}
			add = {
				value = 30
				desc = court_position_traveler_trait_experienced_danger
			}
		}
		else_if = {
			limit = {
				has_trait = lifestyle_traveler
			}
			add = {
				value = 20
				desc = court_position_traveler_trait
			}
		}
		if = {
			limit = {
				has_character_modifier = ep2_beastmaster_modifier
			}
			add = {
				value = 30
				desc = court_position_beastmaster_modifier
			}
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = chief_forager_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_chief_forager_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = chief_forager
		}
	}","on_court_position_received = {
		chief_forager_camp_officer_title_accepted_effect = yes
	}"
master_thief_camp_officer,Мастер-вор,camp,I60 P50,"schemer,deceitful",honest,H,Требуется разблокировка специальным лагерным оснащением и подходящая цель лагеря.,Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,931,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = intrigue
			multiply = 2.5
			max = 60
			desc = court_position_skill_intrigue
		}
		add = {
			value = prowess
			multiply = 2
			max = 50
			desc = court_position_skill_prowess
		}
		if = {
			limit = {
				has_trait = schemer
			}
			add = {
				value = 20
				desc = court_position_schemer_trait
			}
		}
		if = {
			limit = {
				has_trait = deceitful
			}
			add = {
				value = 10
				desc = court_position_deceitful_trait
			}
		}
		if = {
			limit = {
				has_trait = honest
			}
			add = {
				value = -20
				desc = court_position_honest_trait
			}
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = master_thief_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_master_thief_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = master_thief
		}
	}","on_court_position_received = {
		master_thief_camp_officer_title_accepted_effect = yes
	}"
head_porter_camp_officer,Старший дежурный,camp,M60 S60,logistician,,H,Лагерный обоз; альтернативная разблокировка через local_inspection_perk.,Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,1119,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= { has_perk = local_inspection_perk }
			}
			add = {
				value = 10
				desc = court_position_local_inspection_perk_boon
			}
		}
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = martial
			multiply = 2.5
			max = 60
			desc = court_position_skill_martial
		}
		add = {
			value = stewardship
			max = 60
			desc = court_position_skill_stewardship
		}
		if = {
			limit = {
				has_trait = logistician
			}
			add = 15
			desc = court_position_logistician_trait
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		OR = {
			custom_tooltip = {
				text = head_porter_camp_officer_parameter_tt
				domicile ?= { has_domicile_parameter = camp_unlocks_head_porter_officer }
			}
			has_perk = local_inspection_perk
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = head_porter
		}
	}","on_court_position_received = {
		head_porter_camp_officer_title_accepted_effect = yes
	}"
head_groom_camp_officer,Главный конюх,camp,L50 S50,"brave,lifestyle_herbalist,lifestyle_hunter,diligent,lifestyle_traveler","craven,lazy",H,Скорость и безопасность имеют собственные пределы 50; нужны лошади лагеря. Модификатор укротителя не выдавать.,Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,1301,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = learning
			multiply = 1
			max = 50
			desc = court_position_skill_learning
		}
		add = {
			value = stewardship
			multiply = 1.3
			max = 50
			desc = court_position_skill_stewardship
		}

		# SPEED 
		add = {
			value = travel_leader_speed 
			multiply = 1.8
			subtract = 10
			max = 50
			min = 0
			desc = court_position_speed
		}

		# SAFETY 
		add = {
			value = travel_leader_safety 
			multiply = 1.8
			subtract = 10
			max = 50
			min = 0
			desc = court_position_safety
		}

		# POSITIVES
		if = {
			limit = {
				has_trait = brave
			}
			add = {
				value = 5 
				desc = court_position_brave_trait
			}
		}
		if = {
			limit = {
				has_trait = lifestyle_herbalist
			}
			add = {
				value = 5 
				desc = court_position_herbalist_trait
			}
		}
		if = {
			limit = {
				has_trait = lifestyle_hunter
			}
			add = {
				value = 5 
				desc = court_position_hunter_1_trait
			}
		}
		if = {
			limit = {
				has_trait = diligent
			}
			add = {
				value = 5 
				desc = court_position_diligent_trait
			}
		}
		if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = travel 
					value >= 75
				}
			}
			add = {
				value = 40
				desc = court_position_traveler_trait_experienced
			}
		}
		else_if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = danger 
					value >= 75
				}
			}
			add = {
				value = 40
				desc = court_position_traveler_trait_experienced_danger
			}
		}
		else_if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = travel 
					value >= 50
				}
			}
			add = {
				value = 30
				desc = court_position_traveler_trait_experienced
			}
		}
		else_if = {
			limit = {
				has_trait_xp = {
					trait = lifestyle_traveler 
					track = danger 
					value >= 50
				}
			}
			add = {
				value = 30
				desc = court_position_traveler_trait_experienced_danger
			}
		}
		else_if = {
			limit = {
				has_trait = lifestyle_traveler
			}
			add = {
				value = 20
				desc = court_position_traveler_trait
			}
		}
		if = {
			limit = {
				has_character_modifier = ep2_beastmaster_modifier
			}
			add = {
				value = 30
				desc = court_position_beastmaster_modifier
			}
		}

		# NEGATIVES
		if = {
			limit = {
				has_trait = craven
			}
			add = {
				value = -20 
				desc = court_position_craven_trait
			}
		}
		if = {
			limit = {
				has_trait = lazy
			}
			add = {
				value = -10 
				desc = court_position_lazy_trait
			}
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = head_groom_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_head_groom_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = head_groom
		}
	}","on_court_position_received = {
		head_groom_camp_officer_title_accepted_effect = yes
	}"
huntperson_camp_officer,Охотник,camp,P50 L50,"lifestyle_hunter,brave",craven,H,Нужны лагерные следопыты; модификатор укротителя даёт отдельный бонус.,Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,1608,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = prowess
			multiply = 2
			max = 50
			desc = court_position_skill_prowess
		}
		add = {
			value = learning
			multiply = 1.5
			max = 50
			desc = court_position_skill_learning
		}
		if = {
			limit = {
				hunt_lifestyle_track_greater_equal_trigger = { TRACK = hunter GREATER_EQUAL = 100 }
			}
			add = { 
				value = 40
				desc = court_position_hunter_3_trait
			}
		}
		else_if = {
			limit = {
				hunt_lifestyle_track_greater_equal_trigger = { TRACK = hunter GREATER_EQUAL = 50 }
			}
			add = { 
				value = 30
				desc = court_position_hunter_2_trait
			}
		}
		else_if = {
			limit = { has_trait = lifestyle_hunter }
			add = { 
				value = 20
				desc = court_position_hunter_1_trait
			}
		}
		if = {
			limit = { has_trait = brave }
			add = {
				value = 5
				desc = court_position_brave_trait
			}
		}
		if = {
			limit = { has_trait = craven }
			add = {
				value = -10
				desc = court_position_craven_trait
			}
		}
		if = {
			limit = {
				has_character_modifier = ep2_beastmaster_modifier
			}
			add = {
				value = 10
				desc = court_position_beastmaster_modifier
			}
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = huntperson_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_huntperson_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = huntperson
		}
	}","on_court_position_received = {
		huntperson_camp_officer_title_accepted_effect = yes
	}"
kennelperson_camp_officer,Псарь,camp,M60 P60,,,H,"Собака/её история дают +20, кошка/её история −20. Не создавать историю питомца и не удалять кошку ради пригодности.",Vanilla,E:/SteamLibrary/steamapps/common/Crusader Kings III/game/common/court_positions/types/00_camp_officers.txt,1821,"aptitude = {
		value = 0
		if = {
			limit = {
				employer ?= {
					has_government = landless_adventurer_government
					has_perk = positions_of_power_perk
				}
				any_relation = { type = friend }
			}
			add = {
				value = 5
				desc = court_position_positions_of_power_perk_friend
			}
		}
		
		add = {
			value = martial
			multiply = 2.5
			max = 60
			desc = court_position_skill_martial
		}
		add = {
			value = prowess
			multiply = 1.5
			max = 60
			desc = court_position_skill_prowess
		}
		if = {
			limit = {
				OR = {
					has_character_flag = dog_person
					any_owned_story = { type = story_cycle_pet_dog }
					has_character_modifier = dog_story_modifier
				}
			}
			add = 20
		}
		if = {
			limit = {
				OR = {
					has_character_flag = cat_person
					any_owned_story = { type = story_cycle_pet_cat }
					has_character_modifier = cat_story_modifier
				}
			}
			add = -20
		}
		add = court_position_aptitude_high_penalty_value
		add = general_aptitude_bonus
	}","is_shown = {
		has_ep3_dlc_trigger = yes
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
	}","valid_position = {
		custom_tooltip = {
			text = landless_government_tt
			government_has_flag = government_is_landless_adventurer
		}
		custom_tooltip = {
			text = kennelperson_camp_officer_parameter_tt
			domicile ?= { has_domicile_parameter = camp_unlocks_kennelperson_officer }
		}
	}","is_shown_character = {
		scope:employee = {
			is_incapable = no
		}
	}","valid_character = {
		valid_camp_officer_trigger = {
			OFFICER = kennelperson
		}
	}","on_court_position_received = {
		kennelperson_camp_officer_title_accepted_effect = yes
	}"
