"IssueClass","Attribution","Evidence","LogLine","Component","Owner","Message"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10487","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2906"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2907"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10488","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2919"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2920"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10489","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2932"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2933"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10490","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2945"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2946"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10491","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2958"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2959"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10492","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2971"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2972"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10493","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2984"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2985"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10494","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 2997"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 2998"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10495","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 3010"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 3011"
"Triggers_effects_and_syntax","Resolved source path","common/scripted_effects/asoiaf_setup_effects.txt","10496","pdx_persistent_reader.cpp:216","AGOT+ | Исправления совместимости","Error: ""Unknown trigger: asoiaf_underaged, near line: 3023"" in file: ""common/scripted_effects/asoiaf_setup_effects.txt"" near line: 3024"
