Kind,Character,Name,Sex,Action,MissingReference,Replacement,DNA,BirthEffect,SourceFile,SourceLine,NativeHistoryFile,NativeDNAFile,Reason
History,Forrester_asoiaf_1,Thorren,,UseBaseAGOTDNA,Forrester_asoiaf_1,Forrester_1,Forrester_1,,history/characters/asoiaf_char_dummies.txt,5190,history/characters/00_agot_char_north.txt,common/dna_data/agot_dna_north.txt,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,Baratheon_asoiaf_baby,Alaric,,CommentUnavailableDNA,Baratheon_asoiaf_baby,,,,history/characters/asoiaf_char_stormlands.txt,7,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Toth_1,Alliser,,CommentUnavailableDNA,asoiaf_Toth_1,,,,history/characters/asoiaf_char_vanity.txt,54,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Toth_rs_1,Melody,,CommentUnavailableDNA,asoiaf_Toth_rs_1,,,,history/characters/asoiaf_char_vanity.txt,84,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Erik_father,Bernard,,CommentUnavailableDNA,asoiaf_Erik_father,,,,history/characters/asoiaf_char_vanity.txt,185,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Erik_mother,Flora,,CommentUnavailableDNA,asoiaf_Erik_mother,,,,history/characters/asoiaf_char_vanity.txt,215,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Henry_mother,Hazel,,CommentUnavailableDNA,asoiaf_Henry_mother,,,,history/characters/asoiaf_char_vanity.txt,299,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Martin,Martin,,CommentUnavailableDNA,asoiaf_Martin,,,,history/characters/asoiaf_char_vanity.txt,347,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Kobyla_1,Radzig,,CommentUnavailableDNA,asoiaf_Kobyla_1,,,,history/characters/asoiaf_char_vanity.txt,398,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_1,Smil,,CommentUnavailableDNA,asoiaf_Ronov_1,,,,history/characters/asoiaf_char_vanity.txt,522,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_rs_1,Theresa,,CommentUnavailableDNA,asoiaf_Ronov_rs_1,,,,history/characters/asoiaf_char_vanity.txt,556,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
History,asoiaf_Ronov_2,Castolov,,CommentUnavailableDNA,asoiaf_Ronov_2,,,,history/characters/asoiaf_char_vanity.txt,583,,,Unavailable AGOT+ preset; base AGOT fallback for Thorren only.
