Category,Gene,File,Line,DNA,LogLine
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_crownlands.txt,148,Slynt_asoiaf_1,1466
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_crownlands.txt,149,Slynt_asoiaf_1,1467
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_crownlands.txt,150,Slynt_asoiaf_1,1468
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_crownlands.txt,156,Slynt_asoiaf_1,1469
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_crownlands.txt,160,Slynt_asoiaf_1,1470
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_crownlands.txt,3215,Cressen_asoiaf_1,1948
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_crownlands.txt,3564,Pycelle_asoiaf_1,2018
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_crownlands.txt,3565,Pycelle_asoiaf_1,2019
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_crownlands.txt,3566,Pycelle_asoiaf_1,2020
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_crownlands.txt,3576,Pycelle_asoiaf_1,2022
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_dornish.txt,874,Martell_asoiaf_10,2246
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_dornish.txt,1587,Dayne_asoiaf_5,2347
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_dornish.txt,1588,Dayne_asoiaf_5,2348
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_dornish.txt,1589,Dayne_asoiaf_5,2349
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_dornish.txt,1595,Dayne_asoiaf_5,2350
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_dornish.txt,1599,Dayne_asoiaf_5,2351
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_dornish.txt,1766,Dayne_asoiaf_4,2391
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_dornish.txt,1767,Dayne_asoiaf_4,2392
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_dornish.txt,1768,Dayne_asoiaf_4,2393
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_dornish.txt,1774,Dayne_asoiaf_4,2394
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_dornish.txt,1778,Dayne_asoiaf_4,2395
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_dornish.txt,2309,Uller_asoiaf_6,2481
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_dornish.txt,2310,Uller_asoiaf_6,2482
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_dornish.txt,2311,Uller_asoiaf_6,2483
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_essos.txt,713,Mysaria_asoiaf_1,2605
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_essos.txt,1256,Saan_asoiaf_2,2687
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_essos.txt,1435,Thoros_asoiaf_1,2723
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_essos.txt,1602,Eunuch_asoiaf_1,2761
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_essos.txt,1603,Eunuch_asoiaf_1,2762
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_essos.txt,1604,Eunuch_asoiaf_1,2763
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_essos.txt,1610,Eunuch_asoiaf_1,2764
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_essos.txt,1614,Eunuch_asoiaf_1,2765
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_iron_isles.txt,328,Greyjoy_asoiaf_6,2840
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_iron_isles.txt,329,Greyjoy_asoiaf_6,2841
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_iron_isles.txt,330,Greyjoy_asoiaf_6,2842
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_iron_isles.txt,340,Greyjoy_asoiaf_6,2844
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_iron_isles.txt,511,Greyjoy_asoiaf_9,2884
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_iron_isles.txt,512,Greyjoy_asoiaf_9,2885
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_iron_isles.txt,513,Greyjoy_asoiaf_9,2886
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_iron_isles.txt,519,Greyjoy_asoiaf_9,2887
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_iron_isles.txt,523,Greyjoy_asoiaf_9,2888
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,700,Stark_asoiaf_1,3051
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,1582,Stark_asoiaf_6,3228
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,1583,Stark_asoiaf_6,3229
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,1584,Stark_asoiaf_6,3230
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_north.txt,1590,Stark_asoiaf_6,3231
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,1594,Stark_asoiaf_6,3232
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,3748,Cassel_asoiaf_3,3586
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,3749,Cassel_asoiaf_3,3587
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,3750,Cassel_asoiaf_3,3588
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,3760,Cassel_asoiaf_3,3590
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,4660,Bolton_asoiaf_1,3695
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,4661,Bolton_asoiaf_1,3696
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,4662,Bolton_asoiaf_1,3697
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,4672,Bolton_asoiaf_1,3699
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,4839,Bolton_asoiaf_4,3739
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,4840,Bolton_asoiaf_4,3740
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,4841,Bolton_asoiaf_4,3741
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_north.txt,4847,Bolton_asoiaf_4,3742
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,4851,Bolton_asoiaf_4,3743
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,5018,Bolton_asoiaf_5,3783
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,5019,Bolton_asoiaf_5,3784
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,5020,Bolton_asoiaf_5,3785
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_north.txt,5026,Bolton_asoiaf_5,3786
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,5030,Bolton_asoiaf_5,3787
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,5197,Mormont_asoiaf_2,3827
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,5198,Mormont_asoiaf_2,3828
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,5199,Mormont_asoiaf_2,3829
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_north.txt,5376,Mormont_asoiaf_3,3871
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_north.txt,5377,Mormont_asoiaf_3,3872
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_north.txt,5378,Mormont_asoiaf_3,3873
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,5565,Manderly_asoiaf_6,3915
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,5744,Manderly_asoiaf_7,3951
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,5923,Manderly_asoiaf_8,3987
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,7003,Degore_asoiaf_1,4177
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,7182,Tuttle_asoiaf_4,4213
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,7361,Tuttle_asoiaf_5,4249
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_north.txt,7719,Glover_asoiaf_5,4321
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_reach.txt,333,Tyrell_asoiaf_8,4439
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_reach.txt,334,Tyrell_asoiaf_8,4440
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_reach.txt,335,Tyrell_asoiaf_8,4441
dna_unknown_gene,gene_forehead_inner_brow_width,common/dna_data/test_dna_reach.txt,341,Tyrell_asoiaf_8,4442
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_reach.txt,345,Tyrell_asoiaf_8,4443
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_reach.txt,512,Tyrell_asoiaf_11,4483
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_reach.txt,513,Tyrell_asoiaf_11,4484
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_reach.txt,514,Tyrell_asoiaf_11,4485
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_reach.txt,524,Tyrell_asoiaf_11,4487
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_reach.txt,691,Tyrell_asoiaf_12,4527
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_reach.txt,692,Tyrell_asoiaf_12,4528
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_reach.txt,693,Tyrell_asoiaf_12,4529
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_reach.txt,703,Tyrell_asoiaf_12,4531
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_reach.txt,1058,Tyrell_asoiaf_14,4606
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_reach.txt,1414,Redwyne_asoiaf_2,4652
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_reach.txt,1415,Redwyne_asoiaf_2,4653
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_reach.txt,1416,Redwyne_asoiaf_2,4654
dna_unknown_gene,gene_bs_eye_fold_2,common/dna_data/test_dna_reach.txt,1426,Redwyne_asoiaf_2,4656
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_reach.txt,2154,Tarly_asoiaf_1,4726
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_reach.txt,2155,Tarly_asoiaf_1,4727
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_reach.txt,2156,Tarly_asoiaf_1,4728
dna_unknown_gene,gene_eye_size,common/dna_data/test_dna_reach.txt,2333,Tarly_asoiaf_2,4770
dna_unknown_gene,gene_eye_shut_top,common/dna_data/test_dna_reach.txt,2334,Tarly_asoiaf_2,4771
dna_unknown_gene,gene_eye_shut_bottom,common/dna_data/test_dna_reach.txt,2335,Tarly_asoiaf_2,4772
