Gene,Value,DonorCount
gene_dragon_body_pattern,"""dragon_body_pattern_stripes_1_black"" 127 ""dragon_body_pattern_stripes_1_black"" 127",5273
gene_dragon_body_shading,"""dragon_body_shading_lower_black"" 0 ""dragon_body_shading_lower_black"" 0",5273
gene_dragon_eye_color_hue,"""dragon_eye_color_hue"" 127 ""dragon_eye_color_hue"" 127",5273
gene_dragon_eye_color_saturation,"""dragon_eye_color_saturation"" 127 ""dragon_eye_color_saturation"" 127",5273
gene_dragon_eye_color_value,"""dragon_eye_color_value"" 127 ""dragon_eye_color_value"" 127",5273
gene_dragon_fire_color,"""gene_dragon_fire_color_automatic"" 127 ""gene_dragon_fire_color_automatic"" 127",5273
gene_dragon_fire_smoke,"""gene_dragon_fire_smoke_automatic"" 127 ""gene_dragon_fire_smoke_automatic"" 127",5273
gene_dragon_horn_color_hue,"""dragon_horn_color_hue"" 127 ""dragon_horn_color_hue"" 127",5273
gene_dragon_horn_color_saturation,"""dragon_horn_color_saturation"" 127 ""dragon_horn_color_saturation"" 127",5273
gene_dragon_horn_color_value,"""dragon_horn_color_value"" 127 ""dragon_horn_color_value"" 127",5273
gene_dragon_main_horn_shape,""""" 127 """" 127",5273
gene_dragon_metallic_scales_strength,"""dragon_scales_metallic"" 127 ""dragon_scales_metallic"" 127",5273
gene_dragon_primary_color_hue,"""dragon_primary_color_hue"" 127 ""dragon_primary_color_hue"" 127",5273
gene_dragon_primary_color_saturation,"""dragon_primary_color_saturation"" 127 ""dragon_primary_color_saturation"" 127",5273
gene_dragon_primary_color_value,"""dragon_primary_color_value"" 127 ""dragon_primary_color_value"" 127",5273
gene_dragon_scale_highlights,"""dragon_scale_highlights_default"" 127 ""dragon_scale_highlights_default"" 127",5273
gene_dragon_scale_shadows,"""dragon_scale_shadows_default"" 127 ""dragon_scale_shadows_default"" 127",5273
gene_dragon_secondary_hue,"""dragon_secondary_hue"" 127 ""dragon_secondary_hue"" 127",5273
gene_dragon_secondary_saturation,"""dragon_secondary_saturation"" 127 ""dragon_secondary_saturation"" 127",5273
gene_dragon_secondary_value,"""dragon_secondary_value"" 127 ""dragon_secondary_value"" 127",5273
gene_dragon_tertiary_hue,"""dragon_tertiary_hue"" 127 ""dragon_tertiary_hue"" 127",5273
gene_dragon_tertiary_saturation,"""dragon_tertiary_saturation"" 127 ""dragon_tertiary_saturation"" 127",5273
gene_dragon_tertiary_value,"""dragon_tertiary_value"" 127 ""dragon_tertiary_value"" 127",5273
gene_dragon_wings_shading,"""dragon_wings_shading_back_black"" 0 ""dragon_wings_shading_back_black"" 0",5273
gene_dragon_wounded,"""dragon_scarred"" 0 ""dragon_scarred"" 0",5273
