"Key","Russian"
"DI_holding_filter_castle_holding_loc","Отметить: [Concept( 'castle', 'Замковое' )|E] владение"
"DI_holding_filter_church_holding_loc","Отметить: Церковное владение"
"DI_holding_filter_city_holding_loc","Отметить: [Concept( 'city', 'Городское' )|E] владение"
"DI_holding_filter_herder_holding_loc","Отметить: Пастушье селение"
"DI_holding_filter_monastery_holding_loc","Отметить: Монастырь"
"DI_holding_filter_nomad_holding_loc","Отметить: Стойбище кочевников"
"DI_holding_filter_pirate_den_holding_loc","Отметить: Пиратское логово"
"DI_holding_filter_ruin_holding_loc","Отметить: Руины"
"DI_holding_filter_settlement_holding_loc","Отметить: Владение-поселение"
"DI_holding_filter_temple_citadel_holding_loc","Отметить: Монастырские владения"
"DI_holding_filter_tribal_holding_loc","Отметить: [Concept( 'tribal', 'Племенное' )|E] владение"
"DI_holding_filter_unknown_holding_loc","Отметить: Неизвестное владение"
"DI_holding_filter_wilderness_holding_loc","Отметить: Владение в дебрях"
"DI_holding_type_castle_holding","[Concept( 'castle', 'Замковое' )|E] владение"
"DI_holding_type_church_holding","Церковное владение"
"DI_holding_type_city_holding","[Concept( 'city', 'Городское' )|E] владение"
"DI_holding_type_herder_holding","Пастушье селение"
"DI_holding_type_monastery_holding","Монастырь"
"DI_holding_type_nomad_holding","Стойбище кочевников"
"DI_holding_type_pirate_den_holding","Пиратское логово"
"DI_holding_type_ruin_holding","Руины"
"DI_holding_type_settlement_holding","Владение-поселение"
"DI_holding_type_temple_citadel_holding","Монастырские владения"
"DI_holding_type_tribal_holding","[Concept( 'tribal', 'Племенное' )|E] владение"
"DI_holding_type_unknown_holding","Неизвестное владение"
"DI_holding_type_wilderness_holding","Владение в дебрях"
