"Key","English","BuiltinRussian","BaseRussian","Russian"
"brindled_warriors",,,,"Пятнистые воины"
"building_type_gfx_reset_building",,,,"Обновить облик владения"
"building_type_special_castle_black",,,,"Чёрный замок"
"building_type_special_castle_black_damaged",,,,"Повреждённый Чёрный замок"
"building_type_special_kings_landing_hoodmarket",,,,"Улицы Королевской Гавани"
"building_type_special_kings_landing_hoodmarket_destroyed",,,,"Разрушенные улицы Королевской Гавани"
"building_type_special_kings_landing_not_explosion_graphical",,,,"Дикий огонь в Королевской Гавани — внешний вид"
"building_type_special_the_wall",,,,"Стена"
"building_type_special_the_wall_broken_middle_graphical",,,,"Пролом в Стене — внешний вид"
"building_type_special_the_wall_damaged",,,,"Повреждённая Стена"
"building_type_special_the_wall_graphical",,,,"Стена — внешний вид"
"building_type_walls_00",,,,"Без стен"
"building_type_walls_01_tribal",,,,"Племенные стены — внешний вид"
"butterflies",,,,"Бабочки"
"collar_breakers",,,,"Сокрушители оков"
"corsairs",,,,"Корсары"
"DI_00_AAA_agot_overrides","Aaa Agot Overrides","Aaa Agot Overrides",,"AGOT: обновление облика владений"
"DI_00_admin_buildings","Admin Buildings","Admin Buildings","Административные","Административные постройки"
"DI_00_agot_duchy_buildings","Agot Duchy Buildings","Agot Duchy Buildings",,"AGOT: постройки герцогств"
"DI_00_agot_great_buildings_unique","Agot Great Buildings Unique","Agot Great Buildings Unique",,"AGOT: уникальные великие постройки"
"DI_00_agot_great_project_buildings","Agot Great Project Buildings","Agot Great Project Buildings",,"AGOT: великие проекты"
"DI_00_agot_special_buildings","Agot Special Buildings","Agot Special Buildings",,"AGOT: особые постройки"
"DI_00_agot_special_buildings_beyond_the_wall","Agot Special Buildings Beyond The Wall","Agot Special Buildings Beyond The Wall",,"AGOT: особые постройки за Стеной"
"DI_00_agot_special_buildings_essos","Agot Special Buildings Essos","Agot Special Buildings Essos",,"AGOT: особые постройки Эссоса"
"DI_00_agot_special_buildings_the_wall","Agot Special Buildings The Wall","Agot Special Buildings The Wall",,"AGOT: особые постройки Стены"
"DI_00_agot_special_buildings_westeros","Agot Special Buildings Westeros","Agot Special Buildings Westeros",,"AGOT: особые постройки Вестероса"
"DI_00_agot_standard_economy_buildings","Agot Standard Economy Buildings","Agot Standard Economy Buildings",,"AGOT: хозяйственные постройки"
"DI_00_agot_temple_buildings","Agot Temple Buildings","Agot Temple Buildings",,"AGOT: храмовые постройки"
