"Key","MainFile","MainLine","TranslationFile","TranslationLine","Text"
"bookmark_129_aegon_targaryen_2_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","66","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","65","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_129_rhaenyra_targaryen_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","60","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","59","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_195_daemon_blackfyre_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","73","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","72","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_195_daeron_targaryen_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","77","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","76","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_195_harys_bracken_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","83","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","82","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_298_balon_greyjoy_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","113","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","113","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_298_joffrey_baratheon_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","93","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","92","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_298_renly_baratheon_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","109","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","109","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_298_robb_stark_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","89","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","88","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_298_stannis_baratheon_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","119","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","119","$BOOKMARK_SUBHEADING_DEFAULT$"
"bookmark_298_tywin_lannister_subheading","localization/english/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_english.yml","103","localization/russian/agotbm/agotbm_bookmark/agotbm_bookmark_characters_l_russian.yml","103","$BOOKMARK_SUBHEADING_DEFAULT$"
