"Key","File","Line","Text","ExternalTranslation"
"demand_braavosi_eggs_decision","localization/replace/russian/mde_demand_egg_events_l_russian.yml","3","Требовать возврата украденных драконьих яиц","Потребовать возвращения украденных драконьих яиц"
"demand_braavosi_eggs_decision_desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","4","Долгое время существование драконьих яиц в Вольных Городах было известно. Погашенные долги прошлого и сомнения в возможности вылупления этих яиц сохраняли статус-кво бездействия.\n\nНо угроза того, что может появиться другой дом, оседлавший драконов, пусть и маловероятная, слишком велика, чтобы закрывать на это глаза.\n\nХватит поддерживать иллюзию неведения! Мы официально потребуем возврата этих яиц под угрозой войны!\n\n@warning_icon!#X Мы сможем принять это решение только один раз за жизнь, даже если оно будет отменено!#!","О драконьих яйцах в Вольных городах известно уже давно. Старые долги были погашены, а сомнения в том, что эти яйца вообще способны вылупиться, годами удерживали всех от решительных действий.\n\nНо даже малая вероятность появления нового дома, способного оседлать драконов, слишком опасна, чтобы и дальше делать вид, будто ничего не происходит.\n\nХватит этой удобной лжи. Мы потребуем вернуть яйца — официально и под угрозой войны.\n\n@warning_icon!#X Это решение можно принять только один раз за жизнь, даже если затем оно будет отменено!#!"
"demand_braavosi_eggs_decision_tooltip","localization/replace/russian/mde_demand_egg_events_l_russian.yml","6","Выдвинуть требование о возврате яиц из Вольных Городов","Потребовать возвращения яиц из Вольных городов"
"mde_demand_egg_events.0001.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","9","Великая кража [thief.GetFullName] стала печально известным событием. Стремясь построить корабль для плавания к Закатному Морю и не сумев получить его от подруги [rhaena.GetFullName], [thief.GetFullName] украла три яйца, отложенные [dreamfyre.GetName], и продала их морскому лорду Браавоса.\n\nХотя погашение долга Таргариенов морским лордом ранее сглаживало ситуацию, [egg_taker.GetFullName] выдвинул новое, ужасающее требование. Нам сообщили, что они знают о драконьих яйцах в наших владениях и готовы начать войну за них!","Великая кража [thief.GetFullName] стала печально известной. Желая построить корабль для плавания к Закатному морю и не добившись помощи от своей подруги [rhaena.GetFullName], [thief.GetFullName] украла три яйца, отложенные [dreamfyre.GetName], а затем продала их морскому лорду Браавоса.\n\nПрежде погашение долга Таргариенов морским лордом помогало удерживать дело от открытого конфликта, но теперь [egg_taker.GetFullName] выдвигает новое, куда более опасное требование. До нас дошли вести: им известно о драконьих яйцах в наших владениях, и они готовы начать за них войну."
"mde_demand_egg_events.0001.a","localization/replace/russian/mde_demand_egg_events_l_russian.yml","10","Мы не можем рисковать войной, уступим требованию.","Мы не можем рисковать войной. Придётся уступить."
"mde_demand_egg_events.0001.b","localization/replace/russian/mde_demand_egg_events_l_russian.yml","12","Возможно, золото их убедит.","Возможно, золото их умиротворит."
"mde_demand_egg_events.0001.c","localization/replace/russian/mde_demand_egg_events_l_russian.yml","14","К черту угрозы, мы останемся непоколебимы.","К чёрту угрозы. Мы не дрогнем."
"mde_demand_egg_events.0001.c.tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","15","@warning_icon!#X [egg_taker.GetFullName] скорее всего объявит нам войну!#!","@warning_icon!#X [egg_taker.GetFullName] с большой вероятностью объявит нам войну!#!"
"mde_demand_egg_events.0002.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","18","[egg_target.GetFullName] отказался отдать нам принадлежащие нам драконьи яйца! Они также не предложили ничего равноценного взамен. Единственный оставшийся путь - собрать войска и начать войну.\n\nМы должны тщательно обдумать это. Достаточно ли у нас сил, чтобы покорить их, и стоит ли оно того?","[egg_target.GetFullName] отказывается отдать нам драконьи яйца, которые принадлежат нам по праву, и не предлагает достойной компенсации. Остаётся лишь собрать войска и начать войну.\n\nНо стоит всё тщательно взвесить: хватит ли у нас сил одержать победу — и стоят ли яйца такой цены?"
"mde_demand_egg_events.0002.a","localization/replace/russian/mde_demand_egg_events_l_russian.yml","19","Яйца по праву наши! К оружию!","Яйца принадлежат нам по праву. К оружию!"
"mde_demand_egg_events.0003.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","24","[egg_target.GetFullName] выслушал наши требования и предложил встречное предложение - огромную сумму золота в размере [gold_i]#emphasis $5000|V0$#!. Теперь нам предстоит решить, принесет ли это золото больше пользы, чем хлопоты по эскалации конфликта ради яиц.","[egg_target.GetFullName] выслушивает наши требования и предлагает встречный дар — огромную сумму золота, [gold_i]#emphasis $5000|V0$#!. Теперь нам решать, принесёт ли это золото больше пользы, чем попытка вернуть яйца силой."
"mde_demand_egg_events.0003.a","localization/replace/russian/mde_demand_egg_events_l_russian.yml","25","В их руках они всего лишь камни, а золото - лучший камень...","В их руках это лишь камни... а золото куда полезнее."
"mde_demand_egg_events.0003.b","localization/replace/russian/mde_demand_egg_events_l_russian.yml","27","Что золото по сравнению с плотью, ставшей огнем!","Что золото рядом с плотью, ставшей огнём?"
"mde_demand_egg_events.0003.b.tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","28","Мы обдумаем эскалацию конфликта до войны!","Мы обдумаем, стоит ли доводить дело до войны."
"mde_demand_egg_events.0004.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","31","[egg_taker.GetFullName] провозгласил, что наше [egg_target.GetName] по праву принадлежит ему по законам богов и людей!\n\nТакое требование представляет серьезную опасность и должно быть рассмотрено с величайшим вниманием. Мы можем уступить их требованию, предложить им значительную сумму золота в размере [gold_i]#emphasis $1500|V0$#! или рискнуть навлечь их гнев - будь то наш арест или объявление войны!","[egg_taker.GetFullName] заявляет права на наше [egg_target.GetName] — по законам богов и людей!\n\nТакое требование опасно и требует величайшей осторожности. Мы можем уступить, предложить внушительную сумму золота — [gold_i]#emphasis $1500|V0$#! — или рискнуть навлечь их гнев — арестом либо войной."
"mde_demand_egg_events.0004.a","localization/replace/russian/mde_demand_egg_events_l_russian.yml","32","[egg_taker.GetNameNoTooltip] представляет слишком большую угрозу, мы должны уступить.","Угроза от [egg_taker.GetNameNoTooltip] слишком велика. Придётся уступить."
"mde_demand_egg_events.0004.b","localization/replace/russian/mde_demand_egg_events_l_russian.yml","34","Возможно, золото их убедит...","Возможно, золото их умиротворит..."
"mde_demand_egg_events.0004.c","localization/replace/russian/mde_demand_egg_events_l_russian.yml","35","К черту угрозы, мы останемся непоколебимы.","К чёрту угрозы. Мы не дрогнем."
"mde_demand_egg_events.0004.c.tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","36","@warning_icon!#X [egg_taker.GetFullName] скорее всего объявит нам войну или арестует нас!#!","@warning_icon!#X [egg_taker.GetFullName] с большой вероятностью объявит нам войну или попытается нас арестовать!#!"
"mde_demand_egg_events.0005.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","39","[egg_victim.GetFullName] выслушал наши требования и предложил встречное предложение - огромную сумму золота в размере [gold_i]#emphasis $1500|V0$#!. Теперь нам предстоит решить, принесет ли это золото больше пользы, чем хлопоты по эскалации конфликта ради [egg_target.GetName].","[egg_victim.GetFullName] выслушивает наши требования и предлагает встречный дар — огромную сумму золота, [gold_i]#emphasis $1500|V0$#!. Теперь нам решать, принесёт ли это золото больше пользы, чем попытка вернуть [egg_target.GetName] силой."
"mde_demand_egg_events.0005.a","localization/replace/russian/mde_demand_egg_events_l_russian.yml","40","Это весьма значительная сумма золота...","Сумма и правда немалая..."
"mde_demand_egg_events.0005.b","localization/replace/russian/mde_demand_egg_events_l_russian.yml","42","Что золото по сравнению с плотью, ставшей огнем!","Что золото рядом с плотью, ставшей огнём?"
"mde_demand_egg_events.0005.b.tt","localization/replace/russian/mde_demand_egg_events_l_russian.yml","43","Мы обдумаем эскалацию конфликта до войны!","Мы обдумаем, стоит ли доводить дело до войны."
"mde_demand_egg_events.0006.t","localization/replace/russian/mde_demand_egg_events_l_russian.yml","45","Требования отклонены!","Требование отклонено!"
"mde_demand_egg_events.0006.desc","localization/replace/russian/mde_demand_egg_events_l_russian.yml","46","[egg_target.GetName] отказался отдать нам принадлежащее нам драконье яйцо! Они также не предложили ничего равноценного взамен. Теперь мы должны взвесить наши варианты.\n\nМы можем собрать войска и начать войну (если это позволяет закон), арестовать их (если позволяет закон), претендовать на яйцо и использовать другие методы возврата или полностью и навсегда отказаться от этого дела.","[egg_victim.GetName] отказывается отдать нам драконье яйцо, которое принадлежит нам по праву, и не предлагает достойной компенсации. Теперь нужно взвесить варианты.\n\nМы можем собрать войска и начать войну, если закон это позволяет; арестовать владельца, если закон на нашей стороне; предъявить претензию на яйцо и искать иной путь его возвращения — или окончательно отказаться от этого дела."
"mde_demand_egg_events.0006.a","localization/replace/russian/mde_demand_egg_events_l_russian.yml","47","[egg_target.GetNameNoTooltip] по праву наше! К оружию!","[egg_target.GetNameNoTooltip] принадлежит нам по праву. К оружию!"
