"Catalog","Key","File","Line","Text"
"EN","unlock_de_gui_tt","localization/replace/english/mde_customizer_l_english.yml","2","Unlock this value for the randomizer"
"EN","lock_de_gui_tt","localization/replace/english/mde_customizer_l_english.yml","3","Lock this value from the randomizer"
"EN","lock_all_gui_tt","localization/replace/english/mde_customizer_l_english.yml","4","Lock all values from the randomizer"
"EN","unlock_all_gui_tt","localization/replace/english/mde_customizer_l_english.yml","5","Unlock all values for the randomizer"
"EN","DRAGON_DESIGNER_RANDOMIZE_TOOLTIP","localization/replace/english/mde_customizer_l_english.yml","6","#T Randomize Dragon Appearance #!\nThis will completely randomize the appearance of this dragon regardless of egg color."
"EN","DRAGON_DESIGNER_RANDOMIZE_BY_EGG_COLOR_TOOLTIP","localization/replace/english/mde_customizer_l_english.yml","7","#T Randomize Dragon Appearance by Egg Color #!\nThis will randomize the appearance of this dragon as if it were another dragon hatched from the same type of egg. It will be grayed out if the dragon doesn't have a saved egg color"
"EN","demand_braavosi_eggs_decision","localization/replace/english/mde_demand_egg_events_l_english.yml","3","Demand The Stolen Dragon Eggs"
"EN","demand_braavosi_eggs_decision_desc","localization/replace/english/mde_demand_egg_events_l_english.yml","4","Long has the existence of dragon eggs in the Free Cities been known. The settled debts of the past and the suspiscion of the impossibility of hatching these eggs has maintained a status quo of inaction in this matter.\n\nBut the threat, however unlikely, that another dragonriding house might come to be, is far too great to keep a blind eye to.\n\nNo longer shall we uphold the illusion of ignorance! We will officially demand the return of these eggs, under the threat of war!\n\n@warning_icon!#X We will only be able to take this decision once per lifetime, even if it is canceled!#!"
"EN","demand_braavosi_eggs_decision_confirm","localization/replace/english/mde_demand_egg_events_l_english.yml","5","Issue the demand!"
"EN","demand_braavosi_eggs_decision_tooltip","localization/replace/english/mde_demand_egg_events_l_english.yml","6","Issue a demand to return the eggs from the Free Cities"
"EN","mde_demand_egg_events.0001.t","localization/replace/english/mde_demand_egg_events_l_english.yml","8","[egg_taker.GetPrimaryTitle.GetNameNoTier] Issues An Ultimatum!"
"EN","mde_demand_egg_events.0001.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","9","The great heist of [thief.GetFullName] was an event of particular infamy. Sparked on by her desire to be able to build a ship to sail the Sunset Sea, and her inabiltiy to acquire this from her friend, [rhaena.GetFullName], [thief.GetFullName] stole three eggs laid by [dreamfyre.GetName], and sold them to the Sealord of Braavos.\n\nWhile the Sealord settling the debt the Targaryens had held tempered the issue in the past, [egg_taker.GetFullName] has issued a new, dreadful demand. They have informed us that they know the dragon eggs are within our realm, and that they will go to war to secure them!"
"EN","mde_demand_egg_events.0001.a","localization/replace/english/mde_demand_egg_events_l_english.yml","10","We cannot risk war, cave to their demands."
"EN","mde_demand_egg_events.0001.a.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","11","We will surrender the dragon eggs to [egg_taker.GetFullName]:\n• [egg_drogon.GetName]\n• [egg_viserion.GetName]\n• [egg_rhaegal.GetName]"
"EN","mde_demand_egg_events.0001.b","localization/replace/english/mde_demand_egg_events_l_english.yml","12","Mayhaps gold will dissuade them."
"EN","mde_demand_egg_events.0001.b.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","13","We will offer [egg_taker.GetFullName] [gold_i]#emphasis $5000|V0$#! in place of the eggs."
"EN","mde_demand_egg_events.0001.c","localization/replace/english/mde_demand_egg_events_l_english.yml","14","Threats be damned, we will remain steadfast in our resolve."
"EN","mde_demand_egg_events.0001.c.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","15","@warning_icon!#X [egg_taker.GetFullName] is likely to declare war on us!#!"
"EN","mde_demand_egg_events.0002.t","localization/replace/english/mde_demand_egg_events_l_english.yml","17","War For The Dragon Eggs!"
"EN","mde_demand_egg_events.0002.desc","localization/replace/english/mde_demand_egg_events_l_english.yml","18","[egg_target.GetFullName] has refused to give us the dragon eggs that belong to us! Nor have they given anything sufficient in their stead. The only course of action that remains to us is to rally our soldiers and march to war.\n\nWe must be careful in our consideration of this. Do we have the might required to conquer them, and is it worth it?"
"EN","mde_demand_egg_events.0002.a","localization/replace/english/mde_demand_egg_events_l_english.yml","19","The eggs are ours by right! To war!"
"EN","mde_demand_egg_events.0002.b","localization/replace/english/mde_demand_egg_events_l_english.yml","20","The eggs may remain in their care..."
"EN","mde_demand_egg_events.0002.b.tt","localization/replace/english/mde_demand_egg_events_l_english.yml","21","@warning_icon!#X We will lose our claims on the eggs and won't have another opportunity to claim them!#!"
"EN","mde_demand_egg_events.0003.t","localization/replace/english/mde_demand_egg_events_l_english.yml","23","An Offer Of Gold"
