"Key","MainFile","MainLine","English","Translation","TranslationPresent","BuiltinRussian","BuiltinFile","BuiltinLine","BuiltinIdenticalToEnglish","ExternalCatalog","ExternalFile","ExternalLine","ExternalRussian","AnyCyrillic"
"a_crown_for_a_king_decision","localization/replace/english/more_dragon_eggs_events_l_english.yml","122","A Crown for a King","Корона для короля","True","Корона для короля","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","119","False",,,,,"True"
"a_crown_for_a_king_decision_confirm","localization/replace/english/more_dragon_eggs_events_l_english.yml","124","Crown him!","Короновать его!","True","Короновать его!","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","121","False",,,,,"True"
"a_crown_for_a_king_decision_desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","123","Viserys is unworthy of being the King of The Seven Kingdoms, but there is one who is worthy...","Визерис недостоин быть королём Семи Королевств, но есть тот, кто достоин...","True","Визерис недостоин быть королем Семи Королевств, но есть тот, кто достоин...","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","120","False",,,,,"True"
"a_crown_for_a_king_decision_tooltip","localization/replace/english/more_dragon_eggs_events_l_english.yml","125","@warning_icon!#X This will remove Viserys as head of the Targaryen Exiles!#","@warning_icon!#X Это сместит Визериса с места главы Таргариенов в изгнании!#!","True","@warning_icon!#X Это сместит Визериса как главу Таргариенов в изгнании!#","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","122","False",,,,,"True"
"aemond_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","210","Winged Stranger","","False",,,,"False",,,,,"False"
"aemond_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","211","Hegagon","","False",,,,"False",,,,,"False"
"aemond_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","212","Qelos","","False",,,,"False",,,,,"False"
"aenys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","204","Goldfyre","","False",,,,"False",,,,,"False"
"aenys_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","205","Deltharion","","False",,,,"False",,,,,"False"
"aerea_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","206","Laengar","","False",,,,"False",,,,,"False"
"aerea_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","207","Moonfyre","","False",,,,"False",,,,,"False"
