"Catalog","File","Line","Key","Text"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","264","agot_dragon_laid_clutch_1","Откладывание яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","265","agot_laid_clutch_desc_1","Мной отложена кладка из одного яйца"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","266","agot_laid_clutch_desc_second_perspective_1","Вы отложили кладку из одного яйца"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","267","agot_laid_clutch_desc_third_perspective_1","[owner.GetName] [Select_CString(owner.IsFemale, 'отложила', 'отложил' )] кладку из одного яйца"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","269","agot_dragon_laid_clutch_2","Откладывание яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","270","agot_laid_clutch_desc_2","Мной отложена кладка из двух яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","271","agot_laid_clutch_desc_second_perspective_2","Вы отложили кладку из двух яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","272","agot_laid_clutch_desc_third_perspective_2","[owner.GetName] [Select_CString(owner.IsFemale, 'отложила', 'отложил' )] кладку из двух яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","274","agot_dragon_laid_clutch_3","Откладывание яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","275","agot_laid_clutch_desc_3","Мной отложена кладка из трёх яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","276","agot_laid_clutch_desc_second_perspective_3","Вы отложили кладку из трёх яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","277","agot_laid_clutch_desc_third_perspective_3","[owner.GetName] [Select_CString(owner.IsFemale, 'отложила', 'отложил' )] кладку из трёх яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","279","agot_dragon_laid_clutch_4","Откладывание яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","280","agot_laid_clutch_desc_4","Мной отложена кладка из четверых яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","281","agot_laid_clutch_desc_second_perspective_4","Вы отложили кладку из четверых яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","282","agot_laid_clutch_desc_third_perspective_4","[owner.GetName] [Select_CString(owner.IsFemale, 'отложила', 'отложил' )] кладку из четверых яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","284","agot_dragon_laid_clutch_5","Откладывание яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","285","agot_laid_clutch_desc_5","Мной отложена кладка из пяти яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","286","agot_laid_clutch_desc_second_perspective_5","Вы отложили кладку из пяти яиц"
"AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_memories_l_russian.yml","287","agot_laid_clutch_desc_third_perspective_5","[owner.GetName] [Select_CString(owner.IsFemale, 'отложила', 'отложил' )] кладку из пяти яиц"
