"Key","File","Line","Russian","BuiltinRussian","ExternalRussian"
"mde_dragon_egg_gen_parent","localization/russian/dp_artifacts_l_russian.yml","144","Это яйцо было отложено [tempdragonparent.GetName].","False","False"
"mde_dragon_egg_gen_parents","localization/russian/dp_artifacts_l_russian.yml","145","Это яйцо было отложено [tempdragonparent.GetName] и [dragon_parent_other.GetName].","False","False"
"dragon_pen_01_domicile_building","localization/russian/dp_domicile_buildings_l_russian.yml","2","Загон для драконов","False","False"
"dragon_pen_01_domicile_building_desc","localization/russian/dp_domicile_buildings_l_russian.yml","3","Здесь авантюристы могут держать своих драконов.","False","False"
"demanded_egg_interaction","localization/russian/mde_demand_egg_events_l_russian.yml","92","[actor.GetTitledFirstNameNoTooltip] требует передать [target.GetName] — ваш [Concept('artifact', 'артефакт')|E]","False","False"
"mde_this_dragon_will_hatch_this","localization/russian/mde_demand_egg_events_l_russian.yml","97","#color_dark_gray [Artifact.Custom('mde_this_dragon_will_hatch')] #!","False","False"
"decision_group_type_more_eggs","localization/russian/more_dragon_eggs_decisions_l_russian.yml","3","@dragon_destined_icon! Дополнительные драконьи яйца","False","False"
"move_dragon_dragonpit","localization/russian/more_dragon_eggs_decisions_l_russian.yml","6","Переместить дракона в драконью яму","False","False"
"move_dragon_dragonpit_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","8","Открывает меню выбора подходящего дракона, а затем меню выбора подходящей драконьей ямы. После этого выбранный дракон будет перемещён в выбранную яму.","False","False"
"move_dragon_dragonpit_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","9","Открыть меню","False","False"
"delete_duds_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","11","Удалить порченые яйца","False","False"
"delete_duds_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","13","Удалить все порченые драконьи яйца.","False","False"
"delete_duds_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","14","Удалить","False","False"
"show_dragonpits_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","16","Управление драконьими ямами","False","False"
"show_dragonpits_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","17","Открывает меню всех действующих драконьих ям и дополнительных действий.","False","False"
"show_dragonpits_decision_confirm","localization/russian/more_dragon_eggs_decisions_l_russian.yml","18","Управлять","False","False"
"show_dragons_decision","localization/russian/more_dragon_eggs_decisions_l_russian.yml","20","Управление драконами","False","False"
"show_dragons_decision_desc","localization/russian/more_dragon_eggs_decisions_l_russian.yml","21","Открывает меню всех живых драконов и дополнительных действий.","False","False"
