"Key","MainFile","MainLine","TranslationFile","TranslationLine","Text"
"DRAGON_PITTED_WITH_GUI","localization/replace/english/more_dragon_eggs_events_l_english.yml","102","localization/russian/more_dragon_eggs_events_l_russian.yml","171","$DRAGON_RELATION_IS_PITTED$ • [Character.Custom('DPGetDragonTypeGuiTooltip')]"
"DRAGON_WANDERING_WITH_GUI","localization/replace/english/more_dragon_eggs_events_l_english.yml","104","localization/russian/more_dragon_eggs_events_l_russian.yml","172","$DRAGON_RELATION_IS_WANDERING$ • [Character.Custom('DPGetDragonTypeGuiTooltip')]"
"game_rule_category_mde","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","512","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","423","@mde_icon!More Dragon Eggs"
"INVITE_TO_KINGSGUARD_TT","localization/replace/english/more_dragon_eggs_ui_l_english.yml","29","localization/russian/more_dragon_eggs_ui_l_russian.yml","23","@icon_kingsguard!#clickable $invite_to_kingsguard_interaction$"
"mde_decisions_events.1000.t","localization/replace/english/mde_demand_egg_events_l_english.yml","97","localization/russian/mde_demand_egg_events_l_russian.yml","100","$dragon_egg_blue$"
"mde_decisions_events.1001.t","localization/replace/english/mde_demand_egg_events_l_english.yml","103","localization/russian/mde_demand_egg_events_l_russian.yml","106","$dragon_egg_blue$"
"mde_decisions_events.1002.t","localization/replace/english/mde_demand_egg_events_l_english.yml","108","localization/russian/mde_demand_egg_events_l_russian.yml","111","$dragon_egg_blue$"
"mde_dragonlore_visit.tt","localization/replace/english/more_dragon_eggs_travel_l_english.yml","3","localization/russian/more_dragon_eggs_travel_l_russian.yml","3","[province.Custom('DragonLocationsDesc')]"
"mde_is_kingsguard","localization/replace/english/more_dragon_eggs_ui_l_english.yml","12","localization/russian/more_dragon_eggs_ui_l_russian.yml","9","[Character.Custom('KingsguardName')]"
"setting_dragon_egg_clutch_size_plus_one","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","299","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","213","+1"
"setting_dragon_egg_clutch_size_plus_three","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","301","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","215","+3"
"setting_dragon_egg_clutch_size_plus_two","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","300","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","214","+2"
"setting_use_dragon_pit_mover_yes","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","5","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","4","@mde_icon!More Dragon Eggs"
"show_dragonpits_decision_tooltip","localization/replace/english/more_dragon_eggs_events_l_english.yml","98","localization/russian/more_dragon_eggs_events_l_russian.yml","167",""
"show_dragons_decision_tooltip","localization/replace/english/more_dragon_eggs_events_l_english.yml","97","localization/russian/more_dragon_eggs_events_l_russian.yml","166",""
"show_eggs_decision_tooltip","localization/replace/english/more_dragon_eggs_events_l_english.yml","96","localization/russian/more_dragon_eggs_events_l_russian.yml","165",""
