"Key","File","Line","VisibleText"
"game_rule_category_mde","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","423","More Dragon Eggs"
"game_rule_category_mde_major","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","424","More Dragon Eggs: основные правила"
"game_rule_category_mde_misc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","429","More Dragon Eggs: прочие настройки"
"more_eggs_debug_decision_tooltip","localization/russian/more_dragon_eggs_decisions_l_russian.yml","34","Открыть отладочные действия More Dragon Eggs."
"rule_use_dragon_pit_mover","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","2","More Dragon Eggs — перемещение в драконью яму"
"setting_can_landless_steal_everything","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","408","Базовый CK3"
"setting_can_landless_steal_everything_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","414","Правила кражи артефактов соответствуют базовому CK3."
"setting_can_landless_steal_vanilla","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","404","Базовый AGOT"
"setting_can_landless_steal_vanilla_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","410","Правила кражи артефактов соответствуют базовой версии AGOT."
"setting_stepstone_invasion_frequency_every_5_years_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","387","Вторжения на Ступени будут происходить каждые 5 лет — как в базовом AGOT."
"setting_summerhall_guaranteed_all_seven_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","340","Цепочка событий в Летнем замке приведёт к появлению семи драконов у Эйгона V."
"setting_summerhall_seven_wild_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","339","Цепочка событий в Летнем замке приведёт к гибели Эйгона V и вылуплению семи диких драконов."
"setting_use_dragon_pit_mover_no","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","3","Базовые настройки AGOT"
"setting_use_dragon_pit_mover_no_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","6","Отключает добавленную More Dragon Eggs функцию. В базовом AGOT её аналога нет."
"setting_use_dragon_pit_mover_yes","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","4","More Dragon Eggs"
"setting_use_dragon_pit_mover_yes_desc","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","7","Включает меню перемещения драконов между драконьими ямами из More Dragon Eggs."
