"Key","MainFile","MainLine","English","BaseRussianAvailable","BaseRussianFile","BaseRussianLine","BaseRussian","RelatedTranslationKey"
"aemond_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","210","Winged Stranger","False","","","",""
"aemond_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","211","Hegagon","False","","","",""
"aemond_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","212","Qelos","False","","","",""
"aenys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","204","Goldfyre","False","","","",""
"aenys_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","205","Deltharion","False","","","",""
"aerea_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","206","Laengar","False","","","",""
"aerea_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","207","Moonfyre","False","","","",""
"aerea_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","208","Adereon","False","","","",""
"agot_dragon_hatching.0403.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","148","Dragons are tenuous beasts, and must be handled thoughtfully and dilligently, for the power they possess and the danger they pose are greater than anything in the known world, especially lest one forget their restless nature. In times of old orders of men were built to maintain these wonders.","False","","","",""
"agot_dragon_hatching.0403.opt.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","149","Pen them in the Dragoncoop.","False","","","",""
"agot_dragon_hatching.0403.opt.a.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","154","All unbonded dragons will be moved into your dragoncoop.","False","","","",""
"agot_dragon_hatching.0403.opt.b","localization/replace/english/more_dragon_eggs_events_l_english.yml","150","Restore the Dragonkeepers in the Dragonmont, and hold the dragons there.","False","","","",""
"agot_dragon_hatching.0403.opt.b.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","155","The Dragonmont will become active again, and all unbonded dragons will be pitted there.","False","","","",""
"agot_dragon_hatching.0403.opt.c","localization/replace/english/more_dragon_eggs_events_l_english.yml","151","Restore the Dragonkeepers in the Dragonmont, but hold the dragons here with me.","False","","","",""
"agot_dragon_hatching.0403.opt.c.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","156","The Dragonmont will become active again, but all unbonded dragons will be pitted in the dragonpit of your capital.","False","","","",""
"agot_dragon_hatching.0403.opt.d","localization/replace/english/more_dragon_eggs_events_l_english.yml","152","The dragons will be housed here in my dragonpit.","False","","","",""
"agot_dragon_hatching.0403.opt.d.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","157","All unbonded dragons will be pitted in the dragonpit of your capital.","False","","","",""
"agot_dragon_hatching.0403.opt.e","localization/replace/english/more_dragon_eggs_events_l_english.yml","153","A dragon is not a slave, let them roam as they please.","False","","","",""
"agot_dragon_hatching.0403.opt.e.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","158","All unbonded dragons will be left unpitted.\n#X These dragons can become wild upon your death!#","False","","","",""
"agot_dragon_hatching.0403.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","147","A Flock of Dragons","False","","","",""
"anogaros_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","159","Anogaros","False","","","",""
"archonei_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","161","Archonei","False","","","",""
"arrax_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","176","Arrax","False","","","",""
"artifact_market_button_manager_text","localization/replace/english/more_dragon_eggs_ui_l_english.yml","9","Toggle Artifact Market Button","False","","","",""
"balerion_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","162","Balerion","False","","","",""
"buttons_toggle","localization/replace/english/more_dragon_eggs_ui_l_english.yml","114","Buttons","False","","","",""
"cannibal_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","186","Cannibal","False","","","",""
"caraxes_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","166","Caraxes","False","","","",""
"daenerys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","209","Hurax","False","","","",""
"dragon_ancestor_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","223","Vaedar","False","","","",""
"dragon_ancestor_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","224","Vezojaes","False","","","",""
"dragon_ancestor_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","225","Falkael","False","","","",""
"dragon_ancestor_4_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","226","Peldion","False","","","",""
"dragon_ancestor_5_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","227","Volon","False","","","",""
"dragon_ancestor_6_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","228","Telarion","False","","","",""
"dragon_coop_01_domicile_building","localization/replace/english/domiciles/mde_domicile_buildings_l_english.yml","2","Dragoncoop","False","","","",""
"dragon_coop_01_domicile_building_desc","localization/replace/english/domiciles/mde_domicile_buildings_l_english.yml","3","This is where adventurers can store their dragons.","False","","","",""
"dragon_egg_alive_or_dead","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","230","[AddLocalizationIf(GetScriptedGui('mde_egg_is_dud').IsShown( GuiScope.SetRoot( GetPlayer.MakeScope ).AddScope( 'this_egg', Artifact.MakeScope ).End ), 'dragon_egg_dud')]Dragon Egg","False","","","",""
"dragon_egg_dud","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","231","Petrified ","False","","","",""
"dragon_egg_embryo_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","7","[Artifact.Custom('mde_dragon_embryo_name')]","False","","","",""
"dragon_egg_laena_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","60","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Starhunter.","False","","","",""
"dragon_egg_maegor_12_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","59","[newly_created_artifact.GetDesc]\n\nThis egg will hatch Greyscale.","False","","","",""
