"Key","MainFile","MainLine","English","Translation","TranslationPresent","BuiltinRussian","BuiltinFile","BuiltinLine","BuiltinIdenticalToEnglish","ExternalCatalog","ExternalFile","ExternalLine","ExternalRussian","AnyCyrillic"
"aemond_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","210","Winged Stranger","","False","","","","False","","","","","False"
"aemond_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","211","Hegagon","","False","","","","False","","","","","False"
"aemond_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","212","Qelos","","False","","","","False","","","","","False"
"aenys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","204","Goldfyre","","False","","","","False","","","","","False"
"aenys_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","205","Deltharion","","False","","","","False","","","","","False"
"aerea_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","206","Laengar","","False","","","","False","","","","","False"
"aerea_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","207","Moonfyre","","False","","","","False","","","","","False"
"aerea_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","208","Adereon","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","148","Dragons are tenuous beasts, and must be handled thoughtfully and dilligently, for the power they possess and the danger they pose are greater than anything in the known world, especially lest one forget their restless nature. In times of old orders of men were built to maintain these wonders.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","149","Pen them in the Dragoncoop.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.a.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","154","All unbonded dragons will be moved into your dragoncoop.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.b","localization/replace/english/more_dragon_eggs_events_l_english.yml","150","Restore the Dragonkeepers in the Dragonmont, and hold the dragons there.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.b.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","155","The Dragonmont will become active again, and all unbonded dragons will be pitted there.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.c","localization/replace/english/more_dragon_eggs_events_l_english.yml","151","Restore the Dragonkeepers in the Dragonmont, but hold the dragons here with me.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.c.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","156","The Dragonmont will become active again, but all unbonded dragons will be pitted in the dragonpit of your capital.","","False","","","","False","","","","","False"
"agot_dragon_hatching.0403.opt.d","localization/replace/english/more_dragon_eggs_events_l_english.yml","152","The dragons will be housed here in my dragonpit.","","False","","","","False","","","","","False"
