"Key","MainFile","MainLine","TranslationFile","TranslationLine","English","Russian","BuiltinRussian"
"a_crown_for_a_king_decision","localization/replace/english/more_dragon_eggs_events_l_english.yml","122","localization/russian/more_dragon_eggs_events_l_russian.yml","204","A Crown for a King","Корона для короля","Корона для короля"
"a_crown_for_a_king_decision_confirm","localization/replace/english/more_dragon_eggs_events_l_english.yml","124","localization/russian/more_dragon_eggs_events_l_russian.yml","206","Crown him!","Короновать его!","Короновать его!"
"a_crown_for_a_king_decision_desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","123","localization/russian/more_dragon_eggs_events_l_russian.yml","205","Viserys is unworthy of being the King of The Seven Kingdoms, but there is one who is worthy...","Визерис недостоин быть королём Семи Королевств, но есть тот, кто достоин...","Визерис недостоин быть королем Семи Королевств, но есть тот, кто достоин..."
"a_crown_for_a_king_decision_tooltip","localization/replace/english/more_dragon_eggs_events_l_english.yml","125","localization/russian/more_dragon_eggs_events_l_russian.yml","207","@warning_icon!#X This will remove Viserys as head of the Targaryen Exiles!#","@warning_icon!#X Это сместит Визериса с места главы Таргариенов в изгнании!#!","@warning_icon!#X Это сместит Визериса как главу Таргариенов в изгнании!#"
"aemond_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","210",,,"Winged Stranger",,
"aemond_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","211",,,"Hegagon",,
"aemond_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","212",,,"Qelos",,
"aenys_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","204",,,"Goldfyre",,
"aenys_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","205",,,"Deltharion",,
"aerea_1_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","206",,,"Laengar",,
"aerea_2_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","207",,,"Moonfyre",,
"aerea_3_desc","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","208",,,"Adereon",,
"agot_dragon_hatching.0401.opt.b","localization/replace/english/mde_demand_egg_events_l_english.yml","94","localization/russian/mde_demand_egg_events_l_russian.yml","95","My children!","Мои дети!","Мои дети!"
"agot_dragon_hatching.0403.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","148",,,"Dragons are tenuous beasts, and must be handled thoughtfully and dilligently, for the power they possess and the danger they pose are greater than anything in the known world, especially lest one forget their restless nature. In times of old orders of men were built to maintain these wonders.",,
"agot_dragon_hatching.0403.opt.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","149",,,"Pen them in the Dragoncoop.",,
"agot_dragon_hatching.0403.opt.a.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","154",,,"All unbonded dragons will be moved into your dragoncoop.",,
"agot_dragon_hatching.0403.opt.b","localization/replace/english/more_dragon_eggs_events_l_english.yml","150",,,"Restore the Dragonkeepers in the Dragonmont, and hold the dragons there.",,
"agot_dragon_hatching.0403.opt.b.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","155",,,"The Dragonmont will become active again, and all unbonded dragons will be pitted there.",,
"agot_dragon_hatching.0403.opt.c","localization/replace/english/more_dragon_eggs_events_l_english.yml","151",,,"Restore the Dragonkeepers in the Dragonmont, but hold the dragons here with me.",,
"agot_dragon_hatching.0403.opt.c.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","156",,,"The Dragonmont will become active again, but all unbonded dragons will be pitted in the dragonpit of your capital.",,
"agot_dragon_hatching.0403.opt.d","localization/replace/english/more_dragon_eggs_events_l_english.yml","152",,,"The dragons will be housed here in my dragonpit.",,
"agot_dragon_hatching.0403.opt.d.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","157",,,"All unbonded dragons will be pitted in the dragonpit of your capital.",,
"agot_dragon_hatching.0403.opt.e","localization/replace/english/more_dragon_eggs_events_l_english.yml","153",,,"A dragon is not a slave, let them roam as they please.",,
"agot_dragon_hatching.0403.opt.e.tt","localization/replace/english/more_dragon_eggs_events_l_english.yml","158",,,"All unbonded dragons will be left unpitted.\n#X These dragons can become wild upon your death!#",,
"agot_dragon_hatching.0403.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","147",,,"A Flock of Dragons",,
"agot_dragon_laid_clutch_1","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","17","localization/russian/more_dragon_eggs_decisions_l_russian.yml","41","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_2","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","22","localization/russian/more_dragon_eggs_decisions_l_russian.yml","46","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_3","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","27","localization/russian/more_dragon_eggs_decisions_l_russian.yml","51","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_4","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","32","localization/russian/more_dragon_eggs_decisions_l_russian.yml","56","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_5","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","37","localization/russian/more_dragon_eggs_decisions_l_russian.yml","61","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_6","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","42","localization/russian/more_dragon_eggs_decisions_l_russian.yml","66","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_7","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","47","localization/russian/more_dragon_eggs_decisions_l_russian.yml","71","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_laid_clutch_8","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","52","localization/russian/more_dragon_eggs_decisions_l_russian.yml","76","Laid Clutch","Отложила кладку","Снесла кладку"
"agot_dragon_maintenance.0800.dragonpits","localization/replace/english/more_dragon_eggs_events_l_english.yml","100","localization/russian/more_dragon_eggs_events_l_russian.yml","169","Show active dragonpits","Показать действующие драконьи ямы","Показать активные драконьи логова"
"agot_dragon_maintenance.0802.desc","localization/replace/english/more_dragon_eggs_events_l_english.yml","94","localization/russian/more_dragon_eggs_events_l_russian.yml","161","","Владельцы драконьих яиц:","Владельцы драконьих яиц:"
"agot_dragon_maintenance.0802.t","localization/replace/english/more_dragon_eggs_events_l_english.yml","109","localization/russian/more_dragon_eggs_events_l_russian.yml","178","Show all existing Dragon Eggs","Показать все существующие драконьи яйца","Показать все существующие драконьи яйца"
"agot_filler_crownlands.0004.a","localization/replace/english/more_dragon_eggs_events_l_english.yml","114","localization/russian/more_dragon_eggs_events_l_russian.yml","196","That was close, but well worth it!","Было близко, но оно того стоило!","Было близко, но оно того стоило!"
