"Catalog","File","Entries","FilenameLanguageMatches","BOM","SHA256"
"EN","localization/replace/english/mde_customizer_l_english.yml","6","True","True","5A68364144F0C5D56FFB8CD03ADCB617193803ED255B3792F66BF887117A5F3A"
"EN","localization/replace/english/mde_demand_egg_events_l_english.yml","95","True","True","9BE85EFF166DF487B0D6B351A5E83B1B435857AAAB4A5CF29F3F79B59F144200"
"EN","localization/replace/english/more_dragon_eggs_decisions_l_english.yml","43","True","True","FE1654333D63FB49E1BF3BCF92214AB6B43324ED4116E93AF3093BA323670CC1"
"EN","localization/replace/english/more_dragon_eggs_events_l_english.yml","131","True","True","D1EE2744DF0ECB71B30F44EA8CEE4F4D3EBDCCB2BB1079C215B8C79EE7F7AF70"
"EN","localization/replace/english/more_dragon_eggs_gamerules_l_english.yml","415","True","True","5D5A8F5EF9C8B88B4DE3E49AB1F5C7456E9154ED71DE29A556D140C1C46B42F2"
"EN","localization/replace/english/more_dragon_eggs_realm_laws_l_english.yml","16","True","True","5C74ACC74360875D9458C2290A4B664C3AA1C7D682D57DA069A465F2C25FF81E"
"EN","localization/replace/english/more_dragon_eggs_titles_l_english.yml","2","True","True","DA79EAD27A674078B72D883712B117FAABF5AE6B8238E7AF902CA4C31C508448"
"EN","localization/replace/english/more_dragon_eggs_travel_l_english.yml","6","True","True","46B8334D5F554F43797A37168FA11390A6364F4AAD138E57F32F17161CA92202"
"EN","localization/replace/english/more_dragon_eggs_ui_l_english.yml","103","True","True","E33300A77E6A09CA369BE41DDDE36851481C9669D070B4777E80129C5E974DD3"
"EN","localization/replace/english/agot/agot_artifacts/mde_artifacts_l_english.yml","225","True","True","503B03185D4B36501367D5581CA66D16424666D60BD09C14557C4289E27A0059"
"EN","localization/replace/english/domiciles/dp_domicile_buildings_l_english.yml","2","True","True","407A8AD7F2C4314E2B7B20126D45BBB9A8DB0E9F5FE21528F4BB4D607CB6347D"
"EN","localization/replace/english/domiciles/mde_domicile_buildings_l_english.yml","4","True","True","BE4D449974E3C7AD5420A58D4A0FD997B38BBAAFFA9B5FFE0C58CD6BE6587A13"
"Translation","localization/russian/dp_artifacts_l_russian.yml","142","True","True","6B105AC0677444AD9FE47911E06AE4B98E1A1B440B8FD92E16668F9FB68C7C07"
"Translation","localization/russian/dp_domicile_buildings_l_russian.yml","4","True","True","B4A86146113632C9D2AD77895B73CDBE2D80B846CBC122271102D20AA2A68908"
"Translation","localization/russian/mde_customizer_l_russian.yml","6","True","True","3C906E82867A57CD7FD0373C331947F3D609CD01453F1BEA1FAF3F80BF52EE4F"
"Translation","localization/russian/mde_demand_egg_events_l_russian.yml","98","True","True","44DFCF72DFBDDB5958107C452E253559B599CB66D7BAB225A94A96421B2ECC0B"
"Translation","localization/russian/more_dragon_eggs_decisions_l_russian.yml","77","True","True","AB7577038C5E4AA7E51380EA177D04DE5B0BB7F51D0E5EFE59E468486D79F02B"
"Translation","localization/russian/more_dragon_eggs_events_l_russian.yml","171","True","True","8F8461F7A8222E917A1B54BF65D814E3E66615779053D46BA1B39C7FF01D5AAE"
"Translation","localization/russian/more_dragon_eggs_gamerules_l_russian.yml","341","True","True","D3E1F1035BE8B953995891118ADBFD0D090F94ACCDFCE14649F8C17292155D86"
"Translation","localization/russian/more_dragon_eggs_realm_laws_l_russian.yml","16","True","True","00CD8C6227F38824AA7B2636FC67544993D638EB68171B1B43F8931802475E19"
"Translation","localization/russian/more_dragon_eggs_titles_l_russian.yml","6","True","True","50D513059095992E50870F11CB0F822E3145643BC4CD1AD6EE3EDF1039CEF4DC"
"Translation","localization/russian/more_dragon_eggs_travel_l_russian.yml","6","True","True","A96E1D9D5026EA78F7BB79AECEB178428DAFC9210333B82F8C9E1180E1C6FB30"
"Translation","localization/russian/more_dragon_eggs_ui_l_russian.yml","28","True","True","2BFF8D5FA9C440B5DC7EDCE3A6ED6564157604BF44AED56C90475947D3E78831"
"BuiltinRussian","localization/replace/russian/mde_demand_egg_events_l_russian.yml","76","True","True","93F84A300017F0C7D459485D21C049A77FD645E2A360E6E283543B3AAA5B154F"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_decisions_l_russian.yml","39","True","True","46BA2BD2685665D31736CBB169B7AA82E3D51357B1612A76700EB21ECB70F744"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_events_l_russian.yml","89","True","True","A8C64671DA2C746C7357CC659D911AA615E732EC49722BD6929FE48D9A8A03EC"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_gamerules_l_russian.yml","341","True","True","F73F8875A81D9DC0B8A72675CF3E03E14E0CD49BF46F72957CDDBAA21344AD2B"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_realm_laws_l_russian.yml","16","True","True","FD30C8188A5802BDB693CA2FB25442D3584A9E78112C5D2919F5488261EC0A46"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_titles_l_russian.yml","0","True","True","56D60AF22F5367025550ADAA7586211F17362FA256D889C5268D395F85C13431"
"BuiltinRussian","localization/replace/russian/more_dragon_eggs_travel_l_russian.yml","8","True","True","75D0479046AEB9C1C4F61E0CEE51689FA5F55C735A00F3260653BDE519AE2A1D"
"BuiltinRussian","localization/replace/russian/agot/agot_artifacts/dp_artifacts_l_russian.yml","140","True","True","7CA6B4D88FE6043EC897AE4E745895995EE9DB32B33A5FF9B79B59119E6D2872"
"BuiltinRussian","localization/replace/russian/domiciles/dp_domicile_buildings_l_russian.yml","4","True","True","3470EA7B310444B76E2AF06258D12D52B4C77A3948264F0F14F10FA405A022E2"
