"Key","Kind","File","Line","EnglishTokens","RussianTokens"
"a_crown_for_a_king_decision_tooltip","Formatting","localization/russian/more_dragon_eggs_events_l_russian.yml","207","#X","#! || #X"
"agot_dragon_hatching.0403.opt.e.tt","Formatting",,,"#X",""
"agot_dragon_hatching.0403.opt.e.tt","Escapes",,,"\n",""
"agot_filler_crownlands.0004.tt","Expressions","localization/russian/more_dragon_eggs_events_l_russian.yml","197","[artifact|E]","[Concept('artifact', 'артефакт')|E]"
"agot_ninepenny.0035.b.tt","Formatting","localization/russian/more_dragon_eggs_events_l_russian.yml","202","#italic","#! || #italic"
"dragon_egg_alive_or_dead","Expressions",,,"[AddLocalizationIf(GetScriptedGui('mde_egg_is_dud').IsShown( GuiScope.SetRoot( GetPlayer.MakeScope ).AddScope( 'this_egg', Artifact.MakeScope ).End ), 'dragon_egg_dud')]",""
"dragon_egg_embryo_desc","Expressions",,,"[Artifact.Custom('mde_dragon_embryo_name')]",""
"dragon_egg_laena_1_desc","Expressions",,,"[newly_created_artifact.GetDesc]",""
"dragon_egg_laena_1_desc","Escapes",,,"\n || \n",""
"dragon_egg_maegor_12_desc","Expressions",,,"[newly_created_artifact.GetDesc]",""
"dragon_egg_maegor_12_desc","Escapes",,,"\n || \n",""
"DRAGON_PITTED_SHORT_WITH_GUI","Expressions",,,"[Character.Custom('DPGetDragonTypeGuiTooltip')]",""
"DRAGONPIT_RULER","Expressions","localization/russian/more_dragon_eggs_realm_laws_l_russian.yml","5","[dragonpit|E]","[Concept('dragonpit', 'драконьей яме')|E]"
"dragonpit_ruler_law_effects","Expressions","localization/russian/more_dragon_eggs_realm_laws_l_russian.yml","4","[dragonpit|e] || [dragons_plural|E]","[Concept('dragonpit', 'драконьей яме')|E] || [Concept('dragons_plural', 'Драконы')|E]"
"dragonpit_type","Expressions",,,"[Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')]",""
"dragonpit_type","Formatting",,,"#! || #italic",""
"dragonpit_type_landless","References",,,"$dragon_coop_01_domicile_building$",""
"dragonpit_type_landless","Formatting",,,"#! || #italic",""
"DRAGONPIT_VIEW_DRAGONPIT_HOLDER","Expressions",,,"[dragonpit|E]",""
"dragonpits_single_viewer.t","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier] || [GetPlayer.MakeScope.Var('viewing_county').Title.GetProvince.Custom('mde_dragonpit_type_custom_loc')]",""
"dragonpits_single_viewer_landless.t","Expressions",,,"[GetPlayer.MakeScope.Var('viewing_county').Title.GetNameNoTier]",""
"mde_dragon_animation_idle_tt","Formatting",,,"#! || #T",""
