File,Category,Lines,ActiveLines,SHA256
common/scripted_effects/zz_agot_plus_fix_child_effects.txt,Gameplay scripts and history/data,15,12,E7238C65F7231B1C9ED5B65A0792835CCB8F354927FB067EF6BA010D7F09AE34
common/modifiers/zz_agot_plus_fix_modifiers.txt,Gameplay scripts and history/data,15,14,A8F3A272C5A6FD249AE8DFBFB78EBC0357692FF42D8DEA5EBF9912FCCCFFDA99
localization/english/agot_plus_fix_l_english.yml,Localization,3,3,5F792BF7B79A1BDCE1EA432E2A0DAA9D846AE2D85EB167D95DBA94B812DE28A2
localization/russian/agot_plus_fix_l_russian.yml,Localization,3,3,F87C7BC24D167FBC6E3E5E1A490DE785F6F7C960E486937EF52EA4F146143353
events/agot_plus_fix_age_events.txt,Gameplay scripts and history/data,26,21,1246F665178C6E6D3BEAE8AFF3632BE7BA8894BA8801D2C035A01DFF5609BD6C
history/characters/agot_plus_fix_appearance_donors.txt,Gameplay scripts and history/data,45,35,C26B8013228CA14283859AC9B4E256BF9A59D1A3219319F7F32865B7E92BAF29
common/scripted_triggers/zz_agot_plus_fix_stage8_triggers.txt,Gameplay scripts and history/data,84,77,B7ABA11A197DC2E8267809E5D344B31F537BEBFE00C3E18C1DAF0BAE54E1EE39
common/scripted_effects/zz_agot_plus_fix_aegon_children_effects.txt,Gameplay scripts and history/data,424,398,6CD69C6DA7D1EF47144FB6D71933A924DEC325BD9B69D442E35D3AAC7847CEFE
common/on_action/zz_agot_plus_fix_aegon_children_on_actions.txt,Gameplay scripts and history/data,6,6,C91575C1AE8AAE47A9597BB4536BC1BD95B3A30DC9B3E50BEB7F2B1CC7F9151B
common/modifiers/zz_agot_plus_fix_aegon_children_modifiers.txt,Gameplay scripts and history/data,49,49,94AB65DD5471A19050976A9F31AEB3FC85C198D9D6049B12091C8ADA32E599D5
localization/replace/english/zz_agot_plus_fix_aegon_children_l_english.yml,Localization,16,16,5133B071E65861D30DC849215E5E6384AF4820BD08EF657EBDD2C1A8A6D1E723
localization/replace/russian/zz_agot_plus_fix_aegon_children_l_russian.yml,Localization,16,16,9ECC4B38538A8BD09EA3AD078F8FD5169F8D830956DF63ECF0C4B9F987E0F763
