File,Category,OriginalLines,OutputLines,RemovedOrReplacedOriginalLines,InsertedOrReplacementLines,RemovedOrReplacedActiveLines,InsertedOrReplacementActiveLines,SourceSHA256,OutputSHA256
common/scripted_character_templates/asoiaf_invader_templates.txt,Gameplay scripts and history/data,189,189,2,2,2,2,67ED5A01E2B1226AD6EB5C496CFC00E71EF6536D699CFC547002EBE05889C0F2,4708F34E5F0558AB456C7F36989051F5AF79F98E76962CAC58EF633DC4E78862
common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt,Gameplay scripts and history/data,147,147,147,147,124,1,D4F006BB9434F0975828DF61854904213124A3168D45C67A53AB533A681B96BB,15D4CD8FDEE73AEEF14FA7F96E2DB0F32BFE3B881B9D38A3853751238BA8D21D
common/scripted_effects/asoiaf_setup_effects.txt,Gameplay scripts and history/data,11570,12228,273,931,273,823,02D7650B6D706312B3259C91D484729B3B5452D5EB3AB14033BCB5442B401671,41D699ECF68929D0F146428B258166581C0351D318016A70B27E1D1226AA23F3
common/character_interactions/asoiaf_character_interactions.txt,Gameplay scripts and history/data,343,343,2,2,2,2,1F389A58092F01F5A2F0DBEAD32B82DC701F30949ABA9283BEC4731918C34472,3701A4F4EB8D16861FBB48A6E471A7AB27B9C679848920C1EAEC529E1D24CF3A
common/artifacts/templates/asoiaf_artifacts_templates.txt,Gameplay scripts and history/data,260,260,1,1,1,1,7819E8E963BC5929A3F43A39328F74C2AC6D543CAF395263EC98D4E7B1E58450,E8086A6AB44514937137097584AC5007BD0475181DA0B601613E9F7D6977CA4C
common/on_action/asoiaf_yearly_on_actions.txt,Gameplay scripts and history/data,932,913,311,292,271,252,FB8C2952993E341FE23BF9E8BD0CC92C8C40E7F7E19540023DB6C06CD9A031A9,FEDAC9BA56B63DBE9DC39E98D850DE38DE961334E76B045FFC3DBAD53ABC1B4F
common/scripted_effects/asoiaf_agot_overwrite_effects.txt,Gameplay scripts and history/data,1673,1673,39,39,39,28,04D527EDCE9813F551BFA06AA69FD0647C5D81B9BFEB0FEAE82F41BDA08B2E6B,BC15A542B933AAE6845F3C9100EAB9D8CE13615963D5EA20D9AA21F89495DAC8
gfx/court_scene/character_roles/asoiaf_default_roles.txt,Graphics and interface definitions,338,332,24,18,24,18,52526F47B8329EBDADFC7CEB45E5821CB14AC0E0AFFC59786ECCAAE60BE2F92F,E548C78EED5BB5C9ACB3CB87E3B39144966F3AB8975B4EF188D78B4468D69E43
common/scripted_effects/asoiaf_canon_children_effects.txt,Gameplay scripts and history/data,13921,14106,680,865,656,742,919D83FF542167E0E2AF695ED4FF8EF97D9D8E4F088DDFEE34A36823E91A71DB,A4660E67D3C8864D20C504D179AA1A09C76FE29D1E3D6EA4040421CD8945A9AF
events/asoiaf_young_griff_landing_events.txt,Gameplay scripts and history/data,120,120,2,2,0,2,78E72DDCCB21730DE508AA056158EB9618EB0C3D6EA5EA0595C179297F82B4ED,AB55E9FE8F2C2DF6869053D5E0D4958A7FD5893FC82A879E57BD1A62F152D2C4
