File,Category,Lines,NonblankLines,ActiveLines,Bytes,SHA256
dlc_metadata/00_asoiaf_dlc_metadata.txt,Metadata,5,5,5,70,85D4F57D4C458514C58DCC063D0FD18164C05D390AE05AB659249CF8A8A33B22
events/asoiaf_contract_events.txt,Gameplay scripts and history/data,91,71,71,1431,255C8C10C5E13EE6F6734BAA9B030637FED785504C2A7B1EF63882FD479FA493
events/asoiaf_equip_crown_events.txt,Gameplay scripts and history/data,100,78,78,1912,C98D6B07432D849226DB9694F89A2BFC27CEC4DD8AA62BD4BF197F868B761BAA
events/asoiaf_maintenance_events.txt,Gameplay scripts and history/data,1374,1302,1280,38868,650B63C4D4AF9EFEFC9FAE0426B5C0C3A8A1214B5AD3158ECA4FFF8282E434E6
events/asoiaf_mega_war_events.txt,Gameplay scripts and history/data,10,8,8,170,36C278A64244EF582FC68CC91914654C94585F1098CFD1B1CE4315B41CE2F15A
events/asoiaf_setup_events.txt,Gameplay scripts and history/data,249,232,232,7640,F62CA06D84E90B69189B31D445D36A6871263A3C801A5290926A998C7FA38E3B
events/asoiaf_young_griff_landing_events.txt,Gameplay scripts and history/data,120,108,104,3777,78E72DDCCB21730DE508AA056158EB9618EB0C3D6EA5EA0595C179297F82B4ED
gui/asoiaf_texticons.gui,Graphics and interface definitions,63,63,63,1345,FBBE6CDFB852751BF0D953EA0B590730D143EAE53EA5116A6C9996EF05E9ECE9
map_data/geographical_regions/asoiaf_geographical_region.txt,Gameplay scripts and history/data,15,15,15,239,311B583CC04DE7DAF568ECD91134EE97CE3724A5F3B93819225A7956B3A7D96A
localization/english/asoiaf_barbershop_l_english.yml,Localization,295,290,284,34305,1AA85B74B80AC5E3396C7ED5BDF7DEF07182700DAB63AF782F59173DF1F2684F
localization/english/asoiaf_court_visuals_l_english.yml,Localization,12,9,9,875,479339F866CB3EB0126FB679134FA4AC40618A424D23E85A874315B0B5DF8FD6
localization/english/asoiaf_death_reasons_l_english.yml,Localization,3,3,3,156,520128A2D871815046557101BA60FBAB54ABEA632D30A8673A5FFFBD17C1B74C
localization/english/asoiaf_decisions_l_english.yml,Localization,95,76,69,7739,5CC060BC411820C10DC7CDC67C99962FD77695958E7988B4C013F373C28A1172
localization/english/asoiaf_dlc_metadata_l_english.yml,Localization,4,4,3,395,A66C38BBB0969B98AF992ABFFF36B615C66AB2CFAB80A0EECA2F090F7F4209B3
localization/english/asoiaf_game_concepts_l_english.yml,Localization,7,6,5,1532,B878D68CE39F148D05DDB40419DE06957C6F7982E9739219DB0D6322EDC727F0
