Character,File,Mod,Line,SourceText
asoiaf_Targaryen_61_1,common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt,AGOT+ | Исправления совместимости,519,character:asoiaf_Targaryen_61_1 ?= { #Aerion Targaryen (son of Daemon)
Stark_asoiaf_87,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,200,copy_inheritable_appearance_from = character:Stark_asoiaf_87
Stark_asoiaf_88,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,239,copy_inheritable_appearance_from = character:Stark_asoiaf_88
Stark_asoiaf_94,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,376,copy_inheritable_appearance_from = character:Stark_asoiaf_94
Stark_asoiaf_95,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,438,copy_inheritable_appearance_from = character:Stark_asoiaf_95
Stark_asoiaf_96,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,471,copy_inheritable_appearance_from = character:Stark_asoiaf_96
Stark_asoiaf_97,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,504,copy_inheritable_appearance_from = character:Stark_asoiaf_97
Stark_asoiaf_98,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,537,copy_inheritable_appearance_from = character:Stark_asoiaf_98
Stark_asoiaf_99,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,570,copy_inheritable_appearance_from = character:Stark_asoiaf_99
Stark_asoiaf_100,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,605,copy_inheritable_appearance_from = character:Stark_asoiaf_100
Stark_asoiaf_101,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,638,copy_inheritable_appearance_from = character:Stark_asoiaf_101
Stark_asoiaf_102,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,671,copy_inheritable_appearance_from = character:Stark_asoiaf_102
Stark_asoiaf_103,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,716,copy_inheritable_appearance_from = character:Stark_asoiaf_103
Arryn_asoiaf_7,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,3223,copy_inheritable_appearance_from = character:Arryn_asoiaf_7
Tyrell_asoiaf_9,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,3476,copy_inheritable_appearance_from = character:Tyrell_asoiaf_9
Tyrell_asoiaf_10,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,3515,copy_inheritable_appearance_from = character:Tyrell_asoiaf_10
Hightower_asoiaf_96,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4114,copy_inheritable_appearance_from = character:Hightower_asoiaf_96
Hightower_asoiaf_98,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4216,copy_inheritable_appearance_from = character:Hightower_asoiaf_98
Targaryen_asoiaf_30,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4332,copy_inheritable_appearance_from = character:Targaryen_asoiaf_30
Targaryen_asoiaf_31,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4420,copy_inheritable_appearance_from = character:Targaryen_asoiaf_31
Targaryen_asoiaf_32,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4532,copy_inheritable_appearance_from = character:Targaryen_asoiaf_32
Targaryen_asoiaf_33,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4586,copy_inheritable_appearance_from = character:Targaryen_asoiaf_33
Targaryen_asoiaf_34,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4679,copy_inheritable_appearance_from = character:Targaryen_asoiaf_34
Targaryen_asoiaf_37,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4942,copy_inheritable_appearance_from = character:Targaryen_asoiaf_37
Targaryen_asoiaf_38,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,4991,copy_inheritable_appearance_from = character:Targaryen_asoiaf_38
Targaryen_asoiaf_40,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5038,copy_inheritable_appearance_from = character:Targaryen_asoiaf_40
Targaryen_asoiaf_39,common/scripted_effects/asoiaf_canon_children_effects.txt,AGOT+ | Исправления совместимости,5086,copy_inheritable_appearance_from = character:Targaryen_asoiaf_39
