Character,LogMessages,ActiveCharacterDefinitions,SameNamedDNA,ReferenceSites,AppearanceDonorSites,Mods,DefinitionFiles
Gardener_75,2,0,0,2,0,AGOT - Crowns of Westeros,
Dormund_1,4,0,0,2,0,AGOT+ | Исправления совместимости,
Broome_rs_54,1,0,0,1,0,AGOT+ | Исправления совместимости,
Hotah_rs_2,2,0,0,1,0,AGOT+ | Исправления совместимости,
asoiaf_Targaryen_61_1,2,0,0,1,0,AGOT+ | Исправления совместимости,
Stark_asoiaf_87,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_88,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_94,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_95,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_96,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_97,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_98,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_99,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_100,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_101,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_102,1,0,0,1,1,AGOT+ | Исправления совместимости,
Stark_asoiaf_103,1,0,0,1,1,AGOT+ | Исправления совместимости,
Arryn_asoiaf_7,1,0,0,1,1,AGOT+ | Исправления совместимости,
Tyrell_asoiaf_9,1,0,0,1,1,AGOT+ | Исправления совместимости,
Tyrell_asoiaf_10,1,0,0,1,1,AGOT+ | Исправления совместимости,
Hightower_asoiaf_96,1,0,0,1,1,AGOT+ | Исправления совместимости,
Hightower_asoiaf_98,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_30,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_31,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_32,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_33,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_34,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_37,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_38,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_40,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_39,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_41,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_42,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_43,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_44,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_49,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_52,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_53,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_54,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_55,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_55_1,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_56,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_57,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_58,1,0,0,1,1,AGOT+ | Исправления совместимости,
Hammer_asoiaf_2,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_62,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_131,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_64,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_61_1,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_80,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_88,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_91,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_134,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_132,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_133,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_92,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_93,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_135,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_94,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_108,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_109,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_112,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_113,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_114,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_115,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_116,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_117,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_121,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_123,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_124,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_125,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_4,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_5,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_6,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_asoiaf_7,1,0,0,1,1,AGOT+ | Исправления совместимости,
Dayne_asoiaf_3,1,0,0,1,1,AGOT+ | Исправления совместимости,
Dayne_asoiaf_6,1,0,0,1,1,AGOT+ | Исправления совместимости,
Dayne_asoiaf_7,1,0,0,1,1,AGOT+ | Исправления совместимости,
Tully_asoiaf_2,1,0,0,1,1,AGOT+ | Исправления совместимости,
Tully_asoiaf_3,1,0,0,1,1,AGOT+ | Исправления совместимости,
Tully_asoiaf_8,1,0,0,1,1,AGOT+ | Исправления совместимости,
Strong_asoiaf_32,1,0,0,1,1,AGOT+ | Исправления совместимости,
Strong_asoiaf_33,1,0,0,1,1,AGOT+ | Исправления совместимости,
Greyjoy_asoiaf_11,1,0,0,1,1,AGOT+ | Исправления совместимости,
Greyjoy_asoiaf_12,1,0,0,1,1,AGOT+ | Исправления совместимости,
Targaryen_61_1,4,0,0,4,0,AGOT+ | Исправления совместимости,
