LogLine,Kind,Character,File,SourceLine,SourceText,Message
10878,Missing_DNA,Forrester_asoiaf_1,history/characters/asoiaf_char_dummies.txt,5190,dna = Forrester_asoiaf_1,"Error: ""Failed to read key reference: Forrester_asoiaf_1: Forrester_asoiaf_1, near line: 5190"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 5190"
10879,Partially_commented_anchor,(outside character definition),history/characters/asoiaf_char_dummies.txt,6606,birth = yes,"Error: ""Unexpected token: birth, near line: 6606"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 6606"
10880,Partially_commented_anchor,effect,history/characters/asoiaf_char_dummies.txt,6607,effect = { make_unprunable = yes },"Error: ""Unexpected token: effect, near line: 6607"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 6607"
10881,Partially_commented_anchor,(outside character definition),history/characters/asoiaf_char_dummies.txt,6597,trait = agot_dummy_trait,No birth date for character at: file: history/characters/asoiaf_char_dummies.txt line: 6597
10882,Invalid_none_dynasty,asoiaf_Blackfyre_16_mother,history/characters/asoiaf_char_dummies.txt,6647,dynasty = none,"Error: ""Failed to read key reference: none: none, near line: 6647"" in file: ""history/characters/asoiaf_char_dummies.txt"" near line: 6647"
10883,Missing_DNA,Baratheon_asoiaf_baby,history/characters/asoiaf_char_stormlands.txt,7,dna = Baratheon_asoiaf_baby,"Error: ""Failed to read key reference: Baratheon_asoiaf_baby: Baratheon_asoiaf_baby, near line: 7"" in file: ""history/characters/asoiaf_char_stormlands.txt"" near line: 7"
10884,Missing_DNA,asoiaf_Toth_1,history/characters/asoiaf_char_vanity.txt,54,dna = asoiaf_Toth_1,"Error: ""Failed to read key reference: asoiaf_Toth_1: asoiaf_Toth_1, near line: 54"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 54"
10885,Missing_DNA,asoiaf_Toth_rs_1,history/characters/asoiaf_char_vanity.txt,84,dna = asoiaf_Toth_rs_1,"Error: ""Failed to read key reference: asoiaf_Toth_rs_1: asoiaf_Toth_rs_1, near line: 84"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 84"
10886,Missing_DNA,asoiaf_Erik_father,history/characters/asoiaf_char_vanity.txt,185,dna = asoiaf_Erik_father,"Error: ""Failed to read key reference: asoiaf_Erik_father: asoiaf_Erik_father, near line: 185"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 185"
10887,Missing_DNA,asoiaf_Erik_mother,history/characters/asoiaf_char_vanity.txt,215,dna = asoiaf_Erik_mother,"Error: ""Failed to read key reference: asoiaf_Erik_mother: asoiaf_Erik_mother, near line: 215"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 215"
10888,Missing_DNA,asoiaf_Henry_mother,history/characters/asoiaf_char_vanity.txt,299,dna = asoiaf_Henry_mother,"Error: ""Failed to read key reference: asoiaf_Henry_mother: asoiaf_Henry_mother, near line: 299"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 299"
10889,Missing_DNA,asoiaf_Martin,history/characters/asoiaf_char_vanity.txt,347,dna = asoiaf_Martin,"Error: ""Failed to read key reference: asoiaf_Martin: asoiaf_Martin, near line: 347"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 347"
10890,Missing_DNA,asoiaf_Kobyla_1,history/characters/asoiaf_char_vanity.txt,398,dna = asoiaf_Kobyla_1,"Error: ""Failed to read key reference: asoiaf_Kobyla_1: asoiaf_Kobyla_1, near line: 398"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 398"
10891,Missing_DNA,asoiaf_Ronov_1,history/characters/asoiaf_char_vanity.txt,522,dna = asoiaf_Ronov_1,"Error: ""Failed to read key reference: asoiaf_Ronov_1: asoiaf_Ronov_1, near line: 522"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 522"
10892,Missing_DNA,asoiaf_Ronov_rs_1,history/characters/asoiaf_char_vanity.txt,556,dna = asoiaf_Ronov_rs_1,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_1: asoiaf_Ronov_rs_1, near line: 556"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 556"
10893,Missing_DNA,asoiaf_Ronov_2,history/characters/asoiaf_char_vanity.txt,583,dna = asoiaf_Ronov_2,"Error: ""Failed to read key reference: asoiaf_Ronov_2: asoiaf_Ronov_2, near line: 583"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 583"
10894,Missing_DNA,asoiaf_Ronov_rs_2,history/characters/asoiaf_char_vanity.txt,626,dna = asoiaf_Ronov_rs_2,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_2: asoiaf_Ronov_rs_2, near line: 626"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 626"
10895,Missing_DNA,asoiaf_Ronov_3,history/characters/asoiaf_char_vanity.txt,653,dna = asoiaf_Ronov_3,"Error: ""Failed to read key reference: asoiaf_Ronov_3: asoiaf_Ronov_3, near line: 653"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 653"
10896,Missing_DNA,asoiaf_Ronov_rs_3,history/characters/asoiaf_char_vanity.txt,696,dna = asoiaf_Ronov_rs_3,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_3: asoiaf_Ronov_rs_3, near line: 696"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 696"
10897,Missing_DNA,asoiaf_Ronov_4,history/characters/asoiaf_char_vanity.txt,723,dna = asoiaf_Ronov_4,"Error: ""Failed to read key reference: asoiaf_Ronov_4: asoiaf_Ronov_4, near line: 723"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 723"
10898,Missing_DNA,asoiaf_Ronov_5,history/characters/asoiaf_char_vanity.txt,760,dna = asoiaf_Ronov_5,"Error: ""Failed to read key reference: asoiaf_Ronov_5: asoiaf_Ronov_5, near line: 760"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 760"
10899,Missing_DNA,asoiaf_Leipa_1,history/characters/asoiaf_char_vanity.txt,797,dna = asoiaf_Leipa_1,"Error: ""Failed to read key reference: asoiaf_Leipa_1: asoiaf_Leipa_1, near line: 797"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 797"
10900,Missing_DNA,asoiaf_Leipa_rs_1,history/characters/asoiaf_char_vanity.txt,837,dna = asoiaf_Leipa_rs_1,"Error: ""Failed to read key reference: asoiaf_Leipa_rs_1: asoiaf_Leipa_rs_1, near line: 837"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 837"
10901,Missing_DNA,asoiaf_Ronov_6,history/characters/asoiaf_char_vanity.txt,864,dna = asoiaf_Ronov_6,"Error: ""Failed to read key reference: asoiaf_Ronov_6: asoiaf_Ronov_6, near line: 864"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 864"
10902,Missing_DNA,asoiaf_Ronov_rs_6,history/characters/asoiaf_char_vanity.txt,904,dna = asoiaf_Ronov_rs_6,"Error: ""Failed to read key reference: asoiaf_Ronov_rs_6: asoiaf_Ronov_rs_6, near line: 904"" in file: ""history/characters/asoiaf_char_vanity.txt"" near line: 904"
