Character,Name,AuthorLabel,BirthEffect,File,Line
Stark_asoiaf_87,Bennard,Bennard Stark (son of Rickon),asoiaf_canon_children_Stark_87_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,200
Stark_asoiaf_88,Sara,Sara Snow (bastard of Rickon),asoiaf_canon_children_Stark_88_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,239
Stark_asoiaf_94,Rickard,Rickard Stark (son of Cregan),asoiaf_canon_children_Stark_94_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,376
Stark_asoiaf_95,Sarra,Sarra Stark (daughter of Cregan),asoiaf_canon_children_Stark_95_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,438
Stark_asoiaf_96,Alys,Alys Stark (daughter of Cregan),asoiaf_canon_children_Stark_96_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,471
Stark_asoiaf_97,Raya,Raya Stark (daughter of Cregan),asoiaf_canon_children_Stark_97_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,504
Stark_asoiaf_98,Mariah,Mariah Stark (daughter of Cregan),asoiaf_canon_children_Stark_98_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,537
Stark_asoiaf_99,Jonnel,Jonnel Stark (son of Cregan),asoiaf_canon_children_Stark_99_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,570
Stark_asoiaf_100,Edric,Edric Stark (son of Cregan),asoiaf_canon_children_Stark_100_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,605
Stark_asoiaf_101,Lyanna,Lyanna Stark (daughter of Cregan),asoiaf_canon_children_Stark_101_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,638
Stark_asoiaf_102,Barthogan,Barthogan Stark (son of Cregan),asoiaf_canon_children_Stark_102_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,671
Stark_asoiaf_103,Brandon,Brandon Stark (son of Cregan),asoiaf_canon_children_Stark_103_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,716
Arryn_asoiaf_7,Jeyne,Jeyne Arryn (daughter of Jon),asoiaf_canon_children_Arryn_7_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,3223
Tyrell_asoiaf_9,Mina,Mina Tyrell (daughter of Luthor),asoiaf_canon_children_Tyrell_9_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,3476
Tyrell_asoiaf_10,Janna,Janna Tyrell (daughter of Luthor),asoiaf_canon_children_Tyrell_10_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,3515
Hightower_asoiaf_96,Bryndon,Bryndon Hightower (son of Otto),asoiaf_canon_children_Hightower_96_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4114
Hightower_asoiaf_98,Myles,Myles Hightower (son of Otto),asoiaf_canon_children_Hightower_98_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4216
Targaryen_asoiaf_30,Aenys,Aenys I Targaryen,asoiaf_canon_children_Targaryen_30_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4332
Targaryen_asoiaf_31,Maegor,Maegor I Targaryen,asoiaf_canon_children_Targaryen_31_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4420
Targaryen_asoiaf_32,Rhaena,Rhaena Targaryen (daughter of Aenys I),asoiaf_canon_children_Targaryen_32_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4532
Targaryen_asoiaf_33,Aegon,Aegon Targaryen (son of Aenys I),asoiaf_canon_children_Targaryen_33_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4586
Targaryen_asoiaf_34,Viserys,Viserys Targaryen (son of Aenys I),asoiaf_canon_children_Targaryen_34_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4679
Targaryen_asoiaf_37,Vaella,Vaella Targaryen (daughter of Aenys I),asoiaf_canon_children_Targaryen_37_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4942
Targaryen_asoiaf_38,Aegon,Aegon Targaryen (son of Maegor I),asoiaf_canon_children_Targaryen_38_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,4991
Targaryen_asoiaf_40,Rhaenys,Rhaenys Targaryen (daughter of Maegor I),asoiaf_canon_children_Targaryen_40_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5038
Targaryen_asoiaf_39,Viserys,Viserys Targaryen (son of Maegor I),asoiaf_canon_children_Targaryen_39_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5086
Targaryen_asoiaf_41,Aerea,Aerea & Rhaella Targaryen (children of Aegon),asoiaf_canon_children_Targaryen_41_and_42_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5164
Targaryen_asoiaf_42,Aerea,Aerea & Rhaella Targaryen (children of Aegon),asoiaf_canon_children_Targaryen_41_and_42_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5243
Targaryen_asoiaf_43,Aegon,Aegon Targaryen (son of Jaehaerys I),asoiaf_canon_children_Targaryen_43_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5311
Targaryen_asoiaf_44,Daenerys,Daenerys Targaryen (daughter of Jaehaerys I),asoiaf_canon_children_Targaryen_44_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5353
Targaryen_asoiaf_49,Vaegon,Vaegon Targaryen (son of Jaehaerys I),asoiaf_canon_children_Targaryen_49_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5692
Targaryen_asoiaf_52,Viserra,Viserra Targaryen (daughter of Jaehaerys I),asoiaf_canon_children_Targaryen_52_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5876
Targaryen_asoiaf_53,Gaemon,Gaemon Targaryen (son of Jaehaerys I),asoiaf_canon_children_Targaryen_53_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5930
Targaryen_asoiaf_54,Valerion,Valerion Targaryen (son of Jaehaerys I),asoiaf_canon_children_Targaryen_54_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,5973
Targaryen_asoiaf_55,Gael,Gael Targaryen (daughter of Jaehaerys I),asoiaf_canon_children_Targaryen_55_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6016
Targaryen_asoiaf_55_1,Aelor,Gael's Stillborn bastard,asoiaf_canon_children_Targaryen_55_1_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6076
Targaryen_asoiaf_56,Aelor,Aelor (bastard of Saera),asoiaf_canon_children_Targaryen_56_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6134
Targaryen_asoiaf_57,Jaecerys,Jaecerys (bastard of Saera),asoiaf_canon_children_Targaryen_57_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6171
Targaryen_asoiaf_58,Aegon,Aegon (bastard of Saera),asoiaf_canon_children_Targaryen_58_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6206
Hammer_asoiaf_2,Marcia,Hugh's daughter,asoiaf_canon_children_Hammer_2_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6294
Targaryen_asoiaf_62,Aegon,Aegon Targaryen (son of Baelon),asoiaf_canon_children_Targaryen_62_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6633
Targaryen_asoiaf_131,Aemon,Aemon Targaryen (son of Viserys I),asoiaf_canon_children_Targaryen_131_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6695
Targaryen_asoiaf_64,Baelon,Baelon Targaryen (son of Viserys I),asoiaf_canon_children_Targaryen_64_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,6837
Targaryen_asoiaf_61_1,Aerion,Laena's Third Child; Aerion Targaryen (son of Daemon),asoiaf_canon_children_Targaryen_61_1_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,7640
Targaryen_asoiaf_80,Visenya,Visenya Targaryen (daughter of Rhaenyra),asoiaf_canon_children_Targaryen_80_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,8504
Targaryen_asoiaf_88,Aegon,Aegon IV Targaryen,asoiaf_canon_children_Targaryen_88_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,8870
Targaryen_asoiaf_91,Daeron,Daeron II Targaryen,asoiaf_canon_children_Targaryen_91_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9082
Targaryen_asoiaf_134,Viserra,Viserra Targaryen (daughter of Aegon IV),asoiaf_canon_children_Targaryen_134_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9147
Targaryen_asoiaf_132,Viserys,Viserys & Baelon Targaryen (children of Aegon IV),asoiaf_canon_children_Targaryen_132_and_133_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9191
Targaryen_asoiaf_133,Viserys,Viserys & Baelon Targaryen (children of Aegon IV),asoiaf_canon_children_Targaryen_132_and_133_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9230
Targaryen_asoiaf_92,Daenerys,Daenerys & Aemond Targaryen (children of Aegon IV),asoiaf_canon_children_Targaryen_92_and_93_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9275
Targaryen_asoiaf_93,Daenerys,Daenerys & Aemond Targaryen (children of Aegon IV),asoiaf_canon_children_Targaryen_92_and_93_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9345
Targaryen_asoiaf_135,Haegon,Haegon Targaryen (son of Aegon IV),asoiaf_canon_children_Targaryen_135_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9388
Targaryen_asoiaf_94,Daemon,Daemon I Blackfyre,asoiaf_canon_children_Targaryen_94_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9440
Targaryen_asoiaf_108,Aerys,Aerys I Targaryen,asoiaf_canon_children_Targaryen_108_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9673
Targaryen_asoiaf_109,Rhaegel,Rhaegel Targaryen (son of Daeron II),asoiaf_canon_children_Targaryen_109_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9741
Targaryen_asoiaf_112,Matarys,Matarys Targaryen (son of Baelor),asoiaf_canon_children_Targaryen_112_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9935
Targaryen_asoiaf_113,Daeron,Daeron Targaryen (son of Valarr),asoiaf_canon_children_Targaryen_113_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,9986
Targaryen_asoiaf_114,Baelor,Baelor Targaryen (son of Valarr),asoiaf_canon_children_Targaryen_114_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10028
Targaryen_asoiaf_115,Aelor,Aelor & Aelora Targaryen (children of Rhaegel),asoiaf_canon_children_Targaryen_115_and_116_birth_effect,common/scripted_effects/asoiaf_canon_children_effects.txt,10072
