Character,Name,DNA,File,Line,ActiveDNADefinitions,CharacterDefinitionCount,SuggestedAction
Forrester_asoiaf_1,Thorren,Forrester_asoiaf_1,history/characters/asoiaf_char_dummies.txt,5190,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
Baratheon_asoiaf_baby,Alaric,Baratheon_asoiaf_baby,history/characters/asoiaf_char_stormlands.txt,7,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Toth_1,Alliser,asoiaf_Toth_1,history/characters/asoiaf_char_vanity.txt,54,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Toth_rs_1,Melody,asoiaf_Toth_rs_1,history/characters/asoiaf_char_vanity.txt,84,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Erik_father,Bernard,asoiaf_Erik_father,history/characters/asoiaf_char_vanity.txt,185,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Erik_mother,Flora,asoiaf_Erik_mother,history/characters/asoiaf_char_vanity.txt,215,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Henry_mother,Hazel,asoiaf_Henry_mother,history/characters/asoiaf_char_vanity.txt,299,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Martin,Martin,asoiaf_Martin,history/characters/asoiaf_char_vanity.txt,347,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Kobyla_1,Radzig,asoiaf_Kobyla_1,history/characters/asoiaf_char_vanity.txt,398,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_1,Smil,asoiaf_Ronov_1,history/characters/asoiaf_char_vanity.txt,522,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_rs_1,Theresa,asoiaf_Ronov_rs_1,history/characters/asoiaf_char_vanity.txt,556,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_2,Castolov,asoiaf_Ronov_2,history/characters/asoiaf_char_vanity.txt,583,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_rs_2,Obetta,asoiaf_Ronov_rs_2,history/characters/asoiaf_char_vanity.txt,626,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_3,Henry,asoiaf_Ronov_3,history/characters/asoiaf_char_vanity.txt,653,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_rs_3,Lily,asoiaf_Ronov_rs_3,history/characters/asoiaf_char_vanity.txt,696,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_4,Henry,asoiaf_Ronov_4,history/characters/asoiaf_char_vanity.txt,723,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_5,Castolov,asoiaf_Ronov_5,history/characters/asoiaf_char_vanity.txt,760,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_1,Chval,asoiaf_Leipa_1,history/characters/asoiaf_char_vanity.txt,797,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_rs_1,Alerie,asoiaf_Leipa_rs_1,history/characters/asoiaf_char_vanity.txt,837,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_6,Smil,asoiaf_Ronov_6,history/characters/asoiaf_char_vanity.txt,864,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Ronov_rs_6,Elizabeth,asoiaf_Ronov_rs_6,history/characters/asoiaf_char_vanity.txt,904,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_2,Cenek,asoiaf_Leipa_2,history/characters/asoiaf_char_vanity.txt,936,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_rs_2,Austa,asoiaf_Leipa_rs_2,history/characters/asoiaf_char_vanity.txt,973,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_3,Henry,asoiaf_Leipa_3,history/characters/asoiaf_char_vanity.txt,1000,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_rs_3,Elizabeth,asoiaf_Leipa_rs_3,history/characters/asoiaf_char_vanity.txt,1051,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_4,Henry,asoiaf_Leipa_4,history/characters/asoiaf_char_vanity.txt,1084,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_rs_4,Agnes,asoiaf_Leipa_rs_4,history/characters/asoiaf_char_vanity.txt,1129,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_5,Clara,asoiaf_Leipa_5,history/characters/asoiaf_char_vanity.txt,1156,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_6,Margaret,asoiaf_Leipa_6,history/characters/asoiaf_char_vanity.txt,1186,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_7,John,asoiaf_Leipa_7,history/characters/asoiaf_char_vanity.txt,1216,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_8,Katherine,asoiaf_Leipa_8,history/characters/asoiaf_char_vanity.txt,1253,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_9,Berthold,asoiaf_Leipa_9,history/characters/asoiaf_char_vanity.txt,1283,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_10,Cenek,asoiaf_Leipa_10,history/characters/asoiaf_char_vanity.txt,1320,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_rs_10,Judith,asoiaf_Leipa_rs_10,history/characters/asoiaf_char_vanity.txt,1357,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_11,Henry,asoiaf_Leipa_11,history/characters/asoiaf_char_vanity.txt,1384,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_rs_11,Ofca,asoiaf_Leipa_rs_11,history/characters/asoiaf_char_vanity.txt,1421,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Capon_1,Henry,asoiaf_Capon_1,history/characters/asoiaf_char_vanity.txt,1451,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Capon_rs_1,Hedvika,asoiaf_Capon_rs_1,history/characters/asoiaf_char_vanity.txt,1499,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
asoiaf_Leipa_13,Agnes,asoiaf_Leipa_13,history/characters/asoiaf_char_vanity.txt,1633,0,1,"Omit only unresolved dna assignment; appearance fallback, not restoration"
