File,DNA,Gene,Line,Value
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_bs_ear_outward,45,"{ ""ear_outward_neg"" 97 ""ear_outward_neg"" 97 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_hair_type,103,"{ ""hair_wavy"" 165 ""hair_wavy"" 165 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_face_dacals,105,"{ ""face_dacal_09"" 139 ""face_dacal_09"" 139 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_primary_color_hue,115,"{ ""dragon_primary_color_hue"" 127 ""dragon_primary_color_hue"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_primary_color_value,116,"{ ""dragon_primary_color_value"" 127 ""dragon_primary_color_value"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_secondary_hue,117,"{ ""dragon_secondary_hue"" 127 ""dragon_secondary_hue"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_secondary_value,118,"{ ""dragon_secondary_value"" 127 ""dragon_secondary_value"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_tertiary_hue,119,"{ ""dragon_tertiary_hue"" 127 ""dragon_tertiary_hue"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_tertiary_value,120,"{ ""dragon_tertiary_value"" 127 ""dragon_tertiary_value"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_eye_color_hue,121,"{ ""dragon_eye_color_hue"" 127 ""dragon_eye_color_hue"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_eye_color_value,122,"{ ""dragon_eye_color_value"" 127 ""dragon_eye_color_value"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_horn_color_hue,123,"{ ""dragon_horn_color_hue"" 127 ""dragon_horn_color_hue"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_horn_color_value,124,"{ ""dragon_horn_color_value"" 127 ""dragon_horn_color_value"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_main_horn_shape,131,"{ ""dragon_horns_drogon"" 127 ""dragon_horns_drogon"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_metallic_scales_strength,150,"{ ""dragon_scales_default"" 127 ""dragon_scales_default"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_wounded,151,"{ ""dragon_wounded"" 127 ""dragon_wounded"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_body_shading,152,"{ ""dragon_body_shading_lower_black"" 127 ""dragon_body_shading_lower_black"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_dragon_wings_shading,153,"{ ""dragon_wings_shading_back_black"" 127 ""dragon_wings_shading_back_black"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,skin_color_saturation,154,"{ ""vanilla_skin_saturation"" 127 ""vanilla_skin_saturation"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,eye_color_saturation,155,"{ ""eye_color_saturation"" 127 ""eye_color_saturation"" 127 }"
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,gene_bs_head_shape,166,"{ ""head_round_shape"" 43 ""head_round_shape"" 43 }"
