File,DNA,Coverage,Genes
common/dna_data/agot_dna_a_historical_heroes.txt,Heroes_24,31,188
common/dna_data/agot_dna_andalos_ancestors.txt,Belgyle_80,31,189
common/dna_data/agot_dna_andalos_ancestors.txt,Ran_Ennox_80,31,188
common/dna_data/agot_dna_axe_ancestors.txt,Aat_Caham_88,31,189
common/dna_data/agot_dna_braavos.txt,Antaryon_60,31,188
common/dna_data/agot_dna_braavos.txt,Courtesan_2,31,188
common/dna_data/agot_dna_braavos.txt,Courtesan_3,31,189
common/dna_data/agot_dna_braavos.txt,Courtesan_4,31,189
common/dna_data/agot_dna_braavos.txt,Courtesan_5,31,187
common/dna_data/agot_dna_braavos.txt,Courtesan_6,31,189
common/dna_data/agot_dna_braavos.txt,Dimittis_59,31,189
common/dna_data/agot_dna_braavos.txt,Dothare_75,31,188
common/dna_data/agot_dna_braavos.txt,Forel_76,31,188
common/dna_data/agot_dna_braavos.txt,Fregar_56,31,188
common/dna_data/agot_dna_braavos.txt,Gasparyon_60,31,189
common/dna_data/agot_dna_braavos.txt,Morel_41,31,188
common/dna_data/agot_dna_braavos.txt,Otherys_72,31,189
common/dna_data/agot_dna_braavos.txt,Otherys_BP_4,31,188
common/dna_data/agot_dna_braavos.txt,Otherys_BP_5,31,188
common/dna_data/agot_dna_braavos.txt,Zalyne_100,31,189
common/dna_data/agot_dna_braavos.txt,Zalyne_103,31,189
common/dna_data/agot_dna_braavos.txt,Zalyne_104,31,189
common/dna_data/agot_dna_braavos.txt,Zalyne_105,31,187
common/dna_data/agot_dna_braavos.txt,Zheyme_69,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_28,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_32,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_38,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_40,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_45,31,187
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_46,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Antaryon_47,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Fregar_31,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_37,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_42,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_43,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_44,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_45,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_46,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_47,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_48,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_56,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_56_A,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_57,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_58,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_92,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_BP_1,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_BP_2,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_BP_3,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Otherys_rs_47,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Prestayn_22,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Prestayn_30,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Prestayn_34,31,187
common/dna_data/agot_dna_braavos_ancestors.txt,Prestayn_34_B,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Prestayn_74,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Saldaaris_44,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Targaryen_102,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Targaryen_103,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Targaryen_104,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Tendyris_28,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Torone_73,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Velaron_48,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Velaron_50,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Velaron_53,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Volentin_64,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_17,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_18,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_19,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_20,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_21,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_22,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_28,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_29,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_30,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_31,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_31_B,31,189
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_32,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Zalyne_76,31,188
common/dna_data/agot_dna_braavos_ancestors.txt,Volentin_71,31,187
common/dna_data/agot_dna_braavos_ancestors.txt,Summer_Islander_Captain_1,31,189
common/dna_data/agot_dna_btw.txt,Deglor_6,31,189
common/dna_data/agot_dna_btw.txt,Dogshead_2,31,189
common/dna_data/agot_dna_btw.txt,Giantsbane_1,31,189
common/dna_data/agot_dna_btw.txt,Giantsbane_2,31,189
common/dna_data/agot_dna_btw.txt,Giantsbane_3,31,189
common/dna_data/agot_dna_btw.txt,Giantsbane_4,31,189
common/dna_data/agot_dna_btw.txt,Giantsbane_5,31,188
common/dna_data/agot_dna_btw.txt,Kingsblood_4,31,189
common/dna_data/agot_dna_btw.txt,Lowborn_Wildling_1,31,188
common/dna_data/agot_dna_btw.txt,Lowborn_Wildling_3,31,189
common/dna_data/agot_dna_btw.txt,Rattleshirt_1,31,189
common/dna_data/agot_dna_btw.txt,Rayder_1,31,188
common/dna_data/agot_dna_btw.txt,Rayder_2,31,189
common/dna_data/agot_dna_btw.txt,Rayder_3,31,189
common/dna_data/agot_dna_btw.txt,Rayder_hh_1,31,189
common/dna_data/agot_dna_btw.txt,Rayder_hh_2,31,188
common/dna_data/agot_dna_btw.txt,Rayder_hh_3,31,188
common/dna_data/agot_dna_btw.txt,Rayder_hh_5,31,189
common/dna_data/agot_dna_btw.txt,Rayder_hh_6,31,188
common/dna_data/agot_dna_btw.txt,Sixskins_3,31,189
common/dna_data/agot_dna_btw.txt,Weeper_1,31,189
common/dna_data/agot_dna_btw.txt,White_Mask_1,31,188
common/dna_data/agot_dna_btw_ancestors.txt,154500017,31,189
common/dna_data/agot_dna_btw_ancestors.txt,334500017,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Bael_1,31,188
common/dna_data/agot_dna_btw_ancestors.txt,Forester_1,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Forester_10,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Forester_11,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Forester_12,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Forester_15,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Forester_2,31,189
common/dna_data/agot_dna_btw_ancestors.txt,King_Beyond_The_Wall_1,31,189
common/dna_data/agot_dna_btw_ancestors.txt,King_Beyond_The_Wall_2,31,189
common/dna_data/agot_dna_btw_ancestors.txt,King_Beyond_The_Wall_3,31,189
common/dna_data/agot_dna_btw_ancestors.txt,King_Beyond_The_Wall_4,31,189
common/dna_data/agot_dna_btw_ancestors.txt,King_Beyond_The_Wall_5,31,189
common/dna_data/agot_dna_btw_ancestors.txt,Kingsblood_1,31,189
common/dna_data/agot_dna_btw_craster.txt,Craster_1,31,189
common/dna_data/agot_dna_btw_craster.txt,Craster_12,31,188
common/dna_data/agot_dna_btw_craster.txt,Craster_13,31,188
common/dna_data/agot_dna_btw_craster.txt,Craster_19,31,189
common/dna_data/agot_dna_btw_craster.txt,Craster_5,31,188
common/dna_data/agot_dna_btw_thenn.txt,Thenn_1,31,189
common/dna_data/agot_dna_btw_thenn.txt,Thenn_2,31,189
common/dna_data/agot_dna_contest.txt,Moil_65,31,188
common/dna_data/agot_dna_contest.txt,Tetting_9,31,188
common/dna_data/agot_dna_contest_ancestors.txt,Covenne_32,31,188
common/dna_data/agot_dna_contest_ancestors.txt,Whitewood_34,31,188
common/dna_data/agot_dna_crownlands.txt,Bar_Emmon_2,31,189
common/dna_data/agot_dna_crownlands.txt,Bar_Emmon_3,31,189
common/dna_data/agot_dna_crownlands.txt,Bar_Emmon_50,31,189
common/dna_data/agot_dna_crownlands.txt,Baxter_58,31,189
common/dna_data/agot_dna_crownlands.txt,Belgrave_1,31,189
common/dna_data/agot_dna_crownlands.txt,Belgrave_2,31,189
common/dna_data/agot_dna_crownlands.txt,Blackberry_11,31,189
common/dna_data/agot_dna_crownlands.txt,Blackberry_12,31,189
common/dna_data/agot_dna_crownlands.txt,Blackberry_13,31,189
common/dna_data/agot_dna_crownlands.txt,Blackberry_14,31,189
common/dna_data/agot_dna_crownlands.txt,Blackberry_16,31,189
common/dna_data/agot_dna_crownlands.txt,Blackwater_1,31,189
common/dna_data/agot_dna_crownlands.txt,Blount_1,31,187
common/dna_data/agot_dna_crownlands.txt,Blount_2,31,188
common/dna_data/agot_dna_crownlands.txt,Blount_3,31,189
common/dna_data/agot_dna_crownlands.txt,Blount_4,31,187
common/dna_data/agot_dna_crownlands.txt,Blount_5,31,187
common/dna_data/agot_dna_crownlands.txt,Blount_6,31,189
common/dna_data/agot_dna_crownlands.txt,Blount_7,31,187
common/dna_data/agot_dna_crownlands.txt,Bourney_1,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_10,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_11,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_12,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_13,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_14,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_15,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_16,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_17,31,188
common/dna_data/agot_dna_crownlands.txt,Bourney_18,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_19,31,188
common/dna_data/agot_dna_crownlands.txt,Bourney_20,31,188
common/dna_data/agot_dna_crownlands.txt,Bourney_21,31,188
common/dna_data/agot_dna_crownlands.txt,Bourney_3,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_4,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_5,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_6,31,189
common/dna_data/agot_dna_crownlands.txt,Bourney_7,31,189
common/dna_data/agot_dna_crownlands.txt,Branfield_1,31,188
common/dna_data/agot_dna_crownlands.txt,Branfield_2,31,189
common/dna_data/agot_dna_crownlands.txt,Bricks_78,31,188
common/dna_data/agot_dna_crownlands.txt,Brownhollow_1,31,189
common/dna_data/agot_dna_crownlands.txt,Brownhollow_2,31,188
common/dna_data/agot_dna_crownlands.txt,Brownhollow_29,31,189
common/dna_data/agot_dna_crownlands.txt,Brownhollow_3,31,189
common/dna_data/agot_dna_crownlands.txt,Brownhollow_4,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_1,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_2,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_3,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_31,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_32,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_33,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_4,31,189
common/dna_data/agot_dna_crownlands.txt,Brune_5,31,189
common/dna_data/agot_dna_crownlands.txt,Bullock_17,31,188
common/dna_data/agot_dna_crownlands.txt,Bush_20,31,189
common/dna_data/agot_dna_crownlands.txt,Bush_21,31,187
common/dna_data/agot_dna_crownlands.txt,Bush_22,31,187
common/dna_data/agot_dna_crownlands.txt,Bush_23,31,187
common/dna_data/agot_dna_crownlands.txt,Bush_24,31,187
common/dna_data/agot_dna_crownlands.txt,Bush_25,31,187
common/dna_data/agot_dna_crownlands.txt,Bywater_1,31,189
common/dna_data/agot_dna_crownlands.txt,Bywater_2,31,189
common/dna_data/agot_dna_crownlands.txt,Bywater_26,31,188
common/dna_data/agot_dna_crownlands.txt,Bywater_3,31,189
common/dna_data/agot_dna_crownlands.txt,Bywater_4,31,188
common/dna_data/agot_dna_crownlands.txt,Bywater_5,31,189
common/dna_data/agot_dna_crownlands.txt,Cargyll_26,31,189
common/dna_data/agot_dna_crownlands.txt,Cargyll_28,31,189
common/dna_data/agot_dna_crownlands.txt,Chelsted_1,31,189
common/dna_data/agot_dna_crownlands.txt,Chelsted_3,31,188
common/dna_data/agot_dna_crownlands.txt,Chelsted_30,31,189
common/dna_data/agot_dna_crownlands.txt,Chelsted_31,31,189
common/dna_data/agot_dna_crownlands.txt,Chelsted_4,31,189
common/dna_data/agot_dna_crownlands.txt,Chelsted_5,31,188
common/dna_data/agot_dna_crownlands.txt,Chelsted_6,31,189
common/dna_data/agot_dna_crownlands.txt,Chelsted_7,31,189
common/dna_data/agot_dna_crownlands.txt,Chyttering_74,31,188
common/dna_data/agot_dna_crownlands.txt,Corne_11,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_3,31,188
common/dna_data/agot_dna_crownlands.txt,Corne_4,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_5,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_66,31,188
common/dna_data/agot_dna_crownlands.txt,Corne_68,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_7,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_70,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_71,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_72,31,188
common/dna_data/agot_dna_crownlands.txt,Corne_73,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_8,31,189
common/dna_data/agot_dna_crownlands.txt,Corne_9,31,189
common/dna_data/agot_dna_crownlands.txt,Crabb_11,31,189
common/dna_data/agot_dna_crownlands.txt,Crabb_2,31,187
common/dna_data/agot_dna_crownlands.txt,Cressey_20,31,189
common/dna_data/agot_dna_crownlands.txt,Cressey_21,31,187
common/dna_data/agot_dna_crownlands.txt,Darke_1,31,187
common/dna_data/agot_dna_crownlands.txt,Darke_14,31,189
common/dna_data/agot_dna_crownlands.txt,Darke_2,31,188
common/dna_data/agot_dna_crownlands.txt,Darke_3,31,188
common/dna_data/agot_dna_crownlands.txt,Darkwood_1,31,187
common/dna_data/agot_dna_crownlands.txt,Darkwood_16,31,187
common/dna_data/agot_dna_crownlands.txt,Darkwood_2,31,188
common/dna_data/agot_dna_crownlands.txt,Darkwood_3,31,189
common/dna_data/agot_dna_crownlands.txt,Darkwood_4,31,187
common/dna_data/agot_dna_crownlands.txt,Darkwood_5,31,187
common/dna_data/agot_dna_crownlands.txt,Darkwood_6,31,187
common/dna_data/agot_dna_crownlands.txt,Farring_1,31,189
common/dna_data/agot_dna_crownlands.txt,Farring_2,31,189
common/dna_data/agot_dna_crownlands.txt,Farring_3,31,189
common/dna_data/agot_dna_crownlands.txt,Farring_4,31,188
common/dna_data/agot_dna_crownlands.txt,Farring_5,31,189
common/dna_data/agot_dna_crownlands.txt,Follard_3b,31,189
common/dna_data/agot_dna_crownlands.txt,Gaunt_2,31,187
common/dna_data/agot_dna_crownlands.txt,Gaunt_24,31,187
common/dna_data/agot_dna_crownlands.txt,Gaunt_3,31,187
common/dna_data/agot_dna_crownlands.txt,Gaunt_5,31,187
common/dna_data/agot_dna_crownlands.txt,Gaunt_6,31,187
common/dna_data/agot_dna_crownlands.txt,Gaunt_62,31,189
common/dna_data/agot_dna_crownlands.txt,Gaunt_63,31,188
common/dna_data/agot_dna_crownlands.txt,Gaunt_7,31,187
common/dna_data/agot_dna_crownlands.txt,Greenhill_1,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_20,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_21,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_22,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_23,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_27,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_28,31,189
common/dna_data/agot_dna_crownlands.txt,Greenhill_32,31,189
common/dna_data/agot_dna_crownlands.txt,Hayford_1,31,189
common/dna_data/agot_dna_crownlands.txt,Hayford_23,31,189
common/dna_data/agot_dna_crownlands.txt,Hayford_24,31,189
common/dna_data/agot_dna_crownlands.txt,Hayford_25,31,189
common/dna_data/agot_dna_crownlands.txt,Hollard_10,31,189
common/dna_data/agot_dna_crownlands.txt,Hollard_6,31,189
common/dna_data/agot_dna_crownlands.txt,Hollard_7,31,189
common/dna_data/agot_dna_crownlands.txt,Kettleblack_1,31,189
common/dna_data/agot_dna_crownlands.txt,Kettleblack_2,31,189
common/dna_data/agot_dna_crownlands.txt,Kettleblack_3,31,189
common/dna_data/agot_dna_crownlands.txt,Kettleblack_4,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_1,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_2,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_3,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_4,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_5,31,189
common/dna_data/agot_dna_crownlands.txt,Massey_69,31,188
