Gene,Value,Count,Example
eye_color_saturation,"""eye_color_saturation"" 127 ""eye_color_saturation"" 127",1146,common/dna_data/agot_dna_andalos_ancestors.txt:110 (Belgyle_80)
eye_color_saturation,"""eye_color_saturation"" 126 ""eye_color_saturation"" 126",239,common/dna_data/agot_dna_braavos_ancestors.txt:4991 (Prestayn_22)
eye_color_saturation,"""eye_color_saturation"" 125 ""eye_color_saturation"" 125",208,common/dna_data/agot_dna_braavos_ancestors.txt:3235 (Otherys_56)
eye_color_saturation,"""vanilla_eye_saturation"" 127 ""vanilla_eye_saturation"" 127",174,common/dna_data/agot_dna_btw_ancestors.txt:1089 (Forester_11)
eye_color_saturation,"""eye_color_saturation"" 124 ""eye_color_saturation"" 124",148,common/dna_data/agot_dna_braavos.txt:110 (Antaryon_60)
eye_color_saturation,"""eye_color_saturation"" 123 ""eye_color_saturation"" 123",110,common/dna_data/agot_dna_braavos.txt:305 (Courtesan_2)
eye_color_saturation,"""eye_color_saturation"" 114 ""eye_color_saturation"" 114",107,common/dna_data/agot_dna_braavos_ancestors.txt:7141 (Velaron_48)
eye_color_saturation,"""eye_color_saturation"" 122 ""eye_color_saturation"" 122",104,common/dna_data/agot_dna_braavos.txt:2063 (Gasparyon_60)
eye_color_saturation,"""eye_color_saturation"" 0 ""eye_color_saturation"" 0",98,common/dna_data/agot_dna_iron_islands_ancestors.txt:3815 (Greyjoy_59)
eye_color_saturation,"""eye_color_saturation"" 128 ""eye_color_saturation"" 128",92,common/dna_data/agot_dna_dorne_ancestors.txt:29406 (Martell_33)
eye_color_saturation,"""eye_color_saturation"" 132 ""eye_color_saturation"" 132",85,common/dna_data/agot_dna_btw_ancestors.txt:893 (Forester_10)
eye_color_saturation,"""eye_color_saturation"" 121 ""eye_color_saturation"" 121",71,common/dna_data/agot_dna_braavos.txt:2650 (Otherys_BP_4)
eye_color_saturation,"""eye_color_saturation"" 130 ""eye_color_saturation"" 130",67,common/dna_data/agot_dna_btw.txt:2068 (Rattleshirt_1)
eye_color_saturation,"""eye_color_saturation"" 131 ""eye_color_saturation"" 131",62,common/dna_data/agot_dna_braavos_ancestors.txt:1671 (Otherys_37)
eye_color_saturation,"""eye_color_saturation"" 255 ""eye_color_saturation"" 255",50,common/dna_data/agot_dna_north.txt:6176 (Dustin_1)
eye_color_saturation,"""eye_color_saturation"" 134 ""eye_color_saturation"" 134",48,common/dna_data/agot_dna_crownlands.txt:26502 (Kettleblack_2)
eye_color_saturation,"""eye_color_saturation"" 115 ""eye_color_saturation"" 115",45,common/dna_data/agot_dna_crownlands.txt:2462 (Blount_1)
eye_color_saturation,"""eye_color_saturation"" 104 ""eye_color_saturation"" 104",44,common/dna_data/agot_dna_btw_ancestors.txt:697 (Forester_1)
eye_color_saturation,"""eye_color_saturation"" 129 ""eye_color_saturation"" 129",41,common/dna_data/agot_dna_crownlands.txt:10090 (Brune_4)
eye_color_saturation,"""eye_color_saturation"" 118 ""eye_color_saturation"" 118",39,common/dna_data/agot_dna_btw.txt:2655 (Rayder_3)
eye_color_saturation,"""eye_color_saturation"" 94 ""eye_color_saturation"" 94",38,common/dna_data/agot_dna_crownlands.txt:8914 (Brune_1)
eye_color_saturation,"""eye_color_saturation"" 135 ""eye_color_saturation"" 135",36,common/dna_data/agot_dna_andalos_ancestors.txt:306 (Ran_Ennox_80)
eye_color_saturation,"""eye_color_saturation"" 119 ""eye_color_saturation"" 119",36,common/dna_data/agot_dna_braavos_ancestors.txt:10272 (Zalyne_76)
