File,EffectiveOwner,Providers
common/genes/00_genes_color.txt,A Game of Thrones,CK3 | A Game of Thrones
common/genes/01_genes_morph.txt,A Game of Thrones,CK3 | A Game of Thrones
common/genes/02_genes_accessories_misc.txt,A Game of Thrones,CK3 | A Game of Thrones
common/genes/03_genes_special_accessories_hairstyles.txt,A Game of Thrones,CK3 | A Game of Thrones
common/genes/04_genes_special_accessories_beards.txt,A Game of Thrones,CK3 | A Game of Thrones
common/genes/05_genes_special_accessories_clothes.txt,AGOT Submod Core,CK3 | A Game of Thrones | AGOT Submod Core
common/genes/06_genes_special_accessories_headgear.txt,AGOT Submod Core,CK3 | A Game of Thrones | AGOT Submod Core
common/genes/07_genes_special_accessories_misc.txt,AGOT Submod Core,CK3 | A Game of Thrones | AGOT Submod Core
common/genes/08_genes_special_visual_traits.txt,AGOT Submod Core,CK3 | A Game of Thrones | AGOT Submod Core
common/genes/09_genes_special_makeup.txt,CK3,CK3
common/genes/10_genes_special_misc.txt,CK3,CK3
common/genes/agot_genes_accessories_crown_props.txt,A Game of Thrones,A Game of Thrones
common/genes/agot_genes_accessories_jewelry.txt,A Game of Thrones,A Game of Thrones
common/genes/dragon_accessory_genes.txt,A Game of Thrones,A Game of Thrones
common/genes/dragon_morph_genes.txt,A Game of Thrones,A Game of Thrones
common/genes/epe_color_genes_morph.txt,A Game of Thrones,A Game of Thrones
common/genes/epe_genes_morph.txt,A Game of Thrones,A Game of Thrones
common/genes/epe_genes_special_accessories_cosmetics_extra.txt,A Game of Thrones,A Game of Thrones
common/genes/epe_special_genes_morph.txt,A Game of Thrones,A Game of Thrones
common/genes/gene_age_override.txt,A Game of Thrones,A Game of Thrones
common/genes/hide_body_gene.txt,A Game of Thrones,A Game of Thrones
common/genes/salt_n_pepper.txt,A Game of Thrones,A Game of Thrones
common/genes/hk_accessories_misc.txt,AGOT Submod Core,AGOT Submod Core
common/genes/lotd_accessories_misc.txt,AGOT Submod Core,AGOT Submod Core
common/genes/smc_genes_accessories_jewellery.txt,AGOT Submod Core,AGOT Submod Core
common/genes/tgc_accessories_misc.txt,AGOT Submod Core,AGOT Submod Core
common/genes/valyrian_steel_accessories_misc.txt,AGOT Submod Core,AGOT Submod Core
common/genes/asoiaf_accessories_misc.txt,AGOT+,AGOT+
