Gene,MissingMessages,UnknownMessages,TemplateMessages,AccessoryMessages,DuplicateMessages,DefinitionCount,DefinitionSources,Templates
eye_color_saturation,53,0,0,0,0,1,A Game of Thrones: common/genes/epe_color_genes_morph.txt:30,vanilla_eye_saturation | eye_color_saturation
gene_bs_ear_outward,0,0,0,0,2,1,A Game of Thrones: common/genes/01_genes_morph.txt:2317,ear_outward_neg | ear_outward_pos
gene_bs_eye_fold_2,0,124,0,0,0,0,,
gene_bs_eye_lower_lid_size,54,0,0,0,0,1,A Game of Thrones: common/genes/epe_genes_morph.txt:1320,vanilla_eye_lower_lid_size | eye_lower_lid_size
gene_bs_eye_shape,54,0,0,0,0,1,A Game of Thrones: common/genes/epe_genes_morph.txt:1349,vanilla_eye_shape | eye_shape_01 | eye_shape_02 | eye_shape_03 | eye_shape_04
gene_bs_head_round_shape,0,175,0,0,0,0,,
gene_bs_head_shape,172,0,0,0,0,1,A Game of Thrones: common/genes/epe_genes_morph.txt:654,vanilla_head_round_shape | head_round_shape | head_archetype_shape_01 | head_archetype_shape_02 | head_archetype_shape_03 | head_archetype_shape_04 | head_archetype_shape_05 | head_archetype_shape_06 | head_archetype_shape_07 | head_archetype_shape_08 | head_archetype_shape_09 | head_archetype_shape_10
gene_dragon_body_pattern,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:2245,dragon_body_pattern_stripes_1_black | dragon_body_pattern_stripes_1_white | dragon_body_pattern_stripes_1_secondary | dragon_body_pattern_stripes_1_tertiary | dragon_body_pattern_stripes_2_black | dragon_body_pattern_stripes_2_white | dragon_body_pattern_stripes_2_secondary | dragon_body_pattern_stripes_2_tertiary | dragon_body_pattern_stripes_3_black | dragon_body_pattern_stripes_3_white | dragon_body_pattern_stripes_3_secondary | dragon_body_pattern_stripes_3_tertiary | dragon_body_pattern_stripes_4_black | dragon_body_pattern_stripes_4_white | dragon_body_pattern_stripes_4_secondary | dragon_body_pattern_stripes_4_tertiary
gene_dragon_body_shading,202,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:1858,dragon_body_shading_lower_black | dragon_body_shading_lower_white | dragon_body_shading_lower_secondary | dragon_body_shading_lower_tertiary | dragon_body_shading_upper_black | dragon_body_shading_upper_white | dragon_body_shading_upper_secondary | dragon_body_shading_upper_tertiary | dragon_body_shading_front_black | dragon_body_shading_front_white | dragon_body_shading_front_secondary | dragon_body_shading_front_tertiary | dragon_body_shading_back_black | dragon_body_shading_back_white | dragon_body_shading_back_secondary | dragon_body_shading_back_tertiary
gene_dragon_eye_color_hue,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:610,dragon_eye_color_hue
gene_dragon_eye_color_saturation,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:799,dragon_eye_color_saturation
gene_dragon_eye_color_value,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:637,dragon_eye_color_value
gene_dragon_eye_hue,0,191,0,0,0,0,,
gene_dragon_eye_value,0,191,0,0,0,0,,
gene_dragon_fire_color,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:853,gene_dragon_fire_color_automatic | gene_dragon_fire_color_custom
gene_dragon_fire_smoke,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:898,gene_dragon_fire_smoke_automatic | gene_dragon_fire_smoke_custom
gene_dragon_highlight_hue,0,191,0,0,0,0,,
gene_dragon_highlight_value,0,191,0,0,0,0,,
gene_dragon_horn_color_hue,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:664,dragon_horn_color_hue
gene_dragon_horn_color_saturation,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:826,dragon_horn_color_saturation
gene_dragon_horn_color_value,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:691,dragon_horn_color_value
gene_dragon_horn_hue,0,191,0,0,0,0,,
gene_dragon_horn_value,0,191,0,0,0,0,,
gene_dragon_main_horn_shape,0,0,64,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:1059,dragon_horns_drogon | dragon_horns_meleys | dragon_horns_balerion | dragon_horns_cannibal | dragon_horns_curvy | dragon_horns_dreamfyre | dragon_horns_grey_ghost | dragon_horns_long | dragon_horns_meraxes | dragon_horns_silverwing
gene_dragon_metallic_scales_strength,202,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:1677,dragon_scales_default | dragon_scales_metallic
gene_dragon_primary_color_hue,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:448,dragon_primary_color_hue
gene_dragon_primary_color_saturation,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:718,dragon_primary_color_saturation
gene_dragon_primary_color_value,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:475,dragon_primary_color_value
gene_dragon_scale_highlights,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:1749,dragon_scale_highlights_default | dragon_scale_highlights
gene_dragon_scale_shadows,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:1713,dragon_scale_shadows_default | dragon_scale_shadows
gene_dragon_scales_effect,0,16,0,0,0,0,,
gene_dragon_secondary_hue,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:502,dragon_secondary_hue
gene_dragon_secondary_saturation,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:745,dragon_secondary_saturation
gene_dragon_secondary_value,186,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:529,dragon_secondary_value
gene_dragon_skin_hue,0,191,0,0,0,0,,
gene_dragon_skin_value,0,191,0,0,0,0,,
gene_dragon_tertiary_hue,202,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:556,dragon_tertiary_hue
gene_dragon_tertiary_saturation,298,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:772,dragon_tertiary_saturation
gene_dragon_tertiary_value,202,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:583,dragon_tertiary_value
gene_dragon_wings_shading,202,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:2631,dragon_wings_shading_back_black | dragon_wings_shading_back_white | dragon_wings_shading_back_secondary | dragon_wings_shading_back_tertiary | dragon_wings_shading_front_black | dragon_wings_shading_front_white | dragon_wings_shading_front_secondary | dragon_wings_shading_front_tertiary | dragon_wings_shading_outside_black | dragon_wings_shading_outside_white | dragon_wings_shading_outside_secondary | dragon_wings_shading_outside_tertiary | dragon_wings_shading_inside_black | dragon_wings_shading_inside_white | dragon_wings_shading_inside_secondary | dragon_wings_shading_inside_tertiary | dragon_wings_shading_full_black | dragon_wings_shading_full_white | dragon_wings_shading_full_secondary | dragon_wings_shading_full_tertiary
gene_dragon_wounded,202,0,0,0,0,1,A Game of Thrones: common/genes/dragon_morph_genes.txt:1785,dragon_wounded | dragon_scarred
gene_eye_shut_bottom,0,53,0,0,0,0,,
gene_eye_shut_top,0,53,0,0,0,0,,
gene_eye_size,0,53,0,0,0,0,,
gene_face_dacals,172,0,0,0,0,1,A Game of Thrones: common/genes/01_genes_morph.txt:18641,no_face_dacal | face_dacal_01 | face_dacal_02 | face_dacal_03 | face_dacal_04 | face_dacal_05 | face_dacal_06 | face_dacal_07 | face_dacal_08 | face_dacal_09 | face_dacal_10
gene_forehead_inner_brow_width,0,53,0,0,0,0,,
gene_hair_type,0,0,4,0,0,1,A Game of Thrones: common/genes/01_genes_morph.txt:18423,hair_straight | hair_wavy | hair_curly | hair_afro | hair_straight_thin_beard | agot_hair_brindled_men
gene_no_portrait,0,0,0,0,1,1,A Game of Thrones: common/genes/hide_body_gene.txt:2,normal_portrait | no_portrait
legwear,0,0,0,4,0,1,AGOT Submod Core: common/genes/07_genes_special_accessories_misc.txt:11,all_legwear | no_legwear | western_common_legwear | western_war_legwear | mena_war_legwear | mena_common_legwear | mena_nobility_legwear | fp1_common_legwear | ep1_jester_legwear | ep2_western_war_legwear | afr_common_legwear | ep3_byzantine_imperial_legwear | ep3_byzantine_war_nobility_legwear | ep3_byzantine_nobility_legwear | pol_common_legwear | ccp4_sami_common_legwear | ccp4_khanty_common_legwear | tgp_chinese_war_legwear | tgp_chinese_commoner_legwear | tgp_chinese_nobility_legwear | tgp_japanese_commoner_legwear | tgp_japanese_war_legwear | tgp_japanese_imperial_legwear | tgp_chinese_high_nobility_legwear | tgp_southeast_commoner_legwear | ccp7_emishi_com_legwear | ccp7_emishi_nob_legwear | ccp7_nivkh_com_legwear | agot_all_legwear | female_legwear_secular_fp1_common_edited_01 | agot_boots_legwear | free_city_sandals | dragon_rider_legwear | pirate_legwear | ccp4_wildling_legwear | ccp7_wildling_legwear | kingsguard_legwear_01 | valyrian_nobility_legwear | asoiaf_all_legwears | tgc_pants | tgc_pants_black | tgc_pants_blackfyre
skin_color_saturation,53,0,0,0,0,1,A Game of Thrones: common/genes/epe_color_genes_morph.txt:3,vanilla_skin_saturation | skin_color_saturation
