Gene,Kind,Owner,File,Line,Templates
additive_headgear,accessory_genes,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4793,no_additive | western_veils | ep2_western_era1_veils | ep2_western_era2_veils | ep2_western_era3_veils | sp3_western_royalty_headdress | fp4_western_era2_veils | pol_crest | pol_crown | coa_crest | ccp5_bishop_mitre | tgc_mask | tgc_mask_black | tgc_mask_blackfyre
agot_parrot,accessory_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2384,agot_parrot
agot_two_headed,accessory_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2361,no_two_headed | maelys_head
agot_uncouth,accessory_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2346,aerys_nails
animated_props,accessory_genes,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5176,no_props | ep2_falcon_peregrine | ep2_horse_idle | ep2_horse_walk | ep2_horse_victory | ep2_horse_loss | ep2_horse_tiltedl | ep2_horse_cgallop | ep2_horse_cgallopl | fp4_paged_book | fp4_chifonie | ep3_byzantine_chariot_blue | ep3_byzantine_chariot_green | ep3_byzantine_chariot_white | ep3_byzantine_chariot_red | ep3_byzantine_chariot_random | ep3_byzantine_chariot_w_horses_blue | ep3_byzantine_chariot_w_horses_green | ep3_byzantine_chariot_w_horses_white | ep3_byzantine_chariot_w_horses_red | ep3_byzantine_chariot_w_horses_random | mpo_sheep | mpo_sheep_character_view | tgp_paged_chinese_book
beards,accessory_genes,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,15,no_beard | all_beards | legacy_dna_beards | western_beards_straight | western_beards_curly | mena_beards_straight | mena_beards_curly | northern_beards_straight | northern_beards_curly | steppe_beards_straight | steppe_beards_curly | sub_saharan_beards_afro | indian_beards_straight | indian_beards_curly | rtt_beards | fp1_beards_straight | fp1_beards_curly | fp2_beards_straight | fp2_beards_curly | sp2_beards_straight | ep2_beards | scripted_character_beards_01 | thin_beards_straight | orthodox_beards | scripted_character_beards_02 | scripted_character_beards_03 | fp3_iranian_beards_straight | fp3_iranian_beards_curly | fp3_turkic_beards_straight | fp3_turkic_beards_curly | scripted_character_beards_04 | sp3_beards_straight | byzantine_beards_straight | byzantine_beards_curly | ep3_beards_straight | ep3_beards_curly | sp4_mena_beards | sp4_rus_beards | mpo_mongol_beards | tgp_japanese_beards | tgp_chinese_beards | tgp_sea_beards | tgp_ainu_beards | cp7_emishi_ainu_beards_straight | cp7_emishi_ainu_beards_wavy | cp7_emishi_ainu_beards_curly | sp5_western_beards | rr_bookmark_beards | cs_bookmark_beards | agot_special_scripted_beards | agot_brindled_men_thin_beards | agot_ibbenese_thin_beards
body_webbing,accessory_genes,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2331,webbing
cloaks,accessory_genes,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,822,no_cloak | all_cloaks | western_royalty | fp1_cloak | fp1_cloak_berserker | ep1_cloak_adventurer | ep2_cloak_western_travel | ep2_cloak_mena_travel | ep2_cloak_western_era1_low_nobility | ep2_cloak_western_era1_high_nobility | sp2_cloak_imperial | afr_cloaks | sp3_cloak | fp4_cloak_western | ep3_byzantine_era1_nob | ep3_byzantine_era1_imperial | ep3_byzantine_era2_nob | ep3_byzantine_era2_roy_01_loros | ep3_byzantine_era2_imp_01_loros | camp_purpose_brigands_cloaks | ccp4_sami_cloaks_com | ccp4_sami_cloaks_lo_nob | ccp4_sami_cloaks_hi_nob | ccp7_mino_com_01 | nw_fur_01 | male_cloaks_secular_armorcape_01 | male_cloaks_secular_halfcape_01 | male_goldcloak_01 | agot_historic_capes | agot_coa_cloaks_fp1 | agot_coa_cloaks_fp1_dynamic_low | agot_coa_cloaks_fp1_dynamic_high | agot_coa_cloaks_fp1_dynamic_stark | agot_coa_cloaks_ep1 | agot_coa_cloaks_ep2 | agot_coa_cloaks_sp2 | agot_coa_cloaks_western_royalty | male_cloaks_secular_shouldercape_dynastic | kingsguard_cloak | unlikely_cape_01 | male_cloaks_secular_shouldercape_01 | agot_coa_cloaks_fp1_dynamic_low_war | agot_coa_cloaks_fp1_dynamic_high_war | agot_coa_cloaks_fp1_dynamic_stark_war | stormcloak_01 | north_high_winter_cloaks | agot_skinchangers_second_pelt | agot_hidden_cloaks | northern_short_fur_cloak | andal_wedding_cloak | agot_all_fp1_cloaks | agot_all_ep1_cloaks | agot_all_no_dlc_cloaks | kingsguard_cloak_aotk | asoiaf_lannister_war_cloak | asoiaf_unique_cloaks | asoiaf_northern_cloaks
clothes,accessory_genes,AGOT Submod Core,common/genes/05_genes_special_accessories_clothes.txt,15,most_clothes | no_clothes | western_commoner_clothes | western_low_nobility_clothes | western_high_nobility_clothes | western_royalty_clothes | western_imperial_clothes | western_war_nobility_clothes | western_sickness | western_prison | western_stealth | western_bedchamber | western_crusades | indian_commoner_clothes | indian_low_nobility_clothes | indian_high_nobility_clothes | indian_war_nobility_clothes | byzantine_commoner_clothes | byzantine_low_nobility_clothes | byzantine_high_nobility_clothes | byzantine_war_nobility_clothes | steppe_commoner_clothes | steppe_low_nobility_clothes | steppe_high_nobility_clothes | steppe_war_nobility_clothes | mena_commoner_clothes | mena_low_nobility_clothes | mena_high_nobility_clothes | mena_war_nobility_clothes | mena_sickness | mena_prison | mena_stealth | mena_bedchamber | mena_crusades | northern_commoner_clothes | northern_low_nobility_clothes | northern_high_nobility_clothes | northern_war_nobility_clothes | sub_saharan_commoner_clothes | sub_saharan_low_nobility_clothes | sub_saharan_high_nobility_clothes | sub_saharan_war_nobility_clothes | dde_hre_commoner_clothes | dde_hre_low_nobility_clothes | dde_hre_high_nobility_clothes | dde_hre_war_nobility_clothes | dde_abbasid_commoner_clothes | dde_abbasid_low_nobility_clothes | dde_abbasid_high_nobility_clothes | dde_abbasid_war_nobility_clothes | religious_orthodox_high_clothes | religious_orthodox_head_clothes | religious_muslim_high_clothes | religious_muslim_head_clothes | religious_catholic_devoted_clothes | religious_catholic_high_clothes | religious_catholic_head_clothes | religious_african_high_clothes | religious_northern_high_clothes | religious_hindu_devoted_clothes | religious_jain_high_clothes | religious_buddhist_high_clothes | religious_zoroastrian_high_clothes | religious_jewish_head_clothes | religious_jewish_high_clothes | religious_steppe_high_clothes | western_children_commoner_clothes | fp1_commoner_clothes | fp1_low_nobility_clothes | fp1_high_nobility_clothes | fp1_war_nobility_clothes | ep1_jester_clothes | fp2_muslim_commoner_clothes | fp2_christian_commoner_clothes | fp2_muslim_low_nobility_clothes | fp2_muslim_high_nobility_clothes | fp2_christian_low_nobility_clothes | fp2_christian_high_nobility_clothes | fp2_muslim_war_nobility_clothes | fp2_christian_war_nobility_clothes | sp2_western_royalty_clothes | ep2_western_era1_commoner_clothes | ep2_western_era1_low_nobility_clothes | ep2_western_era1_high_nobility_clothes | ep2_western_era1_war_nobility_clothes | ep2_western_era2_war_nobility_clothes | ep2_western_era3_low_nobility_clothes | ep2_western_era3_high_nobility_clothes | ep2_western_era4_war_nobility_clothes | ep2_religious_muslim_hajj_clothes | ep2_religious_muslim_ihram_clothes | ep2_pope_larper_clothes | ep2_cardinal_larper_clothes | ep2_mena_war_nobility_clothes | ep2_steppe_war_nobility_clothes | ep2_byzantine_war_nobility_clothes | ep2_indian_war_nobility_clothes | fp3_iranian_low_nobility_clothes | fp3_iranian_high_nobility_clothes | fp3_iranian_war_nobility_clothes | afr_commoner_clothes | afr_low_nobility_clothes | afr_high_nobility_clothes | afr_war_nobility_clothes | sp3_western_royalty_clothes | fp4_western_era2_low_nobility_clothes | fp4_western_era2_high_nobility_clothes | fp4_western_era3_commoner_clothes | fp4_western_era3_low_nobility_clothes | fp4_western_era3_high_nobility_clothes | fp4_western_bedchamber_clothes | fp4_western_physician_01 | ep3_byzantine_era1_commoner_clothes | ep3_byzantine_era1_low_nobility_clothes | ep3_byzantine_era1_high_nobility_clothes | ep3_byzantine_era1_imperial_clothes | ep3_byzantine_era2_commoner_clothes | ep3_byzantine_era2_low_nobility_clothes | ep3_byzantine_era2_high_nobility_clothes | ep3_byzantine_era2_war_nobility_clothes | ep3_byzantine_era2_royalty_clothes | ep3_byzantine_era2_imperial_clothes | ep3_byzantine_charioteer_clothes_blue | ep3_byzantine_charioteer_clothes_green | ep3_byzantine_charioteer_clothes_white | ep3_byzantine_charioteer_clothes_red | ep3_byzantine_era1_war_nobility_clothes | pol_commoner_clothes | pol_low_nobility_clothes | pol_high_nobility_clothes | pol_imperial_clothes | pol_war_nobility_clothes | ccp4_sami_commoner_clothes | ccp4_sami_low_nobility_clothes | ccp4_sami_high_nobility_clothes | ccp4_sami_travel_clothes | ccp4_sami_war_nobility_clothes | ccp4_khanty_commoner_clothes | ccp4_khanty_low_nobility_clothes | ccp4_khanty_high_nobility_clothes | ccp4_khanty_war_nobility_clothes | ccp4_khanty_children_commoner_clothes | mpo_mongol_commoner_clothes | mpo_mongol_low_nobility_clothes | mpo_mongol_high_nobility_clothes | mpo_mongol_royalty_clothes | mpo_mongol_imperial_clothes | mpo_mongol_war_nobility_clothes | tgp_chinese_commoner_clothes | tgp_chinese_era1_nobility_clothes | tgp_chinese_era2_nobility_clothes | tgp_chinese_high_nobility_clothes | tgp_chinese_royalty_clothes | tgp_chinese_imperial_clothes | tgp_chinese_war_nobility_clothes | tgp_japanese_commoner_clothes | tgp_japanese_nobility_clothes | tgp_japanese_high_nobility_clothes | tgp_japanese_royalty_clothes | tgp_japanese_imperial_clothes | tgp_japanese_war_nobility_clothes | tgp_chinese_buddhist_clothes | tgp_chinese_taoist_clothes | tgp_japanese_buddhist_clothes | tgp_japanese_shinto_clothes | tgp_korean_commoner_clothes | tgp_korean_era1_nobility_clothes | tgp_korean_era2_nobility_clothes | tgp_korean_high_nobility_clothes | tgp_korean_imperial_clothes | tgp_southeast_commoner_clothes | tgp_southeast_low_nobility_clothes | tgp_southeast_high_nobility_clothes | tgp_southeast_royalty_clothes | tgp_chinese_ministers | tgp_japanese_ministers | tgp_korean_ministers | tgp_ainu_commoner_clothes | tgp_ainu_low_nobility_clothes | ccp5_german_era3_war_nobility_clothes | ccp5_french_era3_war_commoners_clothes | ccp5_french_era3_war_nobility_clothes | ccp5_french_late_era3_war_nobility_clothes | ccp5_english_era3_war_nobility_clothes | ccp5_english_era4_war_nobility_clothes | ccp7_emishi_com_clothes | ccp7_emishi_low_nob_clothes | ccp7_emishi_hi_nob_clothes | ccp7_emishi_roy_clothes | ccp7_emishi_war_nob_clothes | ccp7_nivkh_com_clothes | ccp7_nivkh_low_nob_clothes | ccp9_lia_nob_01_clothes | ccp9_dal_nob_01_clothes | ccp9_uyg_nob_01_clothes | ccp9_uyg_roy_01_clothes | ccp9_tan_nob_01_clothes | ccp9_tan_roy_01_clothes | ccp9_min_nob_01_clothes | agot_historic_characters | agot_all_armors | agot_all_clothes | agot_free_cities_01_clothes | agot_free_cities_low_01_clothes | agot_pirate_01_clothes | agot_byzantine_high_nobility_clothes_male_pants | agot_western_high_nobility_clothes_male_pants | agot_stormlander_low_fabrics | redpriestess_clothes | religious_fot7_high_clothes | agot_stormlander_high_fabrics | dragon_rider_clothes | north_high_winter_clothes | north_high_winter_high_clothes | north_high_winter_low_clothes | agot_northern_high_nobility | religious_fot7_low_clothes | religious_fot7_devoted_clothes | maester_clothes | silentsister_clothes | free_cities_braavos_high_clothes | free_cities_braavos_high_clothes_barbershop_only | agot_dornish_high_nobility | agot_faith_of_the_seven_high_nobility | agot_faith_of_the_seven_fashionable | agot_western_fashionable | agot_house_clothes | agot_the_blacks_faction | agot_the_greens_faction | agot_riverlord_war_04 | agot_clothes_special | no_clothes_forced | ccp4_agot_wildling | ccp7_agot_wildling | smc_lotd_or_agotplus_clothes | brightboar_swordsman_armour | kingsguard_armor_clothes | valyrian_nobility_clothing | valyrian_nobility_clothing_generic | asoiaf_all_armours | asoiaf_unique_clothes | asoiaf_maester_clothes | asoiaf_religious_clothes | golden_company_armor | golden_company_armor_black | golden_company_armor_blackfyre
clothes_hoods,accessory_genes,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4992,hoods
