File,DNA,OldGene,OldValue,TargetCandidate,TargetValue,OldZero,TargetZero,CandidateOnly
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_head_round_shape,"""head_round_shape"" 14 ""head_round_shape"" 14",gene_bs_head_shape,,False,False,False
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_fold_2,"""eye_fold_2"" 118 ""eye_fold_2"" 118",gene_bs_eye_fold_shape,"""eye_fold_shape_pos"" 27 ""eye_fold_shape_pos"" 27",False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,"""eye_size"" 122 ""eye_size"" 122",gene_bs_eye_size,"""eye_size_pos"" 0 ""eye_size_pos"" 0",False,True,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,"""eye_shut_top"" 140 ""eye_shut_top"" 140",gene_bs_eye_upper_lid_size,"""eye_upper_lid_size_neg"" 43 ""eye_upper_lid_size_neg"" 43",False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,"""eye_shut_bottom"" 109 ""eye_shut_bottom"" 109",gene_bs_eye_lower_lid_size,,False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,"""inner_brow_width"" 131 ""inner_brow_width"" 131",gene_eyebrow_inner_width,"""eyebrow_inner_width_max"" 11 ""eyebrow_inner_width_max"" 11",False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_skin_hue,"""dragon_skin_hue"" 127 ""dragon_skin_hue"" 127",gene_dragon_primary_color_hue,,False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_skin_value,"""dragon_skin_value"" 127 ""dragon_skin_value"" 127",gene_dragon_primary_color_value,,False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_highlight_hue,"""dragon_highlight_hue"" 127 ""dragon_highlight_hue"" 127",gene_dragon_secondary_hue,,False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_highlight_value,"""dragon_highlight_value"" 127 ""dragon_highlight_value"" 127",gene_dragon_secondary_value,,False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_eye_hue,"""dragon_eye_hue"" 127 ""dragon_eye_hue"" 127",gene_dragon_eye_color_hue,,False,False,True
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_eye_value,"""dragon_eye_value"" 127 ""dragon_eye_value"" 127",gene_dragon_eye_color_value,,False,False,True
