OldGene,Count,OldZeroPair,TargetPresent,BothNonZero,OldNonZeroTargetZero
gene_bs_head_round_shape,175,83,0,0,0
gene_bs_eye_fold_2,124,59,124,62,3
gene_eye_size,53,0,53,51,2
gene_eye_shut_top,53,0,53,53,0
gene_eye_shut_bottom,53,0,0,0,0
gene_forehead_inner_brow_width,53,0,53,41,12
gene_dragon_skin_hue,191,5,0,0,0
gene_dragon_skin_value,191,5,0,0,0
gene_dragon_highlight_hue,191,5,0,0,0
gene_dragon_highlight_value,191,5,0,0,0
gene_dragon_eye_hue,191,5,0,0,0
gene_dragon_eye_value,191,5,0,0,0
gene_dragon_horn_hue,191,5,0,0,0
gene_dragon_horn_value,191,5,0,0,0
gene_dragon_scales_effect,16,0,0,0,0
