File,DNA,Line,GeneCount,HumanBody,DragonGene,LogMessages,MissingGenes,UnknownGenes
common/dna_data/test_dna_beyond_the_wall.txt,Rayder_asoiaf_1,1,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_beyond_the_wall.txt,Giantsbane_asoiaf_1,186,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,1,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_crownlands.txt,Hollard_asoiaf_10,180,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,Blackwater_asoiaf_1,365,172,True,"""human_body"" 0 ""human_body"" 0",19,16,1
common/dna_data/test_dna_crownlands.txt,Staunton_asoiaf_19,545,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,Darklyn_asoiaf_18,730,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,915,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_2,1093,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_3,1271,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_4,1449,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_5,1627,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_6,1805,172,True,"""human_body"" 0 ""human_body"" 0",19,16,1
common/dna_data/test_dna_crownlands.txt,Branfield_asoiaf_1,1985,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_crownlands.txt,Branfield_asoiaf_2,2164,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_crownlands.txt,Thorne_asoiaf_17,2343,172,True,"""human_body"" 0 ""human_body"" 0",19,16,1
common/dna_data/test_dna_crownlands.txt,Thorne_asoiaf_3,2523,171,True,"""human_body"" 0 ""human_body"" 0",34,24,8
common/dna_data/test_dna_crownlands.txt,Cargyll_asoiaf_11,2702,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Stark_hh_asoiaf_1,2880,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,3058,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_crownlands.txt,Tall_asoiaf_1,3238,171,True,"""human_body"" 0 ""human_body"" 0",34,24,8
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,3417,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_crownlands.txt,asoiaf_Most_Devout_20,3596,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,asoiaf_Most_Devout_21,3781,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,asoiaf_Most_Devout_23,3966,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_crownlands.txt,asoiaf_Maester_Kings_Landing_2,4151,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_4,1,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_7,180,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_8,359,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_9,538,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_10,717,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_11,896,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_12,1075,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_14,1260,172,True,"""human_body"" 0 ""human_body"" 0",19,16,1
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,1440,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,1619,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_8,1798,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_dornish.txt,Santagar_asoiaf_6,1977,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_dornish.txt,Uller_asoiaf_6,2162,172,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_easter_eggs.txt,asoiaf_Leipa_12,1,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_easter_eggs.txt,asoiaf_Kobyla_2,186,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_easter_eggs.txt,asoiaf_Capon_2,371,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_easter_eggs.txt,asoiaf_Erik,556,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_easter_eggs.txt,asoiaf_Toth_2,741,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_essos.txt,Mopatis_asoiaf_1,1,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_essos.txt,Stormcrows_asoiaf_1,186,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_essos.txt,Hotah_asoiaf_1,371,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_essos.txt,Mysaria_asoiaf_1,556,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_essos.txt,Baratheon_hh_asoiaf_4,735,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_essos.txt,Shae_asoiaf_1,920,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_essos.txt,Saan_asoiaf_2,1099,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
common/dna_data/test_dna_essos.txt,Thoros_asoiaf_1,1278,169,True,"""human_body"" 0 ""human_body"" 0",38,28,10
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,1455,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_5,3,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,181,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,364,171,True,"""human_body"" 0 ""human_body"" 0",44,30,14
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_13,549,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_14,734,171,True,"""human_body"" 0 ""human_body"" 0",34,24,8
common/dna_data/test_dna_north.txt,Stark_asoiaf_67,1,171,True,"""human_body"" 0 ""human_body"" 0",34,24,8
common/dna_data/test_dna_north.txt,Stark_asoiaf_84,180,177,True,"""human_body"" 0 ""human_body"" 0",10,10,0
common/dna_data/test_dna_north.txt,Stark_asoiaf_86,365,170,True,"""human_body"" 0 ""human_body"" 0",35,26,9
common/dna_data/test_dna_north.txt,Stark_asoiaf_1,543,171,True,"""human_body"" 0 ""human_body"" 0",36,26,10
