File,DNA,Gene,Line,Value
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_skin_hue,8,"{ ""dragon_skin_hue"" 127 ""dragon_skin_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_skin_value,9,"{ ""dragon_skin_value"" 127 ""dragon_skin_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_highlight_hue,10,"{ ""dragon_highlight_hue"" 127 ""dragon_highlight_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_highlight_value,11,"{ ""dragon_highlight_value"" 127 ""dragon_highlight_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_eye_hue,12,"{ ""dragon_eye_hue"" 127 ""dragon_eye_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_eye_value,13,"{ ""dragon_eye_value"" 127 ""dragon_eye_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_horn_hue,14,"{ ""dragon_horn_hue"" 127 ""dragon_horn_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_dragon_horn_value,15,"{ ""dragon_horn_value"" 127 ""dragon_horn_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,148,"{ ""eye_size"" 122 ""eye_size"" 122 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,149,"{ ""eye_shut_top"" 140 ""eye_shut_top"" 140 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,150,"{ ""eye_shut_bottom"" 109 ""eye_shut_bottom"" 109 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,156,"{ ""inner_brow_width"" 131 ""inner_brow_width"" 131 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_fold_2,160,"{ ""eye_fold_2"" 118 ""eye_fold_2"" 118 }"
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_head_round_shape,163,"{ ""head_round_shape"" 14 ""head_round_shape"" 14 }"
common/dna_data/test_dna_crownlands.txt,Blackwater_asoiaf_1,gene_dragon_scales_effect,512,"{ ""dragon_scales_metallic"" 127 ""dragon_scales_metallic"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_skin_hue,1028,"{ ""dragon_skin_hue"" 127 ""dragon_skin_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_skin_value,1029,"{ ""dragon_skin_value"" 127 ""dragon_skin_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_highlight_hue,1030,"{ ""dragon_highlight_hue"" 127 ""dragon_highlight_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_highlight_value,1031,"{ ""dragon_highlight_value"" 127 ""dragon_highlight_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_eye_hue,1032,"{ ""dragon_eye_hue"" 127 ""dragon_eye_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_eye_value,1033,"{ ""dragon_eye_value"" 127 ""dragon_eye_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_horn_hue,1034,"{ ""dragon_horn_hue"" 127 ""dragon_horn_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_dragon_horn_value,1035,"{ ""dragon_horn_value"" 127 ""dragon_horn_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_1,gene_bs_head_round_shape,1073,"{ ""head_round_shape"" 175 ""head_round_shape"" 175 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_2,gene_dragon_skin_hue,1206,"{ ""dragon_skin_hue"" 127 ""dragon_skin_hue"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_2,gene_dragon_skin_value,1207,"{ ""dragon_skin_value"" 127 ""dragon_skin_value"" 127 }"
common/dna_data/test_dna_crownlands.txt,Stokeworth_asoiaf_2,gene_dragon_highlight_hue,1208,"{ ""dragon_highlight_hue"" 127 ""dragon_highlight_hue"" 127 }"
