File,DNA,DonorFile,DonorDNA,ExactGenes,ComparedGenes,Ratio
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_71,7,103,0.068
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,common/bookmark_portraits/bookmark_284_cressen.txt,bookmark_284_cressen,98,103,0.9515
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_128,5,103,0.0485
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_10,common/dna_data/test_dna_westerlands.txt,Lannister_asoiaf_90,6,103,0.0583
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,common/bookmark_portraits/bookmark_277_arthur_dayne.txt,bookmark_277_arthur_dayne,97,103,0.9417
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,common/dna_data/test_dna_stormlands.txt,Cole_asoiaf_11,7,103,0.068
common/dna_data/test_dna_dornish.txt,Uller_asoiaf_6,common/dna_data/test_dna_valyrian.txt,Targaryen_asoiaf_hh_10,11,103,0.1068
common/dna_data/test_dna_essos.txt,Mysaria_asoiaf_1,common/bookmark_portraits/bookmark_106_mysaria.txt,bookmark_106_mysaria,100,103,0.9709
common/dna_data/test_dna_essos.txt,Saan_asoiaf_2,common/dna_data/test_dna_reach.txt,Florent_asoiaf_10,11,103,0.1068
common/dna_data/test_dna_essos.txt,Thoros_asoiaf_1,common/dna_data/test_dna_reach.txt,Florent_asoiaf_10,9,103,0.0874
common/dna_data/test_dna_essos.txt,Eunuch_asoiaf_1,common/bookmark_portraits/challenge_character_284_petyr_baelish.txt,challenge_character_284_petyr_baelish,20,103,0.1942
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,common/bookmark_portraits/bookmark_284_euron_greyjoy.txt,bookmark_284_euron_greyjoy,95,103,0.9223
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_9,common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_5,34,103,0.3301
common/dna_data/test_dna_north.txt,Stark_asoiaf_1,common/dna_data/test_dna_north.txt,Stark_asoiaf_2,41,103,0.3981
