File,DNA,Gene,Value,Classification,CandidateGene,CandidateValue,Line,Method,Recommendation,Confidence,Status
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,"""eye_size"" 122 ""eye_size"" 122",active_template,gene_bs_eye_size,"""eye_size_pos"" 0 ""eye_size_pos"" 0",148,legacy_animation,Restore independent historical gene and validated eye_size animation; retain existing gene_bs_eye_size,historical definition exact; visual compatibility unverified,analysis_only
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,"""eye_shut_top"" 140 ""eye_shut_top"" 140",active_template,gene_bs_eye_upper_lid_size,"""eye_upper_lid_size_neg"" 43 ""eye_upper_lid_size_neg"" 43",149,legacy_animation,Restore independent historical gene and validated upper-lid animation; retain current upper-lid morph,historical definition exact; female historical activation differs,analysis_only
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,"""eye_shut_bottom"" 109 ""eye_shut_bottom"" 109",active_template,gene_bs_eye_lower_lid_size,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0",150,legacy_animation,Restore independent historical gene and validated lower-lid animation,historical definition exact; female historical activation differs,analysis_only
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,"""inner_brow_width"" 131 ""inner_brow_width"" 131",active_template,gene_eyebrow_inner_width,"""eyebrow_inner_width_max"" 11 ""eyebrow_inner_width_max"" 11",156,legacy_animation_and_morph,Restore historical three-attribute gene including brow animation; retain gene_eyebrow_inner_width,historical definition exact; rig/combination requires visual validation,analysis_only
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_fold_2,"""eye_fold_2"" 118 ""eye_fold_2"" 118",active_template,gene_bs_eye_fold_shape,"""eye_fold_shape_pos"" 27 ""eye_fold_shape_pos"" 27",160,independent_existing_morph,Restore independent 0..1 gene using existing bs_eye_fold_2; preserve both alleles and primary fold; audit neutral defaults globally,same attribute and historical range established; current visual identity not tested,analysis_only
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,gene_bs_eye_fold_2,"""eye_fold_2"" 62 ""eye_fold_2"" 62",active_template,gene_bs_eye_fold_shape,"""eye_fold_shape_pos"" 47 ""eye_fold_shape_pos"" 47",3588,independent_existing_morph,Restore independent 0..1 gene using existing bs_eye_fold_2; preserve both alleles and primary fold; audit neutral defaults globally,same attribute and historical range established; current visual identity not tested,analysis_only
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_eye_size,"""eye_size"" 120 ""eye_size"" 120",active_template,gene_bs_eye_size,"""eye_size_neg"" 77 ""eye_size_neg"" 77",3988,legacy_animation,Restore independent historical gene and validated eye_size animation; retain existing gene_bs_eye_size,historical definition exact; visual compatibility unverified,analysis_only
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_eye_shut_top,"""eye_shut_top"" 147 ""eye_shut_top"" 147",active_template,gene_bs_eye_upper_lid_size,"""eye_upper_lid_size_pos"" 255 ""eye_upper_lid_size_pos"" 255",3989,legacy_animation,Restore independent historical gene and validated upper-lid animation; retain current upper-lid morph,historical definition exact; female historical activation differs,analysis_only
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_eye_shut_bottom,"""eye_shut_bottom"" 126 ""eye_shut_bottom"" 126",active_template,gene_bs_eye_lower_lid_size,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0",3990,legacy_animation,Restore independent historical gene and validated lower-lid animation,historical definition exact; female historical activation differs,analysis_only
common/dna_data/test_dna_crownlands.txt,Pycelle_asoiaf_1,gene_bs_eye_fold_2,"""eye_fold_2"" 8 ""eye_fold_2"" 8",active_template,gene_bs_eye_fold_shape,"""eye_fold_shape_neg"" 33 ""eye_fold_shape_neg"" 33",4000,independent_existing_morph,Restore independent 0..1 gene using existing bs_eye_fold_2; preserve both alleles and primary fold; audit neutral defaults globally,same attribute and historical range established; current visual identity not tested,analysis_only
common/dna_data/test_dna_dornish.txt,Martell_asoiaf_10,gene_bs_eye_fold_2,"""eye_fold_2"" 11 ""eye_fold_2"" 0",active_template,gene_bs_eye_fold_shape,"""eye_fold_shape_neg"" 205 ""eye_fold_shape_neg"" 78",978,independent_existing_morph,Restore independent 0..1 gene using existing bs_eye_fold_2; preserve both alleles and primary fold; audit neutral defaults globally,same attribute and historical range established; current visual identity not tested,analysis_only
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eye_size,"""eye_size"" 123 ""eye_size"" 123",active_template,gene_bs_eye_size,"""eye_size_pos"" 52 ""eye_size_pos"" 52",1771,legacy_animation,Restore independent historical gene and validated eye_size animation; retain existing gene_bs_eye_size,historical definition exact; visual compatibility unverified,analysis_only
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eye_shut_top,"""eye_shut_top"" 136 ""eye_shut_top"" 136",active_template,gene_bs_eye_upper_lid_size,"""eye_upper_lid_size_pos"" 137 ""eye_upper_lid_size_pos"" 137",1772,legacy_animation,Restore independent historical gene and validated upper-lid animation; retain current upper-lid morph,historical definition exact; female historical activation differs,analysis_only
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_eye_shut_bottom,"""eye_shut_bottom"" 120 ""eye_shut_bottom"" 120",active_template,gene_bs_eye_lower_lid_size,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0",1773,legacy_animation,Restore independent historical gene and validated lower-lid animation,historical definition exact; female historical activation differs,analysis_only
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_forehead_inner_brow_width,"""inner_brow_width"" 129 ""inner_brow_width"" 129",active_template,gene_eyebrow_inner_width,"""eyebrow_inner_width_max"" 0 ""eyebrow_inner_width_max"" 0",1779,legacy_animation_and_morph,Restore historical three-attribute gene including brow animation; retain gene_eyebrow_inner_width,historical definition exact; rig/combination requires visual validation,analysis_only
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,gene_bs_eye_fold_2,"""eye_fold_2"" 224 ""eye_fold_2"" 224",active_template,gene_bs_eye_fold_shape,"""eye_fold_shape_neg"" 65 ""eye_fold_shape_neg"" 65",1783,independent_existing_morph,Restore independent 0..1 gene using existing bs_eye_fold_2; preserve both alleles and primary fold; audit neutral defaults globally,same attribute and historical range established; current visual identity not tested,analysis_only
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_4,gene_eye_size,"""eye_size"" 135 ""eye_size"" 135",active_template,gene_bs_eye_size,"""eye_size_neg"" 95 ""eye_size_neg"" 95",1980,legacy_animation,Restore independent historical gene and validated eye_size animation; retain existing gene_bs_eye_size,historical definition exact; visual compatibility unverified,analysis_only
