File,DNA,Gene,Kind,Before,After,Reason,SourceLegacyGene,Line
common/bookmark_portraits/bookmark_236_tion_lannister.txt,bookmark_236_tion_lannister,legwear,replace,"""asoiaf_lannister_war_legs"" 255 ""all_legwear"" 0","""asoiaf_all_legwears"" 84 ""all_legwear"" 0",adapt_lannister_set,legwear,185
common/bookmark_portraits/bookmark_277_barristan_selmy.txt,bookmark_277_barristan_selmy,legwear,replace,"""kingsguard_war_01_legwear"" 255 ""all_legwear"" 0","""agot_all_legwear"" 244 ""all_legwear"" 0",same_accessory_new_group,legwear,193
common/bookmark_portraits/bookmark_282_eddard_stark.txt,bookmark_282_eddard_stark,gene_bs_ear_outward,collapse_bookmark_pose,"""ear_outward_pos"" 19 ""ear_outward_pos"" 19 | ""ear_outward_neg"" 255 ""ear_outward_neg"" 0","""ear_outward_neg"" 255 ""ear_outward_neg"" 0",retain_exported_helmet_pose,gene_bs_ear_outward,49
common/bookmark_portraits/bookmark_282_robert_baratheon.txt,bookmark_282_robert_baratheon,gene_bs_ear_outward,collapse_bookmark_pose,"""ear_outward_neg"" 113 ""ear_outward_neg"" 113 | ""ear_outward_neg"" 255 ""ear_outward_neg"" 0","""ear_outward_neg"" 255 ""ear_outward_neg"" 0",retain_exported_helmet_pose,gene_bs_ear_outward,49
common/bookmark_portraits/bookmark_284_cressen.txt,bookmark_284_cressen,legwear,replace,"""maester_legwear"" 62 ""all_legwear"" 0","""agot_all_legwear"" 23 ""all_legwear"" 0",same_accessory_new_group,legwear,182
common/bookmark_portraits/challenge_character_282_walder_frey.txt,challenge_character_282_walder_frey,legwear,replace,"""agot_trousers"" 0 ""all_legwear"" 0","""agot_all_legwear"" 14 ""all_legwear"" 0",same_accessory_new_group,legwear,190
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,retire,"""eye_size"" 122 ""eye_size"" 122",,approximate_current_gene,gene_eye_size,148
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_size,replace,"""eye_size_pos"" 0 ""eye_size_pos"" 0","""eye_size_neg"" 3 ""eye_size_neg"" 3",approximate_current_gene,gene_eye_size,89
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,retire,"""eye_shut_top"" 140 ""eye_shut_top"" 140",,approximate_current_gene,gene_eye_shut_top,149
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_upper_lid_size,replace,"""eye_upper_lid_size_neg"" 43 ""eye_upper_lid_size_neg"" 43","""eye_upper_lid_size_neg"" 37 ""eye_upper_lid_size_neg"" 37",approximate_current_gene,gene_eye_shut_top,90
