File,DNA,OldGene,Allele,LegacyTemplate,LegacyValue,TargetGene,BeforeTemplate,BeforeValue,AfterTemplate,AfterValue,RequestedDelta,AppliedSignedDelta,Decision
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,dominant,eye_size,122,gene_bs_eye_size,eye_size_pos,0,eye_size_neg,3,-3,-3,weak_signed_analogy
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,recessive,eye_size,122,gene_bs_eye_size,eye_size_pos,0,eye_size_neg,3,-3,-3,weak_signed_analogy
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,dominant,eye_shut_top,140,gene_bs_eye_upper_lid_size,eye_upper_lid_size_neg,43,eye_upper_lid_size_neg,37,6,6,weak_signed_analogy
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,recessive,eye_shut_top,140,gene_bs_eye_upper_lid_size,eye_upper_lid_size_neg,43,eye_upper_lid_size_neg,37,6,6,weak_signed_analogy
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,dominant,eye_shut_bottom,109,gene_bs_eye_lower_lid_size,vanilla_eye_lower_lid_size,0,vanilla_eye_lower_lid_size,0,-9,0,neutral_no_negative_lower_lid_analogue
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,recessive,eye_shut_bottom,109,gene_bs_eye_lower_lid_size,vanilla_eye_lower_lid_size,0,vanilla_eye_lower_lid_size,0,-9,0,neutral_no_negative_lower_lid_analogue
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,dominant,inner_brow_width,131,gene_eyebrow_inner_width,eyebrow_inner_width_max,11,eyebrow_inner_width_max,13,2,2,weak_signed_analogy
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,recessive,inner_brow_width,131,gene_eyebrow_inner_width,eyebrow_inner_width_max,11,eyebrow_inner_width_max,13,2,2,weak_signed_analogy
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_fold_2,dominant,eye_fold_2,118,gene_bs_eye_fold_shape,eye_fold_shape_pos,27,eye_fold_shape_pos,27,,,preserve_existing_primary_fold
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_bs_eye_fold_2,recessive,eye_fold_2,118,gene_bs_eye_fold_shape,eye_fold_shape_pos,27,eye_fold_shape_pos,27,,,preserve_existing_primary_fold
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,gene_bs_eye_fold_2,dominant,eye_fold_2,62,gene_bs_eye_fold_shape,eye_fold_shape_pos,47,eye_fold_shape_pos,47,,,preserve_existing_primary_fold
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,gene_bs_eye_fold_2,recessive,eye_fold_2,62,gene_bs_eye_fold_shape,eye_fold_shape_pos,47,eye_fold_shape_pos,47,,,preserve_existing_primary_fold
