File,DNA,OldGene,OldValue,TargetGene,TargetBefore,TargetAfter,Decision,Detail,VisualValidationRequired,Status
common/bookmark_portraits/bookmark_236_tion_lannister.txt,bookmark_236_tion_lannister,legwear,"""asoiaf_lannister_war_legs"" 255 ""all_legwear"" 0",legwear,"""asoiaf_lannister_war_legs"" 255 ""all_legwear"" 0","""asoiaf_all_legwears"" 84 ""all_legwear"" 0",adapt_lannister_set,male_legwear_asoiaf_lannister_legs_dynast; candidate replacement model; not a proven rename,False,candidate_not_applied
common/bookmark_portraits/bookmark_277_barristan_selmy.txt,bookmark_277_barristan_selmy,legwear,"""kingsguard_war_01_legwear"" 255 ""all_legwear"" 0",legwear,"""kingsguard_war_01_legwear"" 255 ""all_legwear"" 0","""agot_all_legwear"" 244 ""all_legwear"" 0",same_accessory_new_group,male_legwear_special_kingsguard_war_01; same accessory ID,False,candidate_not_applied
common/bookmark_portraits/bookmark_282_eddard_stark.txt,bookmark_282_eddard_stark,gene_bs_ear_outward,"""ear_outward_pos"" 19 ""ear_outward_pos"" 19 | ""ear_outward_neg"" 255 ""ear_outward_neg"" 0",gene_bs_ear_outward,"""ear_outward_pos"" 19 ""ear_outward_pos"" 19 | ""ear_outward_neg"" 255 ""ear_outward_neg"" 0","""ear_outward_neg"" 255 ""ear_outward_neg"" 0",retain_exported_helmet_pose,approximate pose; preserve base entry in comment; character DNA unchanged,False,candidate_not_applied
common/bookmark_portraits/bookmark_282_robert_baratheon.txt,bookmark_282_robert_baratheon,gene_bs_ear_outward,"""ear_outward_neg"" 113 ""ear_outward_neg"" 113 | ""ear_outward_neg"" 255 ""ear_outward_neg"" 0",gene_bs_ear_outward,"""ear_outward_neg"" 113 ""ear_outward_neg"" 113 | ""ear_outward_neg"" 255 ""ear_outward_neg"" 0","""ear_outward_neg"" 255 ""ear_outward_neg"" 0",retain_exported_helmet_pose,approximate pose; preserve base entry in comment; character DNA unchanged,False,candidate_not_applied
common/bookmark_portraits/bookmark_284_cressen.txt,bookmark_284_cressen,legwear,"""maester_legwear"" 62 ""all_legwear"" 0",legwear,"""maester_legwear"" 62 ""all_legwear"" 0","""agot_all_legwear"" 23 ""all_legwear"" 0",same_accessory_new_group,male_legwear_maester_skirt_01; same accessory ID; first of four old equal-weight choices,False,candidate_not_applied
common/bookmark_portraits/challenge_character_282_walder_frey.txt,challenge_character_282_walder_frey,legwear,"""agot_trousers"" 0 ""all_legwear"" 0",legwear,"""agot_trousers"" 0 ""all_legwear"" 0","""agot_all_legwear"" 14 ""all_legwear"" 0",same_accessory_new_group,male_legwear_secular_agot_trousers_01; same accessory ID; first of three old equal-weight choices,False,candidate_not_applied
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_size,"""eye_size"" 122 ""eye_size"" 122",gene_bs_eye_size,"""eye_size_pos"" 0 ""eye_size_pos"" 0","""eye_size_neg"" 3 ""eye_size_neg"" 3",approximate_current_gene,dominant:weak_signed_analogy; recessive:weak_signed_analogy,False,candidate_not_applied
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_top,"""eye_shut_top"" 140 ""eye_shut_top"" 140",gene_bs_eye_upper_lid_size,"""eye_upper_lid_size_neg"" 43 ""eye_upper_lid_size_neg"" 43","""eye_upper_lid_size_neg"" 37 ""eye_upper_lid_size_neg"" 37",approximate_current_gene,dominant:weak_signed_analogy; recessive:weak_signed_analogy,False,candidate_not_applied
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_eye_shut_bottom,"""eye_shut_bottom"" 109 ""eye_shut_bottom"" 109",gene_bs_eye_lower_lid_size,"""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0","""vanilla_eye_lower_lid_size"" 0 ""vanilla_eye_lower_lid_size"" 0",retire_preserve_current_gene,dominant:neutral_no_negative_lower_lid_analogue; recessive:neutral_no_negative_lower_lid_analogue,False,candidate_not_applied
common/dna_data/test_dna_crownlands.txt,Slynt_asoiaf_1,gene_forehead_inner_brow_width,"""inner_brow_width"" 131 ""inner_brow_width"" 131",gene_eyebrow_inner_width,"""eyebrow_inner_width_max"" 11 ""eyebrow_inner_width_max"" 11","""eyebrow_inner_width_max"" 13 ""eyebrow_inner_width_max"" 13",approximate_current_gene,dominant:weak_signed_analogy; recessive:weak_signed_analogy,False,candidate_not_applied
