"File","Function","FunctionHeader","Kind","SchemeLine","TargetLine","DiagnosticCount","LogLines","Actor","Dragon","Target","DragonMatchesTarget","DirectBondPrecedesScheme","ToastActor","ToastDragon","CurrentCharacter","ChildName","ChildAge","IdentityTrait","OptionalDragonGuard","ExplicitDragonExists","CandidateAliveGuard","CandidateNightswatchGuard","EligibilityNightswatchGuard"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","415","417","3","10052,10288,10292","scope:asoiaf_aenys_i","character:dragon_quicksilver","character:dragon_quicksilver","True","True","scope:asoiaf_aenys_i","character:dragon_quicksilver","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_30_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","456","458","3","10053,10296,10300","scope:asoiaf_maegor_i","character:dragon_balerion","character:dragon_balerion","True","True","scope:asoiaf_maegor_i","character:dragon_balerion","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_31_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","497","499","3","10054,10304,10308","scope:asoiaf_aegon_the_uncrowned","character:dragon_quicksilver","character:dragon_quicksilver","True","True","scope:asoiaf_aegon_the_uncrowned","character:dragon_quicksilver","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_33_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","538","540","3","10055,10312,10316","scope:asoiaf_aerea","character:dragon_balerion","character:dragon_balerion","True","True","scope:asoiaf_aerea","character:dragon_balerion","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_41_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","579","581","3","10056,10320,10324","scope:asoiaf_rhaenys_queen_who_never_was","character:dragon_meleys","character:dragon_meleys","True","True","scope:asoiaf_rhaenys_queen_who_never_was","character:dragon_meleys","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_59_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","620","622","3","10057,10328,10332","scope:asoiaf_viserys_i","character:dragon_balerion","character:dragon_balerion","True","True","scope:asoiaf_viserys_i","character:dragon_balerion","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_60_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","661","663","3","10058,10336,10340","scope:asoiaf_daemon_rogue_prince","character:dragon_caraxes","character:dragon_caraxes","True","True","scope:asoiaf_daemon_rogue_prince","character:dragon_caraxes","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_61_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","702","704","3","10059,10344,10348","scope:asoiaf_rhaenyra_targaryen","character:dragon_syrax","character:dragon_syrax","True","True","scope:asoiaf_rhaenyra_targaryen","character:dragon_syrax","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_63_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","743","745","3","10060,10352,10356","scope:asoiaf_laena_velaryon","character:dragon_vhagar","character:dragon_vhagar","True","True","scope:asoiaf_laena_velaryon","character:dragon_vhagar","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Velaryon_34_trait","True","False","False","False","True"
"common/on_action/asoiaf_yearly_on_actions.txt","asoiaf_canon_children_dragon_bonding_maintenance","asoiaf_canon_children_dragon_bonding_maintenance = {","Yearly retry","784","786","3","10061,10360,10364","scope:asoiaf_aemond_one_eye","character:dragon_vhagar","character:dragon_vhagar","True","True","scope:asoiaf_aemond_one_eye","character:dragon_vhagar","yearly pulse ROOT, not selected ACTOR","","","asoiaf_Targaryen_67_trait","True","False","False","False","True"
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_30_birth_effect","asoiaf_canon_children_Targaryen_30_birth_effect = { #Aenys I Targaryen","Birth","4379","4381","3","10090,10511,10515","scope:child","character:dragon_quicksilver","character:dragon_quicksilver","True","True","scope:child","character:dragon_quicksilver","after_creation newborn","Aenys","0","asoiaf_Targaryen_30_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_31_birth_effect","asoiaf_canon_children_Targaryen_31_birth_effect = { #Maegor I Targaryen","Birth","4474","4476","3","10091,10519,10523","scope:child","character:dragon_balerion","character:dragon_balerion","True","True","scope:child","character:dragon_balerion","after_creation newborn","Maegor","0","asoiaf_Targaryen_31_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_33_birth_effect","asoiaf_canon_children_Targaryen_33_birth_effect = { #Aegon Targaryen (son of Aenys I)","Birth","4628","4630","3","10092,10535,10539","scope:child","character:dragon_quicksilver","character:dragon_quicksilver","True","True","scope:child","character:dragon_quicksilver","after_creation newborn","Aegon","0","asoiaf_Targaryen_33_trait","True","False",,,
"common/scripted_effects/asoiaf_canon_children_effects.txt","asoiaf_canon_children_Targaryen_35_birth_effect","asoiaf_canon_children_Targaryen_35_birth_effect = { #Jaehaerys I Targaryen","Birth","4790","4792","3","10093,10551,10555","scope:child","character:dragon_vermithor","character:dragon_vermithor","True","True","scope:child","character:dragon_vermithor","after_creation newborn","Jaehaerys","0","asoiaf_Targaryen_35_trait","True","False",,,
