Category,Label,Messages,DirectFileMessages,MultiPathMessages,UniqueSymbolMessages,SharedSymbolMessages
dna_missing_gene,DNA: отсутствующие обязательные гены,6238,6238,0,0,0
dna_unknown_gene,DNA: устаревшие/неизвестные гены,2055,2055,0,0,0
dna_template,DNA: неизвестные шаблоны генов,68,68,0,0,0
dna_accessory,DNA закладок: неизвестные группы одежды,4,4,0,0,0
dna_duplicate,DNA: повторная запись гена,3,3,0,0,0
portrait_rules,Условия и синтаксис портретных скриптов,12,12,0,0,0
portrait_templates,"Шаблоны, аксессуары и значения портретных модификаторов",191,191,0,0,0
accessory_entity,Аксессуары: отсутствующие entity/варианты,3,3,0,0,0
mesh_uv,Модели: UV-развёртки,75,75,0,0,0
mesh_blendshape,Модели: blendshape и базовая геометрия,19,9,1,9,0
mesh_duplicates,Дубли моделей и текстур,6,0,4,0,2
heraldry,Гербы: отсутствующие текстуры,6,0,6,0,0
ai_decisions,Решения: интервал проверки ИИ,5,0,0,5,0
character_links,Ссылки на отсутствующих персонажей,13,0,0,13,0
artifact_visuals,Артефакты: отсутствующее визуальное описание,1,0,0,1,0
variable_not_set,"Переменные/области: используются, но не устанавливаются",58,0,0,58,0
variable_unused,"Переменные: устанавливаются, но не используются",72,0,0,70,2
modifier_unused,Неиспользуемые модификаторы,3,0,0,3,0
orphan_events,События без обнаруженных вызовов,2,0,0,2,0
localization,Локализация,6,0,0,6,0
