LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10949,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1
10950,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1
10951,character_links,Symbol only in AGOT+ effective text,Broome_rs_54,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:5766,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Broome_rs_54
10952,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1
10953,character_links,Symbol only in AGOT+ effective text,Dormund_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:2659 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:11255,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Dormund_1
10954,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2
10955,character_links,Symbol only in AGOT+ effective text,Hotah_rs_2,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_setup_effects.txt:12175,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Hotah_rs_2
10956,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1
10957,character_links,Symbol only in AGOT+ effective text,asoiaf_Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:519,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1
10958,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1
10959,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1
10960,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1
10961,character_links,Symbol only in AGOT+ effective text,Targaryen_61_1,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_canon_children_effects.txt:13932,AGOT+ | Исправления совместимости,history.cpp:644,,,Referencing non-existent character in script link character:Targaryen_61_1
