LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1438,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1439,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1440,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1441,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1442,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1443,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1444,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1445,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1446,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1447,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)'
1448,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1449,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1450,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1451,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1452,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1453,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1454,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1455,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1456,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1457,dna_missing_gene,Direct file,,common/dna_data/test_dna_beyond_the_wall.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_beyond_the_wall.txt,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)'
1472,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_face_dacals! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1473,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_primary_color_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1474,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_primary_color_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1475,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_secondary_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1476,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_secondary_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1477,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1478,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1479,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_eye_color_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1480,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_eye_color_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1481,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1482,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1483,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1484,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1485,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1486,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1487,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1488,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1489,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1490,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_metallic_scales_strength! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1491,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1492,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1493,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_wounded! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1494,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_shading! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1495,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1496,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_wings_shading! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1497,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene skin_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1498,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene eye_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1499,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_bs_head_shape! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1500,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_bs_eye_lower_lid_size! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1501,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_bs_eye_shape! at 'file: common/dna_data/test_dna_crownlands.txt line: 2 (Slynt_asoiaf_1)'
1502,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1503,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1504,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1505,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1506,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1507,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1508,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1509,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1510,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1511,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_crownlands.txt line: 181 (Hollard_asoiaf_10)'
1515,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_hue! at 'file: common/dna_data/test_dna_crownlands.txt line: 366 (Blackwater_asoiaf_1)'
1516,dna_missing_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:326,AGOT+,common/dna_data/test_dna_crownlands.txt,Persistent portrait info missing gene gene_dragon_tertiary_value! at 'file: common/dna_data/test_dna_crownlands.txt line: 366 (Blackwater_asoiaf_1)'
