LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1512,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 493 (Blackwater_asoiaf_1)
1513,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 493 (Blackwater_asoiaf_1)
1726,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 1933 (Stokeworth_asoiaf_6)
1727,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 1933 (Stokeworth_asoiaf_6)
1817,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 2471 (Thorne_asoiaf_17)
1818,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 2471 (Thorne_asoiaf_17)
1844,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 2651 (Thorne_asoiaf_3)
1845,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 2651 (Thorne_asoiaf_3)
1984,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 3366 (Tall_asoiaf_1)
1985,dna_template,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_crownlands.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_crownlands.txt line: 3366 (Tall_asoiaf_1)
2320,dna_template,Direct file,,common/dna_data/test_dna_dornish.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_dornish.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_dornish.txt line: 1388 (Martell_asoiaf_14)
2321,dna_template,Direct file,,common/dna_data/test_dna_dornish.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_dornish.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_dornish.txt line: 1388 (Martell_asoiaf_14)
2938,dna_template,Direct file,,common/dna_data/test_dna_iron_isles.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_iron_isles.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_iron_isles.txt line: 862 (Greyjoy_asoiaf_14)
2939,dna_template,Direct file,,common/dna_data/test_dna_iron_isles.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_iron_isles.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_iron_isles.txt line: 862 (Greyjoy_asoiaf_14)
2972,dna_template,Direct file,,common/dna_data/test_dna_north.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_north.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_north.txt line: 129 (Stark_asoiaf_67)
2973,dna_template,Direct file,,common/dna_data/test_dna_north.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_north.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_north.txt line: 129 (Stark_asoiaf_67)
3272,dna_template,Direct file,,common/dna_data/test_dna_north.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_north.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_north.txt line: 1742 (Stark_asoiaf_7)
3273,dna_template,Direct file,,common/dna_data/test_dna_north.txt,,portraitcontext.cpp:136,AGOT+,common/dna_data/test_dna_north.txt,Unknown gene_dragon_main_horn_shape gene template dragon_horns_none at file: common/dna_data/test_dna_north.txt line: 1742 (Stark_asoiaf_7)
