LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1458,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_skin_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 8 (Slynt_asoiaf_1)
1459,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_skin_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 9 (Slynt_asoiaf_1)
1460,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_highlight_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 10 (Slynt_asoiaf_1)
1461,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_highlight_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 11 (Slynt_asoiaf_1)
1462,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_eye_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 12 (Slynt_asoiaf_1)
1463,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_eye_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 13 (Slynt_asoiaf_1)
1464,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_horn_hue in group human at file: common/dna_data/test_dna_crownlands.txt line: 14 (Slynt_asoiaf_1)
1465,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_dragon_horn_value in group human at file: common/dna_data/test_dna_crownlands.txt line: 15 (Slynt_asoiaf_1)
1466,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_eye_size in group human at file: common/dna_data/test_dna_crownlands.txt line: 148 (Slynt_asoiaf_1)
1467,dna_unknown_gene,Direct file,,common/dna_data/test_dna_crownlands.txt,,portraitcontext.cpp:184,AGOT+,common/dna_data/test_dna_crownlands.txt,No gene with key: gene_eye_shut_top in group human at file: common/dna_data/test_dna_crownlands.txt line: 149 (Slynt_asoiaf_1)
