Category,Diagnostic,Messages,FirstLogLine,Files
accessory_entity,could not find entity [female_cloak_asoiaf_stannis_cloak_1] - file: gfx/portraits/accessories/asoiaf_cloaks.txt line: * (female_cloak_asoiaf_stormlands_stannis_cloak_1),1,1433,gfx/portraits/accessories/asoiaf_cloaks.txt
accessory_entity,could not find entity [female_clothes_asoiaf_stannis_clothes_1] - file: gfx/portraits/accessories/asoiaf_clothes.txt line: * (female_clothes_asoiaf_stormlands_stannis_clothes_1),1,1434,gfx/portraits/accessories/asoiaf_clothes.txt
accessory_entity,could not find entity [female_jewellery_asoiaf_septon_necklace_1] - file: gfx/portraits/accessories/asoiaf_jewellery.txt line: * (female_jewellery_asoiaf_septon_necklace_1),1,1435,gfx/portraits/accessories/asoiaf_jewellery.txt
ai_decisions,asoiaf_aegon_II_greens_cadet_branch_decision,1,9757,
ai_decisions,asoiaf_baelish_cadets_decision,1,9754,
ai_decisions,asoiaf_greyjoy_cadets_decision,1,9753,
ai_decisions,asoiaf_harlaw_cadets_decision,1,9755,
ai_decisions,asoiaf_jon_targ_cadet_branch_decision,1,9756,
artifact_visuals,asoiaf_hound_armour_visuals,1,10207,
character_links,Broome_rs_54,1,10951,
character_links,Dormund_1,4,10949,
character_links,Hotah_rs_2,2,10954,
character_links,Targaryen_61_1,4,10958,
character_links,asoiaf_Targaryen_61_1,2,10956,
dna_accessory,Unknown legwear gene accessory group agot_trousers,1,10024,common/bookmark_portraits/challenge_character_282_walder_frey.txt
dna_accessory,Unknown legwear gene accessory group asoiaf_lannister_war_legs,1,9997,common/bookmark_portraits/bookmark_236_tion_lannister.txt
dna_accessory,Unknown legwear gene accessory group kingsguard_war_01_legwear,1,9998,common/bookmark_portraits/bookmark_277_barristan_selmy.txt
dna_accessory,Unknown legwear gene accessory group maester_legwear,1,10011,common/bookmark_portraits/bookmark_284_cressen.txt
dna_duplicate,Trying to read gene gene_bs_ear_outward a second time,2,9999,common/bookmark_portraits/bookmark_282_eddard_stark.txt | common/bookmark_portraits/bookmark_282_robert_baratheon.txt
dna_duplicate,Trying to read gene gene_no_portrait a second time,1,3123,common/dna_data/test_dna_north.txt
dna_missing_gene,eye_color_saturation,53,1498,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
dna_missing_gene,gene_bs_eye_lower_lid_size,54,1500,common/dna_data/test_dna_crownlands.txt | common/dna_data/test_dna_dornish.txt | common/dna_data/test_dna_essos.txt | common/dna_data/test_dna_iron_isles.txt | common/dna_data/test_dna_north.txt | common/dna_data/test_dna_reach.txt | common/dna_data/test_dna_riverlands.txt | common/dna_data/test_dna_stormlands.txt | common/dna_data/test_dna_vale.txt | common/dna_data/test_dna_valyrian.txt | common/dna_data/test_dna_westerlands.txt
