LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
1193,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_max.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_max.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_max.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1194,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_min.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_min.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_breast_size_min.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1195,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_pregnant.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_pregnant.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_pregnant.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1196,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_fat.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_fat.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_fat.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1197,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_gaunt.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_gaunt.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_gaunt.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1198,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_muscular.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_muscular.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_muscular.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1199,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_old.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_old.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_old.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1200,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_dwarf.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_dwarf.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_dwarf.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1201,mesh_blendshape,Direct file,,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_infant.mesh,,pdx_blend_shape_database.cpp:149,AGOT+,gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh | gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_infant.mesh,Blend shape: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high_bs_infant.mesh has fewer meshes than its base object: gfx/models/portraits/f_clothes/asoiaf/asoiaf_westerlands/asoiaf_lannister_armours/f_asoiaf_lannister_armour_high/f_asoiaf_lannister_armour_high.mesh
1203,mesh_blendshape,Source/resource paths include AGOT+,,gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_ironborn_legs_coa.mesh,,pdx_blend_shape_database.cpp:26,AGOT+ | Unresolved file,gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_greyjoy_legs_bs_no_left_leg.mesh | gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_ironborn_legs_coa.mesh,Blendshape file gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_greyjoy_legs_bs_no_left_leg.mesh not found. Relevant mesh file: gfx/models/portraits/m_legwear/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_legs_coa/asoiaf_ironborn_legs_coa.mesh
