LogLine,Component,Owner,Symbols,SourceMods,Message
1,dlc_descriptor.cpp:70,,,,Invalid supported_version in file: mod/ugc_2261468688.mod line: 6
1204,pdxassetutil.cpp:1009,CK3 | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ep3_patras_castle_01_a_unique.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_01_a_unique.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_01_a_unique.dds')"
1205,pdxassetutil.cpp:1009,CK3 | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ep3_patras_castle_ground_diffuse.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_diffuse.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_diffuse.dds')"
1206,pdxassetutil.cpp:1009,CK3 | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ep3_patras_castle_ground_normal.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_normal.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_normal.dds')"
1207,pdxassetutil.cpp:1009,CK3 | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ep3_patras_castle_ground_properties.dds' found (current path 'gfx/models/buildings/special/high_hermitage/ep3_patras_castle_ground_properties.dds', previous path 'gfx/models/buildings/special/ep3_patras_castle_01_a/ep3_patras_castle_ground_properties.dds')"
1208,pdxassetutil.cpp:1009,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')"
1209,pdxassetutil.cpp:1009,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ethiopian_atlas_diffuse.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_diffuse.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_diffuse.dds')"
1210,pdxassetutil.cpp:1009,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ethiopian_atlas_normal.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_normal.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds')"
1211,pdxassetutil.cpp:1009,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ethiopian_atlas_normal.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_normal.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_normal.dds')"
1212,pdxassetutil.cpp:1009,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ethiopian_atlas_properties.dds' found (current path 'gfx/models/buildings/special/Karhold/ethiopian_atlas_properties.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds')"
1213,pdxassetutil.cpp:1009,A Game of Thrones | COW-AGOT: 3D Models & Bigger Castles,,,"Duplicate texture 'ethiopian_atlas_properties.dds' found (current path 'gfx/models/buildings/special/Runestone/ethiopian_atlas_properties.dds', previous path 'gfx/models/buildings/holdings/atlas/ethiopian/ethiopian_atlas_properties.dds')"
1218,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_crenelation' in file 'gfx/models/buildings/special/crag/crag.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1220,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'gold_ball' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1221,pdxassetutil.cpp:556,COW-AGOT: 3D Models & Bigger Castles,,,UV-Set: 1 in mesh 'crag_stone_ground' in file 'gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area.
1223,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [cow_blackhaven_mesh] is out of sync with its meshsettings. [blackhaven_rockShape] is not in use in file: gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh
1224,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_dgShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh
1225,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lkShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh
1226,pdxassetutil.cpp:1763,COW-AGOT: 3D Models & Bigger Castles,,,pdxmesh [crag_mesh] is out of sync with its meshsettings. [lannisport_lpShape] is not in use in file: gfx/models/buildings/special/crag/crag.mesh
