LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
9895,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,,pdx_persistent_reader.cpp:216,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,"Error: ""Unknown trigger: portrait_wear_lannister_armour_torso_courtiers, near line: 11965"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt"" near line: 11965"
9935,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,,pdx_persistent_reader.cpp:216,AGOT+ | Исправления совместимости,gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt,"Error: ""Unexpected token: accesory, near line: 17857"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt"" near line: 17857"
9941,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,,jomini_eventtarget.cpp:692,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,Failed to find a valid event target link 'has_religion' at file: gfx/portraits/portrait_modifiers/asoiaf_clothes.txt line: 1092 (asoiaf_drowned_man_clothes_modifiers:weight)
9942,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,"Error: ""Unknown trigger: liege.has_religion, near line: 1092"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_clothes.txt"" near line: 1093"
9943,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,,jomini_eventtarget.cpp:692,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,Failed to find a valid event target link 'has_religion' at file: gfx/portraits/portrait_modifiers/asoiaf_clothes.txt line: 1176 (asoiaf_drowned_man_clothes_modifiers:weight)
9944,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_clothes.txt,"Error: ""Unknown trigger: liege.has_religion, near line: 1176"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_clothes.txt"" near line: 1181"
9954,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,"Error: ""Unknown trigger: is_character_baratheon_3, near line: 81"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt"" near line: 83"
9955,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,"Error: ""Unknown trigger: is_character_baratheon_3, near line: 165"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt"" near line: 167"
9956,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,"Error: ""Unknown trigger: is_character_baratheon_4, near line: 264"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt"" near line: 269"
9957,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,"Error: ""Unknown trigger: is_character_baratheon_4, near line: 330"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt"" near line: 335"
9958,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,"Error: ""Unknown trigger: is_character_baratheon_5, near line: 645
Unknown trigger: is_character_baratheon_6, near line: 646
Unknown trigger: is_character_baratheon_7, near line: 647"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt"" near line: 651"
9961,portrait_rules,Direct file,,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,,pdx_persistent_reader.cpp:216,AGOT+,gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt,"Error: ""Unknown trigger: is_character_baratheon_5, near line: 694
Unknown trigger: is_character_baratheon_6, near line: 695
Unknown trigger: is_character_baratheon_7, near line: 696"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt"" near line: 700"
