LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10692,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_8_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:153,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_8_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10693,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_84_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:6,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_84_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10694,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_96_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:48,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_96_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10697,variable_not_set,Symbol only in AGOT+ effective text,is_jon_snow,AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt:174 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_hairs_custom_flags.txt:1565 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt:1737 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt:17639 | AGOT+: gfx/portraits/portrait_modifiers/asoiaf_beards_custom_flags.txt:2416,AGOT+ | AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Variable 'is_jon_snow' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10698,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_97_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:55,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_97_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10699,variable_not_set,Symbol only in AGOT+ effective text,kingsguard_armour,AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_headgear_situational.txt:175 | AGOT+ | Исправления совместимости: gfx/portraits/portrait_modifiers/asoiaf_clothes_situational.txt:90 | AGOT+: gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt:23,AGOT+ | AGOT+ | Исправления совместимости,jomini_effect.cpp:1161,,,Variable 'kingsguard_armour' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10702,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_99_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:69,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_99_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10703,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_2_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:111,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_2_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10705,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_101_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:83,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_101_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10707,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_1_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:104,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_1_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
10709,variable_not_set,Symbol only in AGOT+ effective text,asoiaf_Stark_87_cc,AGOT+: common/customizable_localization/asoiaf_historical_character_loc.txt:20,AGOT+,jomini_effect.cpp:1161,,,Variable 'asoiaf_Stark_87_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count
