LogLine,Category,Attribution,Symbols,Evidence,SourceMods,Component,OriginalOwner,Files,Message
10735,variable_unused,Symbol only in AGOT+ effective text,asoiaf_is_needle,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1459 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1507,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_is_needle' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10738,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Cole_11_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1810,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Cole_11_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10739,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Reed_1_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1621,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Reed_1_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10740,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Targaryen_27_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:22,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Targaryen_27_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10741,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Karstark_4_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1609,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Karstark_4_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10742,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Targaryen_28_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:11,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Targaryen_28_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10744,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Baelish_2_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:2057,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Baelish_2_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10745,variable_unused,Symbol shared with other sources,dark_sister_artifact,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1320,AGOT+ | Исправления совместимости | Legacy Of The Dragon,jomini_effect.cpp:1145,,,Variable 'dark_sister_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10746,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Arryn_3_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1990,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Arryn_3_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10748,variable_unused,Symbol only in AGOT+ effective text,agot_faegon_jae_birth_year,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:56,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'agot_faegon_jae_birth_year' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10749,variable_unused,Symbol only in AGOT+ effective text,asoiaf_is_krakenfall,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1170 | AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1202,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_is_krakenfall' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10750,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Baratheon_baby_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1721,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Baratheon_baby_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10751,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Targaryen_95_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:814,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Targaryen_95_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10752,variable_unused,Symbol only in AGOT+ effective text,asoiaf_canon_children_Arryn_84_born_variable,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt:1979,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_canon_children_Arryn_84_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10754,variable_unused,Symbol only in AGOT+ effective text,asoiaf_is_red_vipers_spear,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_scripted_effects_artifacts.txt:1629,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'asoiaf_is_red_vipers_spear' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
10755,variable_unused,Symbol only in AGOT+ effective text,agot_faegon_jon_snow_char,AGOT+ | Исправления совместимости: common/scripted_effects/asoiaf_agot_overwrite_effects.txt:52,AGOT+ | Исправления совместимости,jomini_effect.cpp:1145,,,Variable 'agot_faegon_jon_snow_char' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
