"Key","File","Line","English","Text"
"death_aegonvi_murder_known","localization/replace/asoiaf_death_reasons_l_russian.yml","2","was ""murdered""","was «murdered»"
"death_aegonvi_murder_known_killer","localization/replace/asoiaf_death_reasons_l_russian.yml","3","was ""murdered"" by [TARGET_CHARACTER.GetUIName]","was «murdered» by [TARGET_CHARACTER.GetUIName]"
"PORTRAIT_MODIFIER_custom_headgear_male_headgear_asoiaf_executioner_cowl","localization/russian/asoiaf_barbershop_l_russian.yml","64","@asoiaf_icon! Executioner's Cowl","@asoiaf_icon! Executioner's Cowl"
"PORTRAIT_MODIFIER_custom_headgear_female_headgear_asoiaf_executioner_cowl","localization/russian/asoiaf_barbershop_l_russian.yml","65","@asoiaf_icon! Executioner's Cowl","@asoiaf_icon! Executioner's Cowl"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_north_dress_1_rhaena","localization/russian/asoiaf_barbershop_l_russian.yml","120","@asoiaf_icon! Rhaena's Dress","@asoiaf_icon! Rhaena's Dress"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_royal","localization/russian/asoiaf_barbershop_l_russian.yml","122","@asoiaf_icon! Lannister Armour #weak – Royal#!","@asoiaf_icon! Lannister Armour #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_royal","localization/russian/asoiaf_barbershop_l_russian.yml","123","@asoiaf_icon! Lannister Armour #weak – Royal#!","@asoiaf_icon! Lannister Armour #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","124","@asoiaf_icon! Lannister Armour #weak – Ornate#!","@asoiaf_icon! Lannister Armour #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","125","@asoiaf_icon! Lannister Armour #weak – Ornate#!","@asoiaf_icon! Lannister Armour #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_high","localization/russian/asoiaf_barbershop_l_russian.yml","126","@asoiaf_icon! Lannister Armour #weak – High#!","@asoiaf_icon! Lannister Armour #weak – High#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_high","localization/russian/asoiaf_barbershop_l_russian.yml","127","@asoiaf_icon! Lannister Armour #weak – High#!","@asoiaf_icon! Lannister Armour #weak – High#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_light","localization/russian/asoiaf_barbershop_l_russian.yml","128","@asoiaf_icon! Lannister Armour #weak - Light#!","@asoiaf_icon! Lannister Armour #weak - Light#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_light","localization/russian/asoiaf_barbershop_l_russian.yml","129","@asoiaf_icon! Lannister Armour #weak - Light#!","@asoiaf_icon! Lannister Armour #weak - Light#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_reach_tunic_1_tyrion","localization/russian/asoiaf_barbershop_l_russian.yml","144","@asoiaf_icon! Tyrion's Tunic","@asoiaf_icon! Tyrion's Tunic"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_reach_tunic_1_tyrion_ceremonial","localization/russian/asoiaf_barbershop_l_russian.yml","145","@asoiaf_icon! Tyrion's Ceremonial Tunic","@asoiaf_icon! Tyrion's Ceremonial Tunic"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_executioner_jerkin","localization/russian/asoiaf_barbershop_l_russian.yml","205","@asoiaf_icon! Executioner's Jerkin & Sword","@asoiaf_icon! Executioner's Jerkin & Sword"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_executioner_jerkin","localization/russian/asoiaf_barbershop_l_russian.yml","206","@asoiaf_icon! Executioner's Jerkin & Sword","@asoiaf_icon! Executioner's Jerkin & Sword"
"PORTRAIT_MODIFIER_custom_cloaks_male_cloaks_asoiaf_lannister_cloak_royal","localization/russian/asoiaf_barbershop_l_russian.yml","218","@asoiaf_icon! Lannister Cloak #weak – Royal#!","@asoiaf_icon! Lannister Cloak #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_cloaks_female_cloaks_asoiaf_lannister_cloak_royal","localization/russian/asoiaf_barbershop_l_russian.yml","219","@asoiaf_icon! Lannister Cloak #weak – Royal#!","@asoiaf_icon! Lannister Cloak #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_cloaks_male_cloak_secular_asoiaf_lannister_war_plate_2_cloak","localization/russian/asoiaf_barbershop_l_russian.yml","220","@asoiaf_icon! Lannister Cloak #weak – High#!","@asoiaf_icon! Lannister Cloak #weak – High#!"
"PORTRAIT_MODIFIER_custom_cloaks_female_cloak_secular_asoiaf_lannister_war_plate_2_cloak","localization/russian/asoiaf_barbershop_l_russian.yml","221","@asoiaf_icon! Lannister Cloak #weak – High#!","@asoiaf_icon! Lannister Cloak #weak – High#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_lannister_legs_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","250","@asoiaf_icon! Lannister Legwear #weak – Ornate#!","@asoiaf_icon! Lannister Legwear #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_lannister_legs_dynast","localization/russian/asoiaf_barbershop_l_russian.yml","251","@asoiaf_icon! Lannister Legwear #weak – Ornate#!","@asoiaf_icon! Lannister Legwear #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_lannister_legs_light","localization/russian/asoiaf_barbershop_l_russian.yml","252","@asoiaf_icon! Lannister Legwear #weak – Light#!","@asoiaf_icon! Lannister Legwear #weak – Light#!"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_lannister_legs_light","localization/russian/asoiaf_barbershop_l_russian.yml","253","@asoiaf_icon! Lannister Legwear #weak – Light#!","@asoiaf_icon! Lannister Legwear #weak – Light#!"
