"MainFile","TranslationFile","EnglishEntries","RussianEntries","EnglishUniqueKeys","RussianUniqueKeys","MissingInFile","ExtraInFile","MainSHA256","TranslationSHA256"
"localization/replace/asoiaf_artifacts_l_english.yml","localization/replace/asoiaf_artifacts_l_russian.yml","20","20","20","20","","","3502E007F0CAF31B34728A0BC491D98C9D5F855FC57725B3AC6DF9E9288C7AC9","37A543669F0A7FC8922EDA244299A2AB9071527AAC23DD2016870221778E10CE"
"localization/replace/asoiaf_character_window_l_english.yml","localization/replace/asoiaf_character_window_l_russian.yml","1","1","1","1","","","86F149EEBB5630BB967839080C053517CF3F56BF9B4DD13FA0A99171D6241691","85B6FBCD31B34F0D942D0CE3BEA6F4EE0A318DD6AC971BA943BF00478AA07E61"
"localization/replace/asoiaf_common_l_english.yml","localization/replace/asoiaf_common_l_russian.yml","1","1","1","1","","","C04B3FD19F79E45CA4BEF8B00159A55A5FB1C9F57B112BD3AA4BC2DE95BE4CEF","0811D9AEABCF48D2FF4AA23F6EBFBE701FE8D650BB53C13D2928250A7F4B5366"
"localization/replace/asoiaf_culture_patronyms_dynasty_names_l_english.yml","localization/replace/asoiaf_culture_patronyms_dynasty_names_l_russian.yml","2","2","2","2","","","CC12769DFEA3A765A45804FDAF5B2175DDB173417970086BA1744109476E8165","1F365B5B79E86302ABA0E755BF20D84BCFA975A311BA97F8818A148859D5D1A8"
"localization/replace/asoiaf_culture_titles_l_english.yml","localization/replace/asoiaf_culture_titles_l_russian.yml","4","4","4","4","","","8391758445FDA59CDD47059699F85C9B6691A0328C797CEBD15839909926EED2","C9EC46535126AF547BF837AE522E91529A0C1DC5311A1634C32E5F4E0352EDE7"
"localization/replace/asoiaf_cultures_l_english.yml","localization/replace/asoiaf_cultures_l_russian.yml","3","3","3","3","","","4D0156D85561823DB517AD677DCCAFEEEA011B50CF53875710EDD18AB0D54577","9BDDBFB9C4487501FBB6937BFC2F207913636D34882C07F54F7D600C257E5367"
"localization/replace/asoiaf_death_reasons_l_english.yml","localization/replace/asoiaf_death_reasons_l_russian.yml","2","2","2","2","","","6CC56B723DC7A5EF164FB351CBA7178AC2690FC528A126A0044ED42E506B94F1","D22C779D3B2EC9B79BE24DFE3934C91631FA08BCEB61BA902AB6E62EC52B2FF4"
"localization/replace/asoiaf_dorne_dynasty_names_l_english.yml","localization/replace/asoiaf_dorne_dynasty_names_l_russian.yml","1","1","1","1","","","58AA81594D5FB6728725BE9355A13330AB8EBFFEDC8CA5A44DABDDFDDA21EFD5","7D4B8CDE53E937083D19EF33AA4C7291895D545E373EFAEBFAA4DCF0D59CE270"
"localization/replace/asoiaf_dothraki_dynasty_names_l_english.yml","localization/replace/asoiaf_dothraki_dynasty_names_l_russian.yml","2","2","2","2","","","84F72C2C0D8638977B505AC92EE370A5A72AA26CDBB44BCF9121563AB163AB84","44480676AA3A89DCA1AFCF1ADB4934E22F43CA0948E25969D0349E5BD895659A"
"localization/replace/asoiaf_dynasty_mottos_l_english.yml","localization/replace/asoiaf_dynasty_mottos_l_russian.yml","23","23","23","23","","","2663F99B8DFF86A45267172A5EB742D03919F809A7AFD201F86B893642471C20","762D794191C0D573FA3CC8B8736B1BB5724ACCD4CC123371038E8F22E9B43395"
