"Key","MainFile","MainLine","TranslationFile","TranslationLine","Text"
"asoiaf_canon_children_trait_desc","localization/english/asoiaf_traits_l_english.yml","3","localization/russian/asoiaf_traits_l_russian.yml","3",""
"COA_DESIGNER_CATEGORY_asoiaf","localization/english/gui/asoiaf_coa_designer_l_english.yml","2","localization/russian/gui/asoiaf_coa_designer_l_russian.yml","2","AGOT+"
"dlc_asoiaf","localization/english/asoiaf_dlc_metadata_l_english.yml","3","localization/russian/asoiaf_dlc_metadata_l_russian.yml","3","AGOT+"
"game_rule_category_asoiaf","localization/english/asoiaf_game_rules_l_english.yml","4","localization/russian/asoiaf_game_rules_l_russian.yml","4","@asoiaf_icon! AGOT+"
"king_lp_feudal_female","localization/replace/asoiaf_culture_titles_l_english.yml","5","localization/replace/asoiaf_culture_titles_l_russian.yml","5","[CHARACTER.Custom('LP_FEUDAL_FEMALE')]"
"king_lp_feudal_male","localization/replace/asoiaf_culture_titles_l_english.yml","4","localization/replace/asoiaf_culture_titles_l_russian.yml","4","[CHARACTER.Custom('LP_FEUDAL_MALE')]"
"PORTRAIT_MODIFIER_custom_cloaks_female_cloak_secular_asoiaf_lannister_war_plate_2_cloak","localization/english/asoiaf_barbershop_l_english.yml","221","localization/russian/asoiaf_barbershop_l_russian.yml","221","@asoiaf_icon! Lannister Cloak #weak – High#!"
"PORTRAIT_MODIFIER_custom_cloaks_female_cloaks_asoiaf_lannister_cloak_royal","localization/english/asoiaf_barbershop_l_english.yml","219","localization/russian/asoiaf_barbershop_l_russian.yml","219","@asoiaf_icon! Lannister Cloak #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_cloaks_male_cloak_secular_asoiaf_lannister_war_plate_2_cloak","localization/english/asoiaf_barbershop_l_english.yml","220","localization/russian/asoiaf_barbershop_l_russian.yml","220","@asoiaf_icon! Lannister Cloak #weak – High#!"
"PORTRAIT_MODIFIER_custom_cloaks_male_cloaks_asoiaf_lannister_cloak_royal","localization/english/asoiaf_barbershop_l_english.yml","218","localization/russian/asoiaf_barbershop_l_russian.yml","218","@asoiaf_icon! Lannister Cloak #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_executioner_jerkin","localization/english/asoiaf_barbershop_l_english.yml","206","localization/russian/asoiaf_barbershop_l_russian.yml","206","@asoiaf_icon! Executioner's Jerkin & Sword"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_dynast","localization/english/asoiaf_barbershop_l_english.yml","125","localization/russian/asoiaf_barbershop_l_russian.yml","125","@asoiaf_icon! Lannister Armour #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_high","localization/english/asoiaf_barbershop_l_english.yml","127","localization/russian/asoiaf_barbershop_l_russian.yml","127","@asoiaf_icon! Lannister Armour #weak – High#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_light","localization/english/asoiaf_barbershop_l_english.yml","129","localization/russian/asoiaf_barbershop_l_russian.yml","129","@asoiaf_icon! Lannister Armour #weak - Light#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_lannister_armour_royal","localization/english/asoiaf_barbershop_l_english.yml","123","localization/russian/asoiaf_barbershop_l_russian.yml","123","@asoiaf_icon! Lannister Armour #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_female_clothes_asoiaf_north_dress_1_rhaena","localization/english/asoiaf_barbershop_l_english.yml","120","localization/russian/asoiaf_barbershop_l_russian.yml","120","@asoiaf_icon! Rhaena's Dress"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_executioner_jerkin","localization/english/asoiaf_barbershop_l_english.yml","205","localization/russian/asoiaf_barbershop_l_russian.yml","205","@asoiaf_icon! Executioner's Jerkin & Sword"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_dynast","localization/english/asoiaf_barbershop_l_english.yml","124","localization/russian/asoiaf_barbershop_l_russian.yml","124","@asoiaf_icon! Lannister Armour #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_high","localization/english/asoiaf_barbershop_l_english.yml","126","localization/russian/asoiaf_barbershop_l_russian.yml","126","@asoiaf_icon! Lannister Armour #weak – High#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_light","localization/english/asoiaf_barbershop_l_english.yml","128","localization/russian/asoiaf_barbershop_l_russian.yml","128","@asoiaf_icon! Lannister Armour #weak - Light#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_lannister_armour_royal","localization/english/asoiaf_barbershop_l_english.yml","122","localization/russian/asoiaf_barbershop_l_russian.yml","122","@asoiaf_icon! Lannister Armour #weak – Royal#!"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_reach_tunic_1_tyrion","localization/english/asoiaf_barbershop_l_english.yml","144","localization/russian/asoiaf_barbershop_l_russian.yml","144","@asoiaf_icon! Tyrion's Tunic"
"PORTRAIT_MODIFIER_custom_clothes_male_clothes_asoiaf_reach_tunic_1_tyrion_ceremonial","localization/english/asoiaf_barbershop_l_english.yml","145","localization/russian/asoiaf_barbershop_l_russian.yml","145","@asoiaf_icon! Tyrion's Ceremonial Tunic"
"PORTRAIT_MODIFIER_custom_headgear_female_headgear_asoiaf_executioner_cowl","localization/english/asoiaf_barbershop_l_english.yml","65","localization/russian/asoiaf_barbershop_l_russian.yml","65","@asoiaf_icon! Executioner's Cowl"
"PORTRAIT_MODIFIER_custom_headgear_male_headgear_asoiaf_executioner_cowl","localization/english/asoiaf_barbershop_l_english.yml","64","localization/russian/asoiaf_barbershop_l_russian.yml","64","@asoiaf_icon! Executioner's Cowl"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_dorne_sandals","localization/english/asoiaf_barbershop_l_english.yml","259","localization/russian/asoiaf_barbershop_l_russian.yml","259","@asoiaf_icon! Dornish Sandals"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_executioner_legs","localization/english/asoiaf_barbershop_l_english.yml","280","localization/russian/asoiaf_barbershop_l_russian.yml","280","@asoiaf_icon! Executioner's Boots"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_lannister_legs_dynast","localization/english/asoiaf_barbershop_l_english.yml","251","localization/russian/asoiaf_barbershop_l_russian.yml","251","@asoiaf_icon! Lannister Legwear #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_legwear_female_legwear_asoiaf_lannister_legs_light","localization/english/asoiaf_barbershop_l_english.yml","253","localization/russian/asoiaf_barbershop_l_russian.yml","253","@asoiaf_icon! Lannister Legwear #weak – Light#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_beaked_shoes","localization/english/asoiaf_barbershop_l_english.yml","258","localization/russian/asoiaf_barbershop_l_russian.yml","258","@asoiaf_icon! Dornish Beaked Shoes"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_executioner_legs","localization/english/asoiaf_barbershop_l_english.yml","279","localization/russian/asoiaf_barbershop_l_russian.yml","279","@asoiaf_icon! Executioner's Boots"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_lannister_legs_dynast","localization/english/asoiaf_barbershop_l_english.yml","250","localization/russian/asoiaf_barbershop_l_russian.yml","250","@asoiaf_icon! Lannister Legwear #weak – Ornate#!"
"PORTRAIT_MODIFIER_custom_legwear_male_legwear_asoiaf_lannister_legs_light","localization/english/asoiaf_barbershop_l_english.yml","252","localization/russian/asoiaf_barbershop_l_russian.yml","252","@asoiaf_icon! Lannister Legwear #weak – Light#!"
"the_bog_construction_prestige_cost","localization/replace/asoiaf_terrains_l_english.yml","10","localization/replace/asoiaf_terrains_l_russian.yml","10","$the_bog_construction_gold_cost$"
