"Key","Kind","File","Line","EnglishTokens","RussianTokens","English","Russian"
"nick_grey_eyes","Brackets","localization/replace/asoiaf_nicknames_l_russian.yml","9","","[Select_CString(CHARACTER.IsFemale, 'Сероглазая', 'Сероглазый')]","Grey-Eyes","[Select_CString(CHARACTER.IsFemale, 'Сероглазая', 'Сероглазый')]"
"nick_one_hand","Brackets","localization/replace/asoiaf_nicknames_l_russian.yml","19","","[Select_CString(CHARACTER.IsFemale, 'Однорукая', 'Однорукий')]","One-Hand","[Select_CString(CHARACTER.IsFemale, 'Однорукая', 'Однорукий')]"
"nick_the_openhanded","Brackets","localization/replace/asoiaf_nicknames_l_russian.yml","25","","[Select_CString(CHARACTER.IsFemale, 'Щедрая', 'Щедрый')]","the Open-Handed","[Select_CString(CHARACTER.IsFemale, 'Щедрая', 'Щедрый')]"
"nick_the_thrice_widowed","Brackets","localization/replace/asoiaf_nicknames_l_russian.yml","27","","[Select_CString(CHARACTER.IsFemale, 'Трижды овдовевшая', 'Трижды овдовевший')]","the Thrice-Widowed","[Select_CString(CHARACTER.IsFemale, 'Трижды овдовевшая', 'Трижды овдовевший')]"
"nickname_the_great","Brackets","localization/replace/asoiaf_nicknames_l_russian.yml","30","","[Select_CString(CHARACTER.IsFemale, 'Великая', 'Великий')]","the Great","[Select_CString(CHARACTER.IsFemale, 'Великая', 'Великий')]"
"nick_the_feral","Brackets","localization/replace/asoiaf_nicknames_l_russian.yml","32","","[Select_CString(CHARACTER.IsFemale, 'Одичавшая', 'Одичавший')]","the Feral","[Select_CString(CHARACTER.IsFemale, 'Одичавшая', 'Одичавший')]"
"trait_knight_character_desc","Brackets","localization/replace/zzz_asoiaf_traits_l_russian.yml","3","[ROOT.GetCharacter.GetFirstNameNoTooltip]","[ROOT.GetCharacter.GetFirstNameNoTooltip] | [Select_CString(ROOT.GetCharacter.IsFemale, 'была посвящена', 'был посвящён' )]","[ROOT.GetCharacter.GetFirstNameNoTooltip] was knighted, swearing to be courageous, just, and to protect the innocent, no matter the danger.","[ROOT.GetCharacter.GetFirstNameNoTooltip] [Select_CString(ROOT.GetCharacter.IsFemale, 'была посвящена', 'был посвящён' )] в рыцари, дав клятву проявлять отвагу, поступать справедливо и защищать невинных, невзирая на опасность."
"trait_knight_unique_desc","Brackets","localization/replace/zzz_asoiaf_traits_l_russian.yml","4","[ROOT.GetCharacter.GetFirstNameNoTooltip]","[ROOT.GetCharacter.GetFirstNameNoTooltip] | [Select_CString(ROOT.GetCharacter.IsFemale, 'была посвящена', 'был посвящён' )]","[ROOT.GetCharacter.GetFirstNameNoTooltip] was knighted, swearing to be courageous, just, and to protect the innocent, no matter the danger.","[ROOT.GetCharacter.GetFirstNameNoTooltip] [Select_CString(ROOT.GetCharacter.IsFemale, 'была посвящена', 'был посвящён' )] в рыцари, дав клятву проявлять отвагу, поступать справедливо и защищать невинных, невзирая на опасность."
"asoiaf_radzig_sword_description","Brackets","localization/russian/asoiaf_artifacts/asoiaf_artifacts_l_russian.yml","42","[creator.GetFirstName] | [creator.GetHerHis] | [creator.GetHerHis] | [creator.GetHerHis] | [creator.GetHerHis] | [henry.GetFirstName] | [recipient.GetDynastyHouseName] | [recipient.GetDynastyHouseNameNoTooltip] | [recipient.GetFullName]","[creator.GetFirstName] | [creator.GetHerHis] | [creator.GetHerHis] | [creator.GetHerHis] | [creator.GetHerHis] | [henry.GetFirstName] | [recipient.GetDynastyHouseName] | [recipient.GetDynastyHouseNameNoTooltip] | [recipient.GetFullName] | [Select_CString(creator.IsFemale, 'ла', '')]","Originally forged for [recipient.GetFullName], this bastard sword came to be a symbol of death and vengence. It was forged by the blacksmith [creator.GetFirstName] the same day [creator.GetHerHis] village was raided, resulting in [creator.GetHerHis] death along with [creator.GetHerHis] wife, and orphaning [creator.GetHerHis] adopted son [henry.GetFirstName]. Its hilt is richly carved with floral motifs, while the octagonal pommel bears the sigil of House [recipient.GetDynastyHouseName]. On the blade is inscribed the [recipient.GetDynastyHouseNameNoTooltip] words: #italic King, Family, Vengeance#!.","Изначально выкованный для [recipient.GetFullName], этот полуторный меч стал символом смерти и мести. Его выковал кузнец [creator.GetFirstName] в тот самый день, когда на деревню [creator.GetHerHis] был совершён набег: [creator.GetHerHis] погиб[Select_CString(creator.IsFemale, 'ла', '')] вместе с [creator.GetHerHis] женой, а приёмный сын [creator.GetHerHis] — [henry.GetFirstName] — остался сиротой. Рукоять богато украшена цветочным орнаментом, а восьмигранное навершие несёт герб дома [recipient.GetDynastyHouseName]. На клинке выгравированы слова [recipient.GetDynastyHouseNameNoTooltip]: #italic Король, семья, месть#!."
"death_self_defence","Brackets","localization/russian/asoiaf_death_reasons_l_russian.yml","2","","[Select_CString(CHARACTER.IsFemale, 'была убита', 'был убит')]","was killed in self-defence","[Select_CString(CHARACTER.IsFemale, 'была убита', 'был убит')] при самообороне"
