Symbol,ActiveRootDefinitions
asoiaf_mega_war_effect,0
asoiaf_mega_war_events.0001,1
asoiaf_mega_war_cleanup_rule,0
asoiaf_destroy_crownlands_title_effect,0
agot_on_title_inheritance_lannister_baratheon_coa,2
is_busy_in_events_localised,0
is_busy_in_events_localized,0
is_busy_in_events,0
can_be_busy_in_events,0
start_diarchy,0
try_start_diarchy,1
asoiaf_canon_children_Targaryen_98_trigger,1
asoiaf_canon_children_Targaryen_98_birth_effect,0
asoiaf_canon_children_Targaryen_99_trigger,2
asoiaf_canon_children_Targaryen_99_birth_effect,0
asoiaf_canon_children_Targaryen_100_trigger,1
asoiaf_canon_children_Targaryen_100_birth_effect,0
asoiaf_canon_children_Targaryen_101_trigger,0
asoiaf_canon_children_Targaryen_101_birth_effect,0
asoiaf_canon_children_Targaryen_102_trigger,0
asoiaf_canon_children_Targaryen_102_birth_effect,0
asoiaf_canon_children_Targaryen_103_trigger,0
asoiaf_canon_children_Targaryen_103_birth_effect,0
asoiaf_canon_children_Targaryen_104_trigger,0
asoiaf_canon_children_Targaryen_104_birth_effect,0
