Symbol,Category,LogMessages,Reads,Writes,Removals,Group,Action,Replacement,Status
agot_faegon_jae_birth_year,variable_unused,2,0,1,0,V06,comment_obsolete_title_variable_only,,analysis_only_not_applied
agot_faegon_jon_snow_char,variable_unused,2,0,1,0,V06,comment_obsolete_title_variable_only,,analysis_only_not_applied
asoiaf_Stark_100_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_100_trait,analysis_only_not_applied
asoiaf_Stark_101_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_101_trait,analysis_only_not_applied
asoiaf_Stark_102_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_102_trait,analysis_only_not_applied
asoiaf_Stark_103_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_103_trait,analysis_only_not_applied
asoiaf_Stark_10_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_10_trait,analysis_only_not_applied
asoiaf_Stark_11_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_11_trait,analysis_only_not_applied
asoiaf_Stark_1_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_1_trait,analysis_only_not_applied
asoiaf_Stark_2_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_2_trait,analysis_only_not_applied
asoiaf_Stark_3_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_3_trait,analysis_only_not_applied
asoiaf_Stark_4_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_4_trait,analysis_only_not_applied
asoiaf_Stark_5_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_5_trait,analysis_only_not_applied
asoiaf_Stark_6_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_6_trait,analysis_only_not_applied
asoiaf_Stark_7_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_7_trait,analysis_only_not_applied
asoiaf_Stark_84_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_84_trait,analysis_only_not_applied
asoiaf_Stark_86_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_86_trait,analysis_only_not_applied
asoiaf_Stark_87_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_87_trait,analysis_only_not_applied
asoiaf_Stark_88_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_88_trait,analysis_only_not_applied
asoiaf_Stark_8_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_8_trait,analysis_only_not_applied
asoiaf_Stark_94_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_94_trait,analysis_only_not_applied
asoiaf_Stark_95_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_95_trait,analysis_only_not_applied
asoiaf_Stark_96_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_96_trait,analysis_only_not_applied
asoiaf_Stark_97_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_97_trait,analysis_only_not_applied
asoiaf_Stark_98_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_98_trait,analysis_only_not_applied
asoiaf_Stark_99_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_99_trait,analysis_only_not_applied
asoiaf_Stark_9_cc,variable_not_set,2,1,0,0,V01,replace_has_variable_with_matching_has_inactive_trait,asoiaf_Stark_9_trait,analysis_only_not_applied
asoiaf_canon_children_Arryn_3_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Arryn_80_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Arryn_84_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Baelish_2_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Baratheon_75_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Baratheon_baby_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Cole_11_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
asoiaf_canon_children_Dayne_1_born_variable,variable_unused,2,0,1,0,V05,comment_unused_global_marker_only_keep_trait_modifier_and_children_logic,,analysis_only_not_applied
