"Key","MainFile","MainLine","TranslationFile","TranslationLine","Text"
"agot_dragonpit_amenities_grand_inspirations","localization/english/agot/agot_court_amenities_l_english.yml","27","localization/russian/agot/agot_court_amenities_l_russian.yml","27","TEST GRAND - Completed [inspiration|E] quality has a good chance of improvement"
"agot_dragonpit_amenities_middling_inspirations","localization/english/agot/agot_court_amenities_l_english.yml","25","localization/russian/agot/agot_court_amenities_l_russian.yml","25","TEST MIDDLING - Completed [inspiration|E] quality has a chance of improvement"
"agot_dragonpit_amenities_small_inspirations","localization/english/agot/agot_court_amenities_l_english.yml","24","localization/russian/agot/agot_court_amenities_l_russian.yml","24","TEST SMALL - Completed [inspiration|E] quality has a small chance of improvement"
"agot_dragonpit_amenities_spacious_inspirations","localization/english/agot/agot_court_amenities_l_english.yml","26","localization/russian/agot/agot_court_amenities_l_russian.yml","26","TEST SPACIOUS - Completed [inspiration|E] quality has a decent chance of improvement"
"agot_rebellion_war_white_peace_desc","localization/english/agot/agot_wars_l_english.yml","21","localization/russian/agot/agot_wars_l_russian.yml","21","White peace attacker - Invalid boss. Tell Gaytriarch if you see this."
"agot_rebellion_war_white_peace_desc_defender","localization/english/agot/agot_wars_l_english.yml","20","localization/russian/agot/agot_wars_l_russian.yml","20","White peace defender - Invalid boss. Tell Gaytriarch if you see this."
"agot_ships_armory_cutlass_storage_04_domicile_building_desc","localization/english/agot/agot_buildings_l_english.yml","2821","localization/russian/agot/agot_buildings_l_russian.yml","2821","The cutlass is the preferred sword of the seas."
"game_concept_fp3_install_loyalist_cb_desc","localization/replace/english/dlc/fp3/dlc_fp3_game_concepts_l_english.yml","44","localization/replace/russian/dlc/fp3/dlc_fp3_game_concepts_l_russian.yml","44","Why does this cause a database error."
"game_concept_persian_struggle_desc","localization/replace/english/dlc/fp3/dlc_fp3_game_concepts_l_english.yml","7","localization/replace/russian/dlc/fp3/dlc_fp3_game_concepts_l_russian.yml","7","Why does this cause a database error."
"mood_beyond_the_buried_tide","localization/english/agot/agot_music_l_english.yml","27","localization/russian/agot/agot_music_l_russian.yml","27","Beyond the Buried Tide | Wiktoria Zac"
"mood_castamere","localization/english/agot/agot_music_l_english.yml","9","localization/russian/agot/agot_music_l_russian.yml","9","The Rains of Castamere | Jordan Tate Adds"
"mood_childrenoftheforest","localization/english/agot/agot_music_l_english.yml","15","localization/russian/agot/agot_music_l_russian.yml","15","The Children of the Forest | Jordan Tate Adds"
"mood_crossroads_inn","localization/english/agot/agot_music_l_english.yml","7","localization/russian/agot/agot_music_l_russian.yml","7","At The Crossroads Inn | Jordan Tate Adds"
"mood_decks_of_the_ironborn","localization/english/agot/agot_music_l_english.yml","38","localization/russian/agot/agot_music_l_russian.yml","38","Decks of the Ironborn | Ambience"
"mood_fots","localization/english/agot/agot_music_l_english.yml","8","localization/russian/agot/agot_music_l_russian.yml","8","The Faith of the Seven | Jordan Tate Adds"
"mood_mysteries_of_the_dark","localization/english/agot/agot_music_l_english.yml","22","localization/russian/agot/agot_music_l_russian.yml","22","Mysteries of the Dark | Apollo"
"mood_princesofwinter","localization/english/agot/agot_music_l_english.yml","13","localization/russian/agot/agot_music_l_russian.yml","13","The Princes of Winter | Jordan Tate Adds"
"mood_riverlands","localization/english/agot/agot_music_l_english.yml","10","localization/russian/agot/agot_music_l_russian.yml","10","The Riverlands | Jordan Tate Adds"
"mood_shadowbinder","localization/english/agot/agot_music_l_english.yml","23","localization/russian/agot/agot_music_l_russian.yml","23","The Shadowbinder | Alex Lake"
"mood_the_dragons_despair","localization/english/agot/agot_music_l_english.yml","20","localization/russian/agot/agot_music_l_russian.yml","20","The Dragon's Despair | João Victor Vila"
"mood_the_golden_company","localization/english/agot/agot_music_l_english.yml","24","localization/russian/agot/agot_music_l_russian.yml","24","The Golden Company | João Victor Vila"
"mood_the_hedge_knight","localization/english/agot/agot_music_l_english.yml","25","localization/russian/agot/agot_music_l_russian.yml","25","The Hedge Knight | João Victor Vila"
"mood_the_iron_throne","localization/english/agot/agot_music_l_english.yml","6","localization/russian/agot/agot_music_l_russian.yml","6","The Iron Throne | Jordan Tate Adds"
"mood_the_laughing_tree","localization/english/agot/agot_music_l_english.yml","26","localization/russian/agot/agot_music_l_russian.yml","26","The Laughing Tree | Apollo"
"mood_the_north","localization/english/agot/agot_music_l_english.yml","5","localization/russian/agot/agot_music_l_russian.yml","5","The North | Jordan Tate Adds"
"mood_the_others","localization/english/agot/agot_music_l_english.yml","4","localization/russian/agot/agot_music_l_russian.yml","4","The Others | Jordan Tate Adds"
"mood_tragedysummerhall","localization/english/agot/agot_music_l_english.yml","14","localization/russian/agot/agot_music_l_russian.yml","14","The Tragedy at Summerhall | Jordan Tate Adds"
"mood_windsofwinter","localization/english/agot/agot_music_l_english.yml","11","localization/russian/agot/agot_music_l_russian.yml","11","The Winds of Winter | Jordan Tate Adds"
"PORTRAIT_MODIFIER_custom_clothes_shiera_dress_01","localization/english/agot/portraits/agot_portrait_modifiers_l_english.yml","1431","localization/russian/agot/portraits/agot_portrait_modifiers_l_russian.yml","1431","@agot_icon! Gown of the Seastar"
"situation_dynastic_cycle_phase_stability_desc","localization/replace/english/dlc/tgp/dlc_tgp_situation_parameters_l_english.yml","30","localization/replace/russian/dlc/tgp/dlc_tgp_situation_parameters_l_russian.yml","30","#D This Phase should not be shown#!"
"yt_court_bloodstone_creator_name","localization/english/agot/religion/agot_religious_loc_l_english.yml","5830","localization/russian/agot/religion/agot_religious_loc_l_russian.yml","5830","The Great Void"
"yt_court_bloodstone_creator_name_possessive","localization/english/agot/religion/agot_religious_loc_l_english.yml","5831","localization/russian/agot/religion/agot_religious_loc_l_russian.yml","5831","The Great Void's"
"yt_court_jewel_religious_head_title_name","localization/english/agot/religion/agot_religious_loc_l_english.yml","5714","localization/russian/agot/religion/agot_religious_loc_l_russian.yml","5714","Great Empire of the Dawn"
