"Key","MainFile","MainLine","TranslationFile","TranslationLine","Text"
"a_life_of_glory_perk_radiance","localization/replace/english/lifestyles/perks_l_english.yml","226","localization/replace/russian/lifestyles/perks_l_russian.yml","226","[GetPerk('a_life_of_glory_perk').GetName(GetPlayer)]"
"absolute_control_perk_landless_pirate_effect_1_modifier_desc","localization/english/agot/event_localization/agot_pirate_events_l_english.yml","98","localization/russian/agot/event_localization/agot_pirate_events_l_russian.yml","98","[GetPerk('absolute_control_perk').GetName(GetPlayer)]: $VALUE|+0=$"
"absolute_control_perk_radiance","localization/replace/english/lifestyles/perks_l_english.yml","227","localization/replace/russian/lifestyles/perks_l_russian.yml","227","[GetPerk('absolute_control_perk').GetName(GetPlayer)]"
"accidental_kinslayer_crime_dynasty","localization/english/agot/modifiers/agot_modifiers_l_english.yml","1607","localization/russian/agot/modifiers/agot_modifiers_l_russian.yml","1607","$kinslayer_crime_dynasty$"
"ACCLAIMED_KNIGHT_AND_ACCOLADE","localization/replace/english/accolades/accolades_l_english.yml","63","localization/replace/russian/accolades/accolades_l_russian.yml","63","[Accolade.GetAcclaimedKnight.GetName]: [Accolade.GetName]"
"ACCLAIMED_KNIGHT_NAME_DISPLAY","localization/english/agot/gui/agot_common_l_english.yml","40","localization/russian/agot/gui/agot_common_l_russian.yml","40","[AGOTGetLongUINameNoTooltip(Accolade.GetAcclaimedKnight)|V]"
"ACCLAIMED_KNIGHT_RELATION","localization/replace/english/accolades/accolades_l_english.yml","62","localization/replace/russian/accolades/accolades_l_russian.yml","62","[Character.GetAcclaimedAccolade.GetName] @acclaimed_knight_icon!"
"ACCOLADE_ADJECTIVE_NOUN","localization/replace/english/accolades/accolades_l_english.yml","2","localization/replace/russian/accolades/accolades_l_russian.yml","2","$ADJECTIVE$ $NOUN$"
"ACCOLADE_ATTRIBUTE_SELECTION_DISABLED_TT","localization/replace/english/accolades/accolades_l_english.yml","109","localization/replace/russian/accolades/accolades_l_russian.yml","109","[AddLocalizationIf( LessThan_int32(Accolade.GetAvailableLevelUpPoints, '(int32)1' ), 'ACCOLADE_TYPE_DISABLED_NO_POINTS' )][AccoladeType.GetKnightValidForAccoladeTypeDesc(Accolade.Self)]"
"ACCOLADE_AVAILABLE_POINTS","localization/replace/english/accolades/accolades_l_english.yml","45","localization/replace/russian/accolades/accolades_l_russian.yml","45","[Accolade.GetAvailableLevelUpPoints|V]"
"accolade_cultural_archers","localization/replace/english/accolades/accolades_l_english.yml","471","localization/replace/russian/accolades/accolades_l_russian.yml","471","[ROOT.Char.Custom('GetRegionalArcherMAA')|U]"
"accolade_cultural_cavalry","localization/replace/english/accolades/accolades_l_english.yml","473","localization/replace/russian/accolades/accolades_l_russian.yml","473","[ROOT.Char.Custom('GetRegionalCavalryMAA')|U]"
