"Count","Line","Category","Component","Message"
"1","9754","Script / database error","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: limit, near line: 164"" in file: ""gfx/court_scene/character_roles/asoiaf_default_roles.txt"" near line: 182"
"1","10830","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 772 (agot_spawn_rhaegal_effect)"
"1","10831","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 1226 (agot_spawn_viserion_effect)"
"1","10839","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 1453 (agot_spawn_adult_viserion_effect)"
"1","10828","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 77 (agot_spawn_vermax_effect)"
"1","10837","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 545 (agot_spawn_adult_drogon_effect)"
"1","10829","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 310 (agot_spawn_drogon_effect)"
"1","9755","Script / database error","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: limit, near line: 296"" in file: ""gfx/court_scene/character_roles/asoiaf_default_roles.txt"" near line: 309"
"1","10480","Script / database error","jomini_script_system.cpp:303","Script system error!
  Error: has_title trigger [ Trigger is simple assign, but used a symbol other than '=' in the middle ]
  Script location: file: common/scripted_effects/asoiaf_setup_effects.txt line: 758 (asoiaf_setup_houses_effect)"
"1","10039","Script / database error","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: send_interface_toast, near line: 334"" in file: ""common/character_interactions/asoiaf_character_interactions.txt"" near line: 341"
"1","10840","Script / database error","jomini_script_system.cpp:303","Script system error!
  Error: give_nickname effect [ Cannot find nick_young_griff in nickname database ]
  Script location: file: common/scripted_character_templates/asoiaf_invader_templates.txt line: 96 (faegon_template:after_creation)"
"1","9753","Script / database error","pdx_persistent_reader.cpp:216","Error: ""Unknown trigger: limit, near line: 32"" in file: ""gfx/court_scene/character_roles/asoiaf_default_roles.txt"" near line: 50"
"1","9763","Script / database error","jomini_eventtarget.cpp:692","Failed to find a valid event target link 'house_BaratheonKL' at file: common/artifacts/templates/asoiaf_artifacts_templates.txt line: 57 (asoiaf_krakenfall_template:ai_score)"
"1","10844","Script / database error","jomini_script_system.cpp:303","Script system error!
  Error: spawn_army effect [ Cannot find men_at_arms type giant ]
  Script location: file: common/on_action/asoiaf_yearly_on_actions.txt line: 138 (asoiaf_mance_rayder_desertion)"
"1","10041","Script / database error","jomini_eventmanager.cpp:428","Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)'"
"1","10038","Script / database error","jomini_trigger.cpp:454","Expected ""NOT = {"", but got ""NOT = scope:actor"". file: common/character_interactions/asoiaf_character_interactions.txt line: 328 (asoiaf_dismiss_kingsguard_interaction:on_accept)"
"1","11051","Script / database error","jomini_script_system.cpp:303","Script system error!
  Error: give_nickname effect [ Cannot find nick_young_griff in nickname database ]
  Script location: file: common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt line: 75 (asoiaf_targaryen_invasion_claimants_spawn_aegon_effect:after_creation)"
"1","10838","History / title / faith reference error","faith_links.cpp:223","Failed to scope to faith 'valyrian' at file: common/scripted_effects/asoiaf_agot_overwrite_effects.txt line: 999 (agot_spawn_adult_rhaegal_effect)"
